country,total_imports
JERSEY         ,0.0
GUERNSEY,2.9999999999999997e-05
FR S ANT TR,8.999999999999998e-05
NIUE IS,8.999999999999999e-05
CHANNEL IS,0.0001
ST PIERRE,0.00014000000000000001
VATICAN CITY,0.00035
WALLIS F IS,0.00039
TUVALU,0.00042
PITCAIRN IS.,0.00046
PALAU,0.00054
ANTARTICA,0.0005600000000000001
HEARD MACDONALD,0.0005899999999999999
ST HELENA,0.00067
SAN MARINO,0.00082
N. MARIANA IS.,0.0011600000000000002
ANGUILLA,0.00117
COOK IS,0.0012
CHRISTMAS IS.,0.00125
FALKLAND IS,0.00141
STATE OF PALEST,0.00148
COCOS IS,0.0017400000000000002
PANAMA C Z,0.0022400000000000002
MONTSERRAT,0.0028500000000000005
MICRONESIA,0.0029400000000000003
MAYOTTE,0.003040000000000001
US MINOR OUTLYING ISLANDS               ,0.0031300000000000004
AMERI SAMOA,0.0034
TURKS C IS,0.00343
NORFOLK IS,0.004059999999999999
NAURU RP,0.00489
KIRIBATI REP,0.00601
ANDORRA,0.00628
ST VINCENT,0.00653
GUAM,0.00782
LIECHTENSTEIN,0.00878
SAO TOME,0.008960000000000001
TONGA,0.00897
MONACO,0.01046
GREENLAND,0.01252
CAPE VERDE IS,0.01317
FAROE IS.,0.014329999999999999
ST KITT N A,0.014850000000000002
TOKELAU IS,0.01523
BR VIRGN IS,0.0157
ANTIGUA,0.01672
GRENADA,0.01682
SOUTH SUDAN ,0.01731
DOMINICA,0.019710000000000002
SOLOMON IS,0.01987
VANUATU REP,0.02141
SAMOA,0.02142
BERMUDA,0.02153
ST LUCIA,0.02412
MACAO,0.026090000000000002
CAYMAN IS,0.028
PACIFIC IS,0.03511
FR POLYNESIA,0.04039
ARUBA,0.04501
GUADELOUPE,0.046369999999999995
MARTINIQUE,0.04737
VIRGIN IS US,0.07011999999999999
MOLDOVA,0.07331
BARBADOS,0.08337
C AFRI REP,0.10969
BOSNIA-HRZGOVIN,0.11037
FR GUIANA,0.1108
GUINEA BISSAU,0.11259000000000001
MACEDONIA,0.11614000000000001
LUXEMBOURG,0.11816999999999998
MARSHALL ISLAND,0.11844
ERITREA,0.13147000000000003
EQUTL GUINEA,0.13335
NEW CALEDONIA,0.14002999999999996
SURINAME,0.15762
COMOROS,0.15828
MONGOLIA,0.16403000000000004
BELIZE,0.17101
UNION OF SERBIA & MONTENEGRO,0.17443999999999998
ALBANIA,0.19651
GUYANA,0.2052
MONTENEGRO,0.22587
LESOTHO,0.2525
ICELAND,0.25577000000000005
TAJIKISTAN,0.27142000000000005
KYRGHYZSTAN,0.27738
BURUNDI,0.28633000000000003
SERBIA,0.29852999999999996
LAO PD RP,0.30204999999999993
CHAD,0.31745
JAMAICA,0.34329000000000004
CUBA,0.34358999999999995
PAPUA N GNA,0.35084999999999994
SWAZILAND,0.37088
ARMENIA,0.37468
SEYCHELLES,0.38177
NETHERLANDANTIL,0.40502999999999995
REUNION,0.41323000000000004
GABON,0.41409
FIJI IS,0.41564
BELARUS,0.49363999999999997
EL SALVADOR,0.5209600000000001
TURKMENISTAN,0.53149
MAURITANIA,0.56176
CYPRUS,0.5692099999999999
NICARAGUA,0.56952
TIMOR LESTE,0.57533
AZERBAIJAN,0.5822
BOLIVIA,0.5854600000000001
HAITI,0.6241
BOTSWANA,0.65024
ESTONIA,0.714
GAMBIA,0.7185
NIGER,0.73202
NAMIBIA,0.78625
RWANDA,0.8244900000000001
TRINIDAD,0.84646
GEORGIA,0.85744
SIERRA LEONE,0.8963599999999999
PUERTO RICO,0.90134
LATVIA,0.92615
PARAGUAY,0.93878
