country,total_imports
CHANNEL IS,0.0
PACIFIC IS,1e-05
ST VINCENT,2e-05
ST PIERRE,2.9999999999999997e-05
JERSEY         ,5e-05
GUAM,5.9999999999999995e-05
NIUE IS,5.9999999999999995e-05
MONTSERRAT,6e-05
FR S ANT TR,8.999999999999999e-05
MICRONESIA,0.0001
COOK IS,0.00014000000000000001
HEARD MACDONALD,0.00016
MAYOTTE,0.00019
FR POLYNESIA,0.00019
SAO TOME,0.00020999999999999998
TURKS C IS,0.00033000000000000005
GUERNSEY,0.00034
PITCAIRN IS.,0.00035999999999999997
GREENLAND,0.0004
TONGA,0.00043
TOKELAU IS,0.00046
VATICAN CITY,0.00049
ANGUILLA,0.0005800000000000001
ST HELENA,0.0006100000000000001
ST KITT N A,0.00063
N. MARIANA IS.,0.00066
KIRIBATI REP,0.00076
GRENADA,0.0008300000000000001
CHRISTMAS IS.,0.0009599999999999999
MARTINIQUE,0.00107
STATE OF PALEST,0.0011899999999999999
WALLIS F IS,0.00136
MONTENEGRO,0.00141
TUVALU,0.00157
NORFOLK IS,0.0018200000000000002
SAN MARINO,0.0027100000000000006
US MINOR OUTLYING ISLANDS               ,0.0028799999999999993
GUADELOUPE,0.0032000000000000006
ST LUCIA,0.0034200000000000003
BARBADOS,0.00373
DOMINICA,0.00384
ANDORRA,0.005449999999999999
VANUATU REP,0.0057399999999999994
AMERI SAMOA,0.0058200000000000005
CAYMAN IS,0.00676
BELIZE,0.00683
FAROE IS.,0.00755
PALAU,0.007719999999999999
BERMUDA,0.00784
ARUBA,0.008209999999999999
ANTARTICA,0.00855
VIRGIN IS US,0.0103
LIECHTENSTEIN,0.01052
FALKLAND IS,0.01178
GIBRALTAR,0.011890000000000001
FIJI IS,0.01284
SAMOA,0.013399999999999999
MONACO,0.01515
RWANDA,0.016399999999999998
ANTIGUA,0.01662
JAMAICA,0.01954
C AFRI REP,0.020200000000000003
CUBA,0.0215
NICARAGUA,0.02174
MOLDOVA,0.02175
BURUNDI,0.024339999999999997
SEYCHELLES,0.024630000000000003
TIMOR LESTE,0.025320000000000002
CAPE VERDE IS,0.02542
MARSHALL ISLAND,0.029049999999999996
BR VIRGN IS,0.030749999999999996
HAITI,0.03601999999999998
MACAO,0.038169999999999996
DJIBOUTI,0.04073999999999999
UNION OF SERBIA & MONTENEGRO,0.042359999999999995
KYRGHYZSTAN,0.04237
ICELAND,0.04777
ARMENIA,0.04783
COCOS IS,0.0489
MONGOLIA,0.049229999999999996
NAURU RP,0.06115
EL SALVADOR,0.06573999999999999
GUYANA,0.08637
BOSNIA-HRZGOVIN,0.08658000000000002
MALDIVES,0.10432
SIERRA LEONE,0.11161000000000001
FR GUIANA,0.11717999999999999
MAURITANIA,0.11900999999999999
SERBIA,0.12202999999999999
PANAMA C Z,0.12471
LESOTHO,0.13183999999999998
TAJIKISTAN,0.13630000000000003
HONDURAS,0.14446999999999996
COMOROS,0.14783
GUATEMALA,0.15191
SOMALIA,0.165
MACEDONIA,0.16951999999999998
NIGER,0.17546
NEW CALEDONIA,0.17845999999999998
TURKMENISTAN,0.17967999999999998
REUNION,0.18838999999999997
NETHERLANDANTIL,0.20586
URUGUAY,0.21297
SOUTH SUDAN ,0.22694
CROATIA,0.24070999999999998
CAMBODIA,0.24675
ZIMBABWE,0.24913999999999997
MAURITIUS,0.25622
NAMIBIA,0.28007
MALAWI,0.28264000000000006
LEBANON,0.28687
MALTA,0.29218
GEORGIA,0.30162000000000005
SOLOMON IS,0.30422
UGANDA,0.3238
GAMBIA,0.32875000000000004
PUERTO RICO,0.34749
LIBERIA,0.35021
ETHIOPIA,0.40366
ERITREA,0.45663000000000004
SWAZILAND,0.47125
UZBEKISTAN,0.49707000000000007
SYRIA,0.51191
SURINAME,0.5140699999999999
ALBANIA,0.5241800000000001
PARAGUAY,0.5738699999999999
CONGO D. REP.,0.61252
CYPRUS,0.6342700000000001
LUXEMBOURG,0.63551
MALI,0.6629599999999999
SLOVAK REP,0.71508
LATVIA,0.86545
TRINIDAD,0.87032
PANAMA REPUBLIC,0.8873300000000001
LAO PD RP,0.9098099999999999
KOREA DP RP,0.9328200000000001
GREECE,1.0261
KENYA,1.02877
MADAGASCAR,1.05809
BULGARIA,1.0830799999999998
BAHAMAS,1.09796
COSTA RICA,1.1172799999999998
SLOVENIA,1.13987
ESTONIA,1.14309
CHAD,1.38849
LITHUANIA,1.42719
PAPUA N GNA,1.4293099999999999
GUINEA BISSAU,1.4971899999999998
TUNISIA,1.4980299999999998
TOGO,1.6028099999999998
PORTUGAL,1.81844
BELARUS,1.8722599999999998
BOLIVIA,2.19763
BENIN,2.40767
BURKINA FASO,2.44984
SENEGAL,2.45559
HUNGARY,2.47613
BHUTAN,2.4893199999999998
CONGO P REP,2.6731899999999995
AFGHANISTAN TIS,2.68662
DOMINIC REP,2.70213
ROMANIA,3.0294000000000008
GUINEA,3.39546
CAMEROON,3.59079
LIBYA,3.6269400000000003
ECUADOR,3.7400200000000003
SUDAN,3.7668199999999996
ZAMBIA,3.8769899999999997
GABON,3.95933
COTE D' IVOIRE,4.00488
MOZAMBIQUE,4.0533600000000005
PAKISTAN IR,4.07491
AZERBAIJAN,4.091600000000001
KAZAKHSTAN,4.31858
EQUTL GUINEA,4.42708
DENMARK,4.543010000000001
IRELAND,4.5538099999999995
PHILIPPINES,4.57119
NEPAL,4.63839
CZECH REPUBLIC,5.050559999999999
YEMEN REPUBLC,5.172860000000001
BAHARAIN IS,5.19629
NEW ZEALAND,5.676660000000001
POLAND,5.952049999999999
BRUNEI,6.02029
BOTSWANA,6.53618
BANGLADESH PR,6.6635599999999995
SRI LANKA DSR,6.79342
NORWAY,6.86398
TANZANIA REP,6.93906
JORDAN,8.49522
AUSTRIA,8.72336
PERU,9.090620000000001
MOROCCO,9.599169999999999
MYANMAR,9.651240000000001
ALGERIA,10.18573
FINLAND,11.373779999999998
TURKEY,12.605030000000001
GHANA,13.79975
COLOMBIA,13.923920000000003
SWEDEN,14.10557
SPAIN,15.918899999999999
EGYPT A RP,16.396639999999998
ARGENTINA,18.28539
CHILE,18.780829999999998
UKRAINE,19.512559999999997
ISRAEL,19.93894
NETHERLAND,23.122040000000002
OMAN,24.049349999999997
VIETNAM SOC REP,28.79111
MEXICO,29.58063
CANADA,31.255059999999997
TAIWAN,35.81964
ITALY,40.44160000000001
FRANCE,43.42373
BRAZIL,43.86671
UNSPECIFIED,44.27838
RUSSIA,45.29026
ANGOLA,45.98606999999999
U K,51.1115
THAILAND,51.61511
SOUTH AFRICA,64.70562000000001
SINGAPORE,75.04308999999999
VENEZUELA,76.00371000000001
HONG KONG,83.54274000000001
MALAYSIA,84.14218
BELGIUM,90.21386000000001
JAPAN,96.00466
IRAN,96.99719
KUWAIT,97.90536000000002
QATAR,101.54083000000001
NIGERIA,103.40698
AUSTRALIA,115.59898000000001
GERMANY,119.66463999999999
KOREA RP,121.14358
INDONESIA,128.1644
IRAQ,142.47632000000002
SWITZERLAND,206.72902999999997
U S A,219.27665999999996
SAUDI ARAB,241.55499
U ARAB EMTS,256.28607999999997
CHINA P RP,532.17751
