commodity,year,sum(value)
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2010,1667.77
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2011,2275.19
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2012,2210.19
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2013,4585.2
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2014,6159.59
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2015,3959.3
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2016,3381.8
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2017,2264.77
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2018,1716.04
ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,2010,240.78
ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,2011,205.24
ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,2012,303.09
ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,2013,332.9
ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,2014,313.0
ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,2015,249.57
ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,2016,251.32
ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,2017,236.54
ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,2018,251.71
ALUMINIUM AND ARTICLES THEREOF.,2010,1243.26
ALUMINIUM AND ARTICLES THEREOF.,2011,1499.42
ALUMINIUM AND ARTICLES THEREOF.,2012,1600.66
ALUMINIUM AND ARTICLES THEREOF.,2013,1914.45
ALUMINIUM AND ARTICLES THEREOF.,2014,2833.34
