Commodity,year,sum(value)
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2010,3442.42
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2011,4094.14
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2012,4717.19
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2013,4305.52
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2014,4707.2
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2015,4987.24
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2016,8372.97
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2017,7677.56
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2018,7615.41
ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,2010,226.2
ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,2011,270.03
ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,2012,290.78
ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,2013,317.83
ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,2014,355.82
ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,2015,385.78
ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,2016,351.88
ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,2017,431.38
ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,2018,518.05
ALUMINIUM AND ARTICLES THEREOF.,2010,2221.85
ALUMINIUM AND ARTICLES THEREOF.,2011,2963.29
ALUMINIUM AND ARTICLES THEREOF.,2012,3205.87
ALUMINIUM AND ARTICLES THEREOF.,2013,3086.56
ALUMINIUM AND ARTICLES THEREOF.,2014,3739.72
ALUMINIUM AND ARTICLES THEREOF.,2015,3723.17
ALUMINIUM AND ARTICLES THEREOF.,2016,3477.54
ALUMINIUM AND ARTICLES THEREOF.,2017,4523.01
