id	name	population
AFG	Afghanistan	383.90000000000003
ALB	Albania	2.0
DZA	Algeria	21.470000000000002
202	American Samoa	0.09
AGO	Angola	4.39
221	Anguilla	0.03
197	Antigua and Barbuda	0.21000000000000002
ARG	Argentina	28.19
ARM	Armenia	92.53
192	Aruba	6.71
AUS	Australia	469.87
AUT	Austria	70.54999999999998
AZE	Azerbaijan	99.83999999999999
BHS	Bahamas, The	3.1499999999999995
163	Bahrain	58.52000000000001
BGD	Bangladesh	48.519999999999996
180	Barbados	0.9700000000000001
BLR	Belarus	0.72
BEL	Belgium	1146.69
BLZ	Belize	49.99
BEN	Benin	9.27
201	Bermuda	1.38
BTN	Bhutan	0.4
BOL	Bolivia	0.52
BIH	Bosnia and Herzegovina	0.45
BWA	Botswana	8.49
215	British Virgin Islands	0.53
BRA	Brazil	173.97
BRN	Brunei	3.7699999999999996
BGR	Bulgaria	18.240000000000002
BFA	Burkina Faso	1.2200000000000002
BDI	Burundi	1.12
CAF	Central African Republic	0.9000000000000001
KHM	Cambodia	2.1299999999999994
CMR	Cameroon	53.75
CAN	Canada	1014.1800000000001
169	Cape Verde	0.0
206	Cayman Islands	0.07
TCD	Chad	0.2
CHL	Chile	111.81
CHN	China	219.64
COL	Colombia	24.96
160	Comoros	2.22
COD	Congo, Democratic Republic of the	4.35
COG	Congo, Republic of the	7.289999999999999
223	Cook Islands	0.16
CRI	Costa Rica	18.540000000000003
CIV	Cote d'Ivoire	1.05
HRV	Croatia	8.9
CUB	Cuba	0.02
CYP	Cyprus	20.689999999999998
CZE	Czech Republic	162.97
DNK	Denmark	561.2
DJI	Djibouti	126.14999999999999
DOM	Dominican Republic	23.6
DOM	Dominica	0.06
ECU	Ecuador	0.38
EGY	Egypt	8.959999999999999
SLV	El Salvador	15.620000000000001
GNQ	Equatorial Guinea	6.67
EST	Estonia	70.48
ETH	Ethiopia	111.39999999999999
208	Faroe Islands	0.03
FJI	Fiji	12.95
FIN	Finland	193.95
179	French Polynesia	1.6
FRA	France	3430.9399999999996
GAB	Gabon	1.5100000000000002
GMB	Gambia, The	22.679999999999996
GEO	Georgia	7.369999999999999
DEU	Germany	5316.860000000001
GHA	Ghana	22.04
214	Gibraltar	0.0
GRC	Greece	75.73
GRL	Greenland	0.01
190	Grenada	1.9500000000000002
GTM	Guatemala	1.0
GIN	Guinea	5.82
GNB	Guinea-Bissau	0.02
GUY	Guyana	6.490000000000001
HTI	Haiti	9.5
HND	Honduras	2.07
HKG	Hong Kong	219.15
HUN	Hungary	18.479999999999997
ISL	Iceland	0.5900000000000001
IDN	Indonesia	10.83
IRN	Iran	51.75000000000001
IRQ	Iraq	50.04
IRL	Ireland	397.08
ISR	Israel	262.69
ITA	Italy	2065.53
JAM	Jamaica	18.9
JPN	Japan	247.17
JOR	Jordan	42.71
