id	name	population
AFG	Afghanistan	1.2
ALB	Albania	17.540000000000003
DZA	Algeria	30.710000000000004
198	Andorra	0.0
AGO	Angola	33.14
197	Antigua and Barbuda	0.02
ARG	Argentina	35.290000000000006
ARM	Armenia	0.05
192	Aruba	0.03
AUS	Australia	72.65
AUT	Austria	1.9500000000000002
AZE	Azerbaijan	0.8400000000000001
163	Bahrain	61.790000000000006
BGD	Bangladesh	56.43
180	Barbados	0.4800000000000001
BLR	Belarus	0.36
BEL	Belgium	44.38000000000001
BLZ	Belize	0.07
BEN	Benin	5.16
201	Bermuda	0.0
BTN	Bhutan	11.789999999999997
BOL	Bolivia	0.35000000000000003
BIH	Bosnia and Herzegovina	5.839999999999999
BWA	Botswana	2.3099999999999996
BRA	Brazil	200.21000000000004
BRN	Brunei	1.2700000000000002
BGR	Bulgaria	19.819999999999997
BFA	Burkina Faso	3.88
BDI	Burundi	2.8399999999999994
CAF	Central African Republic	0.39
KHM	Cambodia	0.62
CMR	Cameroon	25.49
CAN	Canada	13.450000000000001
206	Cayman Islands	0.0
TCD	Chad	0.21
CHL	Chile	34.64
CHN	China	52.83
COL	Colombia	22.67
160	Comoros	1.86
COD	Congo, Democratic Republic of the	6.64
COG	Congo, Republic of the	6.13
CRI	Costa Rica	4.359999999999999
CIV	Cote d'Ivoire	26.290000000000003
HRV	Croatia	4.68
CUB	Cuba	0.05
CYP	Cyprus	1.5100000000000002
CZE	Czech Republic	12.090000000000002
DNK	Denmark	6.77
DJI	Djibouti	24.410000000000004
DOM	Dominican Republic	2.73
DOM	Dominica	0.12
ECU	Ecuador	0.54
EGY	Egypt	63.879999999999995
SLV	El Salvador	0.43
GNQ	Equatorial Guinea	1.4900000000000002
ERI	Eritrea	0.37000000000000005
EST	Estonia	3.99
ETH	Ethiopia	41.11000000000001
208	Faroe Islands	0.01
FJI	Fiji	3.730000000000001
FIN	Finland	15.59
179	French Polynesia	0.02
FRA	France	62.03999999999999
GAB	Gabon	4.33
GMB	Gambia, The	30.619999999999997
GEO	Georgia	11.26
DEU	Germany	154.01
GHA	Ghana	24.99
GRC	Greece	17.21
190	Grenada	0.08
GTM	Guatemala	6.109999999999999
GIN	Guinea	11.549999999999997
GNB	Guinea-Bissau	0.6500000000000001
GUY	Guyana	3.8200000000000003
HTI	Haiti	2.5799999999999996
HND	Honduras	0.67
HKG	Hong Kong	1.5799999999999998
HUN	Hungary	1.0
ISL	Iceland	0.01
IDN	Indonesia	66.27999999999999
IRN	Iran	102.50999999999999
IRQ	Iraq	310.72999999999996
IRL	Ireland	8.45
ISR	Israel	79.76
ITA	Italy	82.89000000000001
JAM	Jamaica	6.99
JPN	Japan	35.160000000000004
JOR	Jordan	48.349999999999994
KAZ	Kazakhstan	25.39
KEN	Kenya	110.61999999999999
PRK	Korea, North	7.38
KOR	Korea, South	82.52
KWT	Kuwait	188.26999999999995
KGZ	Kyrgyzstan	0.16
LAO	Laos	0.28
LVA	Latvia	2.86
LBN	Lebanon	12.700000000000001
LSO	Lesotho	0.07
LBR	Liberia	24.84
LBY	Libya	15.949999999999998
210	Liechtenstein	0.0
LTU	Lithuania	4.739999999999999
LUX	Luxembourg	1.7599999999999998
168	Macau	0.0
MKD	Macedonia	2.0799999999999996
MDG	Madagascar	10.06
MWI	Malawi	6.7299999999999995
MYS	Malaysia	52.2
174	Maldives	5.790000000000001
MLI	Mali	9.06
173	Malta	1.8100000000000003
203	Marshall Islands	0.0
MRT	Mauritania	14.129999999999999
153	Mauritius	20.05
181	Mayotte	0.19
MEX	Mexico	222.74999999999997
191	Micronesia, Federated States of	0.0
MDA	Moldova	0.13999999999999999
212	Monaco	0.01
MNG	Mongolia	0.1
MNE	Montenegro	1.7800000000000002
MAR	Morocco	8.430000000000001
MOZ	Mozambique	33.510000000000005
NAM	Namibia	0.37
NPL	Nepal	302.85
NLD	Netherlands	28.39
183	Netherlands Antilles	0.11
NCL	New Caledonia	8.05
NZL	New Zealand	6.36
NIC	Nicaragua	0.03
NER	Niger	1.99
NGA	Nigeria	46.349999999999994
209	Northern Mariana Islands	3.55
NOR	Norway	267.75
PAK	Pakistan	6.919999999999999
217	Palau	0.0
PNG	Papua New Guinea	1.1
PRY	Paraguay	2.7399999999999993
PER	Peru	11.36
PHL	Philippines	16.580000000000002
POL	Poland	143.56999999999996
PRT	Portugal	2.12
PRI	Puerto Rico	0.9199999999999999
QAT	Qatar	100.22999999999999
ROU	Romania	66.82000000000001
RUS	Russia	45.59
RWA	Rwanda	2.5599999999999996
185	Samoa	0.49
186	Sao Tome and Principe	0.13
SAU	Saudi Arabia	1191.3999999999999
SEN	Senegal	43.17
SRB	Serbia	2.47
196	Seychelles	6.38
SLE	Sierra Leone	17.13
SGP	Singapore	16.9
SVK	Slovakia	5.699999999999999
SVN	Slovenia	2.9099999999999997
SOM	Somalia	31.779999999999998
ZAF	South Africa	108.42
ESP	Spain	49.42
LKA	Sri Lanka	180.81999999999996
207	Saint Kitts and Nevis	0.02
187	Saint Lucia	0.19
193	Saint Vincent and the Grenadines	0.060000000000000005
SDN	Sudan	16.009999999999998
SUR	Suriname	0.9900000000000001
SWZ	Swaziland	0.18
SWE	Sweden	21.369999999999997
CHE	Switzerland	0.7700000000000002
SYR	Syria	8.489999999999998
TWN	Taiwan	136.45000000000002
TJK	Tajikistan	0.03
TZA	Tanzania	51.11
THA	Thailand	78.53
TLS	Timor-Leste	0.03
TGO	Togo	7.069999999999999
TTO	Trinidad and Tobago	7.630000000000002
TUN	Tunisia	28.47
TUR	Turkey	128.54
TKM	Turkmenistan	0.5800000000000001
ARE	United Arab Emirates	487.18
GBR	United Kingdom	191.15
USA	United States	372.56999999999994
UGA	Uganda	41.14
UKR	Ukraine	36.64000000000001
URY	Uruguay	1.5800000000000003
UZB	Uzbekistan	2.93
VEN	Venezuela	0.63
VNM	Vietnam	58.11
189	Virgin Islands	0.01
YEM	Yemen	103.63
ZMB	Zambia	18.66
ZWE	Zimbabwe	1.4100000000000001
SLB	Solomon Islands	0.01
214	Gibraltar	0.0
228	Montserrat	0.0
221	Anguilla	0.0
VUT	Vanuatu	0.02
BHS	Bahamas, The	0.23
OMN	Oman	0.02
216	Turks and Caicos Islands	0.0
215	British Virgin Islands	0.0
202	American Samoa	0.0
233	Tokelau	0.0
