id	name	population
AFG	Afghanistan	107.49
ALB	Albania	2.1
DZA	Algeria	179.78000000000003
198	Andorra	0.0
AGO	Angola	145.91
197	Antigua and Barbuda	0.0
ARG	Argentina	0.8700000000000001
ARM	Armenia	0.44
AUS	Australia	323.53000000000003
AUT	Austria	7.46
AZE	Azerbaijan	82.65
163	Bahrain	297.15999999999997
BGD	Bangladesh	4299.339999999999
BLR	Belarus	9.27
BEL	Belgium	336.73999999999995
BLZ	Belize	0.0
BEN	Benin	2127.1400000000003
BTN	Bhutan	36.49
BOL	Bolivia	0.02
BIH	Bosnia and Herzegovina	0.15
BWA	Botswana	3.7500000000000004
BRA	Brazil	0.79
BRN	Brunei	18.95
BGR	Bulgaria	5.94
BFA	Burkina Faso	45.03000000000001
BDI	Burundi	3.5799999999999996
CAF	Central African Republic	2.3000000000000003
KHM	Cambodia	0.42000000000000004
CMR	Cameroon	305.35999999999996
CAN	Canada	378.29999999999995
206	Cayman Islands	0.38
CHL	Chile	9.799999999999999
CHN	China	88.31
COL	Colombia	0.8300000000000001
160	Comoros	9.650000000000002
COD	Congo, Democratic Republic of the	6.65
COG	Congo, Republic of the	21.88
CRI	Costa Rica	0.10999999999999999
CIV	Cote d'Ivoire	1117.99
HRV	Croatia	2.56
CYP	Cyprus	7.819999999999999
CZE	Czech Republic	1.56
DNK	Denmark	9.17
DJI	Djibouti	648.15
DOM	Dominican Republic	0.05
EGY	Egypt	326.54
GNQ	Equatorial Guinea	13.29
ERI	Eritrea	14.030000000000001
EST	Estonia	0.44000000000000006
ETH	Ethiopia	324.32
FJI	Fiji	6.68
FIN	Finland	1.9700000000000002
FRA	France	147.5
GAB	Gabon	2.01
GMB	Gambia, The	74.25999999999999
GEO	Georgia	127.14000000000001
DEU	Germany	147.32000000000002
GHA	Ghana	205.19
GRC	Greece	16.61
190	Grenada	0.1
GIN	Guinea	1018.65
GNB	Guinea-Bissau	39.019999999999996
GUY	Guyana	0.07
HTI	Haiti	9.39
HKG	Hong Kong	25.159999999999997
HUN	Hungary	1.8900000000000001
