id	name	population
AFG	Afghanistan	11.12
ALB	Albania	0.0
DZA	Algeria	20.86
198	Andorra	0.0
AGO	Angola	0.44999999999999996
197	Antigua and Barbuda	0.0
ARG	Argentina	4.01
ARM	Armenia	0.25000000000000006
192	Aruba	0.0
AUS	Australia	107.14
AUT	Austria	11.799999999999999
AZE	Azerbaijan	0.12000000000000001
BHS	Bahamas, The	0.04
163	Bahrain	25.350000000000005
BGD	Bangladesh	73.96
180	Barbados	0.12
BLR	Belarus	0.53
BEL	Belgium	71.14000000000001
BLZ	Belize	0.0
BEN	Benin	2.8000000000000003
201	Bermuda	0.0
BTN	Bhutan	2.76
BOL	Bolivia	0.03
BIH	Bosnia and Herzegovina	2.44
BWA	Botswana	0.6400000000000001
BRA	Brazil	52.01999999999999
BRN	Brunei	0.39999999999999997
BGR	Bulgaria	2.8499999999999996
BFA	Burkina Faso	0.17
BDI	Burundi	0.27
CAF	Central African Republic	0.16
KHM	Cambodia	0.7100000000000002
CMR	Cameroon	0.5
CAN	Canada	71.84999999999998
206	Cayman Islands	0.0
TCD	Chad	0.05
CHL	Chile	7.53
CHN	China	12767.68
COL	Colombia	65.99000000000001
160	Comoros	0.0
COD	Congo, Democratic Republic of the	2.61
COG	Congo, Republic of the	1.32
CRI	Costa Rica	0.81
CIV	Cote d'Ivoire	0.8700000000000001
HRV	Croatia	0.8400000000000001
CUB	Cuba	1.3399999999999999
CYP	Cyprus	0.79
CZE	Czech Republic	6.17
DNK	Denmark	24.319999999999997
DJI	Djibouti	0.53
DOM	Dominican Republic	1.09
DOM	Dominica	0.04
ECU	Ecuador	2.2900000000000005
EGY	Egypt	109.59
SLV	El Salvador	0.27
GNQ	Equatorial Guinea	0.03
ERI	Eritrea	0.0
EST	Estonia	4.23
ETH	Ethiopia	8.68
FJI	Fiji	1.4400000000000002
FIN	Finland	13.83
179	French Polynesia	0.0
FRA	France	65.25
GAB	Gabon	0.13
GMB	Gambia, The	0.16
GEO	Georgia	1.4200000000000002
DEU	Germany	311.85
GHA	Ghana	8.15
214	Gibraltar	0.01
GRC	Greece	11.27
190	Grenada	0.0
GTM	Guatemala	0.8
GIN	Guinea	4.0
GNB	Guinea-Bissau	0.01
GUY	Guyana	0.43000000000000005
HTI	Haiti	0.21000000000000002
HND	Honduras	0.05
HKG	Hong Kong	102.23
HUN	Hungary	1.3300000000000003
ISL	Iceland	0.07
IDN	Indonesia	120.74
IRN	Iran	83.94999999999999
IRQ	Iraq	12.45
IRL	Ireland	5.120000000000001
ISR	Israel	35.43
ITA	Italy	94.36
JAM	Jamaica	0.76
JPN	Japan	74.7
JOR	Jordan	14.490000000000002
KAZ	Kazakhstan	0.74
KEN	Kenya	29.630000000000003
PRK	Korea, North	0.6400000000000001
KOR	Korea, South	348.31000000000006
KWT	Kuwait	79.9
KGZ	Kyrgyzstan	0.27
LAO	Laos	0.30000000000000004
LVA	Latvia	5.109999999999999
LBN	Lebanon	5.4
LBR	Liberia	1.04
LBY	Libya	0.51
LTU	Lithuania	3.0100000000000002
LUX	Luxembourg	0.05
168	Macau	0.05
MKD	Macedonia	0.08
