id	name	population
AFG	Afghanistan	15.860000000000001
ALB	Albania	1.2400000000000002
DZA	Algeria	53.24
198	Andorra	0.0
AGO	Angola	134.87
ATA	Antarctica	0.0
197	Antigua and Barbuda	0.11
ARG	Argentina	71.62
192	Aruba	0.0
AUS	Australia	70.77000000000001
AUT	Austria	41.71
AZE	Azerbaijan	0.06
BHS	Bahamas, The	0.18
163	Bahrain	109.77000000000001
BGD	Bangladesh	13676.079999999998
180	Barbados	0.42000000000000004
BLR	Belarus	5.0
BEL	Belgium	368.02
BLZ	Belize	0.16
BEN	Benin	295.49000000000007
201	Bermuda	0.0
BTN	Bhutan	0.27
BOL	Bolivia	1.7900000000000003
BIH	Bosnia and Herzegovina	1.7400000000000002
BWA	Botswana	2.4
215	British Virgin Islands	0.0
BRA	Brazil	515.05
BRN	Brunei	0.34
BGR	Bulgaria	38.13
BFA	Burkina Faso	19.300000000000004
BDI	Burundi	11.77
CAF	Central African Republic	0.64
KHM	Cambodia	130.84
CMR	Cameroon	20.32
CAN	Canada	78.53
TCD	Chad	1.9899999999999998
CHL	Chile	114.74999999999999
CHN	China	21255.09
COL	Colombia	862.8
160	Comoros	22.68
COD	Congo, Democratic Republic of the	55.46
COG	Congo, Republic of the	64.91
223	Cook Islands	0.01
CRI	Costa Rica	1.48
CIV	Cote d'Ivoire	65.48
HRV	Croatia	40.47
CUB	Cuba	1.9100000000000004
CYP	Cyprus	1.2000000000000002
CZE	Czech Republic	116.23999999999998
DNK	Denmark	46.769999999999996
DJI	Djibouti	27.080000000000002
DOM	Dominican Republic	131.46
DOM	Dominica	1.13
ECU	Ecuador	42.82000000000001
EGY	Egypt	1719.15
SLV	El Salvador	10.06
GNQ	Equatorial Guinea	4.18
EST	Estonia	18.06
ETH	Ethiopia	45.03
FJI	Fiji	7.57
FIN	Finland	8.879999999999999
179	French Polynesia	0.08
FRA	France	102.72
GAB	Gabon	18.570000000000004
GMB	Gambia, The	194.92000000000004
GEO	Georgia	0.43000000000000005
DEU	Germany	871.51
GHA	Ghana	101.9
GRC	Greece	66.89
GTM	Guatemala	335.79
GIN	Guinea	63.21000000000001
GUY	Guyana	0.36
HTI	Haiti	0.33
HND	Honduras	45.54
HKG	Hong Kong	1045.43
HUN	Hungary	3.7399999999999993
IDN	Indonesia	1104.44
IRN	Iran	240.89
IRQ	Iraq	1.04
IRL	Ireland	1.0799999999999998
ISR	Israel	183.61
ITA	Italy	1071.33
JAM	Jamaica	1.1600000000000001
JPN	Japan	585.4300000000001
JOR	Jordan	61.67000000000001
KAZ	Kazakhstan	1.07
KEN	Kenya	74.66000000000001
PRK	Korea, North	41.05
KOR	Korea, South	2022.38
KWT	Kuwait	44.949999999999996
KGZ	Kyrgyzstan	0.24
LAO	Laos	0.6600000000000001
LVA	Latvia	17.36
LBN	Lebanon	36.84
LSO	Lesotho	98.26
LBR	Liberia	2.06
LBY	Libya	1.86
LTU	Lithuania	28.119999999999997
LUX	Luxembourg	0.0
168	Macau	1.4800000000000002
MKD	Macedonia	7.15
MDG	Madagascar	130.26
MWI	Malawi	9.639999999999999
MYS	Malaysia	644.98
174	Maldives	2.8500000000000005
MLI	Mali	53.35000000000001
173	Malta	0.85
MRT	Mauritania	171.99
153	Mauritius	368.18
181	Mayotte	0.39
MEX	Mexico	145.8
191	Micronesia, Federated States of	0.02
MNG	Mongolia	0.14
MNE	Montenegro	11.84
228	Montserrat	0.0
MAR	Morocco	249.39999999999998
MOZ	Mozambique	251.26000000000002
NAM	Namibia	0.49000000000000005
NPL	Nepal	411.84
NLD	Netherlands	128.02
183	Netherlands Antilles	0.37
NCL	New Caledonia	0.6699999999999999
NZL	New Zealand	6.96
NIC	Nicaragua	19.83
NER	Niger	93.31
NGA	Nigeria	140.65
209	Northern Mariana Islands	8.1
NOR	Norway	35.86
PAK	Pakistan	4004.79
217	Palau	0.05
