id	name	population
AFG	Afghanistan	145.03
ALB	Albania	9.18
DZA	Algeria	347.77
198	Andorra	0.2
AGO	Angola	123.95
221	Anguilla	0.03
197	Antigua and Barbuda	0.1
ARG	Argentina	361.51000000000005
ARM	Armenia	12.879999999999999
192	Aruba	0.44999999999999996
AUS	Australia	1001.69
AUT	Austria	908.22
AZE	Azerbaijan	35.160000000000004
BHS	Bahamas, The	0.99
163	Bahrain	259.75
BGD	Bangladesh	1566.38
180	Barbados	0.45000000000000007
BLR	Belarus	16.259999999999998
BEL	Belgium	639.7499999999999
BLZ	Belize	0.6100000000000001
BEN	Benin	172.55
201	Bermuda	0.26
BTN	Bhutan	246.73
BOL	Bolivia	16.21
BIH	Bosnia and Herzegovina	1.76
BWA	Botswana	18.640000000000004
215	British Virgin Islands	0.2
BRA	Brazil	877.5200000000001
BRN	Brunei	23.19
BGR	Bulgaria	71.28
BFA	Burkina Faso	29.43
BDI	Burundi	8.479999999999999
CAF	Central African Republic	1.77
KHM	Cambodia	18.45
CMR	Cameroon	40.3
CAN	Canada	493.93999999999994
169	Cape Verde	1.62
206	Cayman Islands	5.27
TCD	Chad	11.010000000000002
CHL	Chile	117.91
CHN	China	3143.03
COL	Colombia	212.10999999999999
160	Comoros	3.0399999999999996
COD	Congo, Democratic Republic of the	136.93000000000004
COG	Congo, Republic of the	82.71
223	Cook Islands	0.19
CRI	Costa Rica	36.41
CIV	Cote d'Ivoire	77.49999999999999
HRV	Croatia	46.26999999999999
CUB	Cuba	4.84
CYP	Cyprus	11.19
CZE	Czech Republic	286.56
DNK	Denmark	177.38000000000002
DJI	Djibouti	91.36
DOM	Dominican Republic	39.620000000000005
DOM	Dominica	2.73
ECU	Ecuador	43.04
EGY	Egypt	1140.2
SLV	El Salvador	15.719999999999999
GNQ	Equatorial Guinea	2.92
ERI	Eritrea	1.7000000000000002
EST	Estonia	145.78000000000003
ETH	Ethiopia	262.68
FLK	Falkland Islands (Islas Malvinas)	0.0
208	Faroe Islands	0.01
FJI	Fiji	16.240000000000002
FIN	Finland	207.29999999999998
179	French Polynesia	0.6000000000000001
FRA	France	2450.1600000000003
GAB	Gabon	26.8
GMB	Gambia, The	26.02
GEO	Georgia	43.9
DEU	Germany	4492.62
GHA	Ghana	399.85
214	Gibraltar	0.16
GRC	Greece	209.93999999999997
GRL	Greenland	0.0
190	Grenada	1.06
GTM	Guatemala	55.85999999999999
GIN	Guinea	62.14
GNB	Guinea-Bissau	11.509999999999998
GUY	Guyana	5.3
HTI	Haiti	9.0
HND	Honduras	44.779999999999994
HKG	Hong Kong	2284.04
HUN	Hungary	415.80000000000007
ISL	Iceland	3.2300000000000004
IDN	Indonesia	1488.84
IRN	Iran	1096.98
IRQ	Iraq	619.35
IRL	Ireland	130.85999999999999
ISR	Israel	965.7499999999999
ITA	Italy	1538.5499999999997
JAM	Jamaica	5.510000000000001
JPN	Japan	977.5600000000001
195	Jersey	0.0
JOR	Jordan	281.65
KAZ	Kazakhstan	153.64999999999998
KEN	Kenya	995.8499999999999
194	Kiribati	0.51
PRK	Korea, North	21.07
KOR	Korea, South	755.8600000000001
KWT	Kuwait	776.8799999999999
KGZ	Kyrgyzstan	8.5
LAO	Laos	65.42
LVA	Latvia	9.78
LBN	Lebanon	87.70999999999998
LSO	Lesotho	0.9000000000000001
LBR	Liberia	42.22
LBY	Libya	60.800000000000004
210	Liechtenstein	0.08
LTU	Lithuania	45.2
LUX	Luxembourg	36.67
168	Macau	15.05
MKD	Macedonia	4.4
MDG	Madagascar	35.260000000000005
MWI	Malawi	66.02
MYS	Malaysia	1382.77
174	Maldives	58.019999999999996
MLI	Mali	67.75
173	Malta	11.009999999999998
203	Marshall Islands	0.0
MRT	Mauritania	9.799999999999999
153	Mauritius	151.84
181	Mayotte	0.01
MEX	Mexico	927.5199999999999
191	Micronesia, Federated States of	0.11
MDA	Moldova	5.68
212	Monaco	0.78
MNG	Mongolia	6.67
MNE	Montenegro	0.5700000000000001
