id	name	population
AFG	Afghanistan	0.13999999999999999
ALB	Albania	2.54
DZA	Algeria	5.010000000000001
AGO	Angola	1.5499999999999998
ARG	Argentina	0.07
AUS	Australia	2.4699999999999993
AUT	Austria	0.0
163	Bahrain	0.14
BGD	Bangladesh	4.58
180	Barbados	0.0
BEN	Benin	14.650000000000002
BTN	Bhutan	20.750000000000004
BOL	Bolivia	0.23
BIH	Bosnia and Herzegovina	0.13
BWA	Botswana	0.14
BRA	Brazil	2.2199999999999998
BGR	Bulgaria	0.11
BFA	Burkina Faso	1.94
CAF	Central African Republic	0.06
CMR	Cameroon	3.81
CAN	Canada	0.86
169	Cape Verde	0.45
CHL	Chile	7.279999999999999
CHN	China	0.08
COL	Colombia	3.0300000000000002
160	Comoros	0.08
COD	Congo, Democratic Republic of the	3.5599999999999996
COG	Congo, Republic of the	7.210000000000001
CRI	Costa Rica	0.63
CIV	Cote d'Ivoire	3.8600000000000003
HRV	Croatia	0.26
CYP	Cyprus	0.05
CZE	Czech Republic	2.8500000000000005
DNK	Denmark	0.22
DJI	Djibouti	9.580000000000002
DOM	Dominican Republic	0.23
ECU	Ecuador	0.4
EGY	Egypt	8.12
SLV	El Salvador	2.0700000000000003
GNQ	Equatorial Guinea	0.11
EST	Estonia	2.33
ETH	Ethiopia	19.58
FJI	Fiji	0.49
FRA	France	11.079999999999997
GAB	Gabon	1.1700000000000002
GMB	Gambia, The	0.77
GEO	Georgia	1.3299999999999996
DEU	Germany	4.99
GHA	Ghana	23.669999999999998
GRC	Greece	4.380000000000001
GTM	Guatemala	0.9600000000000001
GIN	Guinea	3.0300000000000002
GUY	Guyana	0.10999999999999999
HTI	Haiti	13.01
HND	Honduras	0.8399999999999999
HKG	Hong Kong	0.30000000000000004
HUN	Hungary	0.0
IDN	Indonesia	40.74
IRN	Iran	0.30000000000000004
IRL	Ireland	0.03
ISR	Israel	2.08
ITA	Italy	0.06
JAM	Jamaica	2.25
JOR	Jordan	7.430000000000001
KAZ	Kazakhstan	1.8
KEN	Kenya	22.759999999999998
194	Kiribati	0.10999999999999999
KOR	Korea, South	0.01
KWT	Kuwait	0.07
LVA	Latvia	2.26
LBN	Lebanon	2.3300000000000005
LBR	Liberia	5.18
MDG	Madagascar	6.81
MWI	Malawi	2.06
MYS	Malaysia	9.319999999999997
174	Maldives	0.77
MLI	Mali	2.0100000000000002
MRT	Mauritania	2.4899999999999993
153	Mauritius	2.6500000000000004
MEX	Mexico	1.2900000000000003
191	Micronesia, Federated States of	0.05
MNE	Montenegro	0.8300000000000001
MAR	Morocco	0.35000000000000003
MOZ	Mozambique	9.6
NPL	Nepal	16.069999999999997
NLD	Netherlands	0.52
NIC	Nicaragua	2.15
NER	Niger	2.7600000000000002
NGA	Nigeria	107.11999999999999
NOR	Norway	14.13
PAK	Pakistan	0.14
PNG	Papua New Guinea	1.07
PRY	Paraguay	0.07
PER	Peru	10.899999999999999
PHL	Philippines	39.3
POL	Poland	1.2200000000000002
PRT	Portugal	2.57
QAT	Qatar	2.3899999999999997
ROU	Romania	0.74
RWA	Rwanda	4.86
185	Samoa	0.19
186	Sao Tome and Principe	0.04
SAU	Saudi Arabia	4.299999999999999
SEN	Senegal	3.7000000000000006
196	Seychelles	0.09000000000000001
SLE	Sierra Leone	0.74
SGP	Singapore	0.28
SVK	Slovakia	0.01
SLB	Solomon Islands	0.09999999999999999
ZAF	South Africa	13.95
SDS	South Sudan	0.11
ESP	Spain	1.6699999999999997
LKA	Sri Lanka	6.800000000000001
SDN	Sudan	30.31
CHE	Switzerland	0.01
TWN	Taiwan	0.0
TZA	Tanzania	40.83
THA	Thailand	5.69
TGO	Togo	12.39
TTO	Trinidad and Tobago	0.99
TUR	Turkey	52.56
ARE	United Arab Emirates	15.19
GBR	United Kingdom	2.06
USA	United States	28.530000000000005
UGA	Uganda	22.28
UKR	Ukraine	1.74
VUT	Vanuatu	0.14999999999999997
VNM	Vietnam	8.47
YEM	Yemen	13.309999999999999
ZMB	Zambia	14.299999999999999
ZWE	Zimbabwe	3.84
BHS	Bahamas, The	0.01
LTU	Lithuania	0.25
NAM	Namibia	0.43000000000000005
NZL	New Zealand	0.19
SVN	Slovenia	0.02
BEL	Belgium	6.04
URY	Uruguay	0.0
AZE	Azerbaijan	0.04
KHM	Cambodia	0.96
NCL	New Caledonia	0.02
SOM	Somalia	0.02
DOM	Dominica	0.0
JPN	Japan	0.02
LBY	Libya	0.09999999999999999
RUS	Russia	0.06999999999999999
TUN	Tunisia	0.41
UZB	Uzbekistan	0.49
BDI	Burundi	0.03
TCD	Chad	0.1
209	Northern Mariana Islands	0.0
188	Tonga	0.01
187	Saint Lucia	0.0
BRN	Brunei	0.0
MKD	Macedonia	0.01
SYR	Syria	0.73
ARM	Armenia	0.0
FIN	Finland	0.0
