id	name	population
AFG	Afghanistan	3.35
ALB	Albania	0.56
DZA	Algeria	9.050000000000002
198	Andorra	0.02
AGO	Angola	13.12
197	Antigua and Barbuda	0.02
ARG	Argentina	13.850000000000001
ARM	Armenia	0.16
192	Aruba	0.14
AUS	Australia	326.56
AUT	Austria	34.239999999999995
AZE	Azerbaijan	0.26
BHS	Bahamas, The	0.29000000000000004
163	Bahrain	18.180000000000003
BGD	Bangladesh	31.519999999999996
180	Barbados	1.3499999999999999
BLR	Belarus	2.3499999999999996
BEL	Belgium	195.75000000000003
BLZ	Belize	0.16000000000000003
BEN	Benin	1.3800000000000001
201	Bermuda	0.1
BTN	Bhutan	14.08
BOL	Bolivia	0.3
BIH	Bosnia and Herzegovina	0.13
BWA	Botswana	1.7400000000000002
215	British Virgin Islands	0.02
BRA	Brazil	77.68
BRN	Brunei	1.1
BGR	Bulgaria	1.09
BFA	Burkina Faso	2.2399999999999998
BDI	Burundi	0.32
CAF	Central African Republic	0.13
KHM	Cambodia	0.41000000000000003
CMR	Cameroon	2.14
CAN	Canada	215.11999999999998
206	Cayman Islands	0.4600000000000001
TCD	Chad	0.54
CHL	Chile	27.340000000000003
CHN	China	136.71
COL	Colombia	13.92
160	Comoros	0.61
COD	Congo, Democratic Republic of the	7.57
COG	Congo, Republic of the	5.460000000000001
CRI	Costa Rica	1.74
CIV	Cote d'Ivoire	5.120000000000001
HRV	Croatia	3.91
CUB	Cuba	0.36
CYP	Cyprus	2.55
CZE	Czech Republic	11.169999999999998
DNK	Denmark	123.38999999999999
DJI	Djibouti	4.249999999999999
DOM	Dominican Republic	7.07
DOM	Dominica	0.06
ECU	Ecuador	3.16
EGY	Egypt	26.36
SLV	El Salvador	1.7700000000000002
GNQ	Equatorial Guinea	1.6
ERI	Eritrea	0.52
EST	Estonia	2.0399999999999996
ETH	Ethiopia	26.949999999999996
FJI	Fiji	1.7000000000000002
FIN	Finland	38.06999999999999
179	French Polynesia	0.03
FRA	France	753.2900000000002
GAB	Gabon	4.8999999999999995
GMB	Gambia, The	1.7200000000000002
GEO	Georgia	2.2
DEU	Germany	1010.73
GHA	Ghana	10.95
214	Gibraltar	0.03
GRC	Greece	22.37
190	Grenada	0.05
GTM	Guatemala	4.610000000000001
GIN	Guinea	3.3000000000000003
GNB	Guinea-Bissau	1.6400000000000001
GUY	Guyana	0.62
HTI	Haiti	6.539999999999999
HND	Honduras	4.69
HKG	Hong Kong	15.889999999999999
HUN	Hungary	17.560000000000002
ISL	Iceland	0.41
IDN	Indonesia	18.26
IRN	Iran	8.880000000000003
IRQ	Iraq	3.04
IRL	Ireland	19.3
ISR	Israel	33.07
ITA	Italy	160.35999999999999
JAM	Jamaica	3.8
JPN	Japan	77.39999999999999
JOR	Jordan	2.82
KAZ	Kazakhstan	2.0100000000000002
KEN	Kenya	83.13999999999999
194	Kiribati	0.0
PRK	Korea, North	0.89
KOR	Korea, South	35.64
KWT	Kuwait	36.57
KGZ	Kyrgyzstan	0.13
LAO	Laos	0.15000000000000002
LVA	Latvia	4.17
LBN	Lebanon	8.08
LSO	Lesotho	0.04
LBR	Liberia	3.0800000000000005
LBY	Libya	0.89
210	Liechtenstein	0.09
LTU	Lithuania	1.62
LUX	Luxembourg	1.18
168	Macau	0.27999999999999997
MKD	Macedonia	0.15000000000000002
MDG	Madagascar	3.17
MWI	Malawi	9.560000000000002
MYS	Malaysia	53.019999999999996
174	Maldives	14.940000000000001
MLI	Mali	2.4000000000000004
