id	name	population
AFG	Afghanistan	3.93
DZA	Algeria	20.150000000000002
AGO	Angola	74.91
197	Antigua and Barbuda	1.1400000000000001
ARG	Argentina	269.4
ARM	Armenia	0.95
192	Aruba	0.45
AUS	Australia	317.84
AUT	Austria	19.59
AZE	Azerbaijan	1.14
163	Bahrain	187.7
BGD	Bangladesh	1904.5100000000002
180	Barbados	8.620000000000001
BLR	Belarus	6.27
BEL	Belgium	4441.15
BLZ	Belize	5.27
BEN	Benin	49.84
BTN	Bhutan	251.46
BOL	Bolivia	13.39
BWA	Botswana	1.7900000000000003
BRA	Brazil	706.36
BRN	Brunei	0.4700000000000001
BGR	Bulgaria	129.79
BFA	Burkina Faso	32.36
BDI	Burundi	3.4599999999999995
CAF	Central African Republic	1.02
KHM	Cambodia	1.1800000000000002
CMR	Cameroon	59.08
CAN	Canada	466.22
TCD	Chad	3.7599999999999993
CHL	Chile	201.93
CHN	China	3204.03
COL	Colombia	324.09
160	Comoros	5.010000000000001
COD	Congo, Democratic Republic of the	22.709999999999997
COG	Congo, Republic of the	53.61000000000001
CRI	Costa Rica	23.04
CIV	Cote d'Ivoire	158.63
HRV	Croatia	15.08
CUB	Cuba	14.559999999999999
CYP	Cyprus	19.49
CZE	Czech Republic	21.409999999999997
DNK	Denmark	165.32000000000002
DJI	Djibouti	333.66
DOM	Dominican Republic	51.34
DOM	Dominica	0.9299999999999999
ECU	Ecuador	390.81000000000006
EGY	Egypt	424.88000000000005
SLV	El Salvador	31.1
GNQ	Equatorial Guinea	13.100000000000001
ERI	Eritrea	3.98
EST	Estonia	84.33000000000001
ETH	Ethiopia	831.5300000000001
FJI	Fiji	0.76
FIN	Finland	73.83999999999999
FRA	France	254.22000000000003
GAB	Gabon	15.95
GMB	Gambia, The	39.53
GEO	Georgia	32.92
DEU	Germany	1421.85
GHA	Ghana	482.9
GRC	Greece	210.10999999999999
190	Grenada	2.8400000000000003
GTM	Guatemala	31.01
GIN	Guinea	60.910000000000004
GNB	Guinea-Bissau	7.52
GUY	Guyana	23.520000000000003
HTI	Haiti	36.690000000000005
HND	Honduras	53.93
HKG	Hong Kong	262.46
HUN	Hungary	17.900000000000002
ISL	Iceland	6.14
IDN	Indonesia	2190.7700000000004
IRN	Iran	2072.87
IRQ	Iraq	74.43
IRL	Ireland	47.98999999999999
ISR	Israel	141.39000000000001
ITA	Italy	5457.000000000001
JAM	Jamaica	32.68
