id	name	population
AFG	Afghanistan	22.22
DZA	Algeria	893.6299999999999
AGO	Angola	490.3
ARM	Armenia	71.80000000000001
AZE	Azerbaijan	122.38999999999999
BHS	Bahamas, The	0.0
163	Bahrain	140.45
BGD	Bangladesh	11.5
BEN	Benin	6.5200000000000005
BTN	Bhutan	17.659999999999997
BWA	Botswana	0.0
BRA	Brazil	0.0
BRN	Brunei	69.47
KHM	Cambodia	1.8900000000000001
CMR	Cameroon	1.59
206	Cayman Islands	0.0
CHN	China	11.61
160	Comoros	42.98999999999999
COD	Congo, Democratic Republic of the	47.96999999999999
COG	Congo, Republic of the	259.51
CIV	Cote d'Ivoire	17.07
CZE	Czech Republic	0.0
DNK	Denmark	0.07
EGY	Egypt	2495.4199999999996
GNQ	Equatorial Guinea	42.370000000000005
FRA	France	0.09
GAB	Gabon	154.49999999999997
GMB	Gambia, The	2.16
GEO	Georgia	160.09
DEU	Germany	0.74
GHA	Ghana	32.44
GIN	Guinea	3.1400000000000006
HKG	Hong Kong	95.79
IDN	Indonesia	651.81
IRN	Iran	486.03999999999996
IRQ	Iraq	898.4400000000002
ITA	Italy	0.6
JOR	Jordan	792.12
KEN	Kenya	0.1
KOR	Korea, South	4.48
KWT	Kuwait	560.74
KGZ	Kyrgyzstan	2.08
LAO	Laos	70.27000000000001
LVA	Latvia	0.0
LBN	Lebanon	155.27
LBR	Liberia	21.67
LBY	Libya	6.9
MDG	Madagascar	0.0
MYS	Malaysia	3201.99
174	Maldives	45.64999999999999
173	Malta	0.0
153	Mauritius	94.34
MAR	Morocco	0.0
MOZ	Mozambique	0.78
NAM	Namibia	14.219999999999999
NPL	Nepal	2.04
209	Northern Mariana Islands	0.0
NOR	Norway	392.48
PAK	Pakistan	56.339999999999996
PHL	Philippines	1023.8599999999999
QAT	Qatar	252.17999999999998
RUS	Russia	158.27
SAU	Saudi Arabia	1917.4099999999999
SEN	Senegal	90.33000000000001
196	Seychelles	6.29
SLE	Sierra Leone	15.350000000000001
SGP	Singapore	17.48
ZAF	South Africa	5.63
ESP	Spain	0.93
LKA	Sri Lanka	1.02
SYR	Syria	170.46999999999997
TWN	Taiwan	66.17000000000002
TJK	Tajikistan	49.160000000000004
THA	Thailand	1262.17
TUN	Tunisia	2.33
TUR	Turkey	16.09
TKM	Turkmenistan	164.87
ARE	United Arab Emirates	1466.15
GBR	United Kingdom	0.41000000000000003
USA	United States	13.66
UKR	Ukraine	0.0
UZB	Uzbekistan	25.639999999999997
VNM	Vietnam	14036.550000000001
YEM	Yemen	30.99
ZMB	Zambia	0.09
CUB	Cuba	0.0
AUS	Australia	0.09999999999999999
BIH	Bosnia and Herzegovina	0.01
GNB	Guinea-Bissau	0.08
MNG	Mongolia	0.0
VEN	Venezuela	0.11
CAN	Canada	7.55
JPN	Japan	0.0
KAZ	Kazakhstan	1.8599999999999999
MDA	Moldova	1.3599999999999999
POL	Poland	0.1
TZA	Tanzania	1.31
ALB	Albania	0.71
TCD	Chad	1.99
SLV	El Salvador	0.01
MEX	Mexico	0.5800000000000001
NLD	Netherlands	0.12
NZL	New Zealand	0.0
ROU	Romania	0.08
SDN	Sudan	0.09
ZWE	Zimbabwe	0.0
AUT	Austria	0.01
BGR	Bulgaria	0.16999999999999998
LTU	Lithuania	0.07
TGO	Togo	0.03
ARG	Argentina	0.01
HTI	Haiti	0.02
MLI	Mali	0.0
228	Montserrat	0.13
NGA	Nigeria	0.02
PRT	Portugal	0.39
SWE	Sweden	0.01
COL	Colombia	0.0
GUY	Guyana	0.0
HUN	Hungary	0.0
ISR	Israel	0.0
CHE	Switzerland	0.0
