id	name	population
AFG	Afghanistan	11.56
ALB	Albania	0.07
DZA	Algeria	41.99999999999999
AGO	Angola	3.8600000000000003
197	Antigua and Barbuda	0.01
ARG	Argentina	11.47
ARM	Armenia	0.02
192	Aruba	0.03
AUS	Australia	66.91
AUT	Austria	1.4200000000000002
AZE	Azerbaijan	1.43
163	Bahrain	6.84
BGD	Bangladesh	309.18000000000006
180	Barbados	0.02
BLR	Belarus	0.8200000000000001
BEL	Belgium	34.349999999999994
BLZ	Belize	0.0
BEN	Benin	9.740000000000002
BTN	Bhutan	7.8100000000000005
BOL	Bolivia	0.7100000000000001
BIH	Bosnia and Herzegovina	0.09
BWA	Botswana	0.8600000000000001
BRA	Brazil	86.86
BRN	Brunei	0.08999999999999998
BGR	Bulgaria	1.04
BFA	Burkina Faso	1.47
BDI	Burundi	0.8
CAF	Central African Republic	0.06
KHM	Cambodia	9.72
CMR	Cameroon	2.14
CAN	Canada	25.44
169	Cape Verde	0.03
206	Cayman Islands	0.01
TCD	Chad	0.3500000000000001
CHL	Chile	14.370000000000001
CHN	China	46.27
COL	Colombia	40.76
160	Comoros	0.07
COD	Congo, Democratic Republic of the	2.95
COG	Congo, Republic of the	3.8299999999999996
CRI	Costa Rica	0.9200000000000002
CIV	Cote d'Ivoire	11.92
HRV	Croatia	0.3
CUB	Cuba	0.39000000000000007
CYP	Cyprus	0.09999999999999999
CZE	Czech Republic	2.56
DNK	Denmark	8.17
DJI	Djibouti	3.24
DOM	Dominican Republic	1.15
DOM	Dominica	0.09
ECU	Ecuador	3.95
EGY	Egypt	63.09
SLV	El Salvador	0.36
GNQ	Equatorial Guinea	0.26
ERI	Eritrea	0.41000000000000003
EST	Estonia	1.32
ETH	Ethiopia	16.34
FJI	Fiji	2.9799999999999995
FIN	Finland	11.81
179	French Polynesia	0.02
FRA	France	49.56
GAB	Gabon	0.07
GMB	Gambia, The	0.4400000000000001
GEO	Georgia	1.1700000000000002
DEU	Germany	229.04000000000002
GHA	Ghana	21.68
214	Gibraltar	0.0
GRC	Greece	2.07
190	Grenada	0.0
GTM	Guatemala	5.2
GIN	Guinea	1.41
GNB	Guinea-Bissau	0.0
GUY	Guyana	0.12999999999999998
HTI	Haiti	8.39
HND	Honduras	1.51
HKG	Hong Kong	53.39000000000001
HUN	Hungary	4.18
ISL	Iceland	0.04
IDN	Indonesia	70.28
IRN	Iran	79.29
IRQ	Iraq	28.32
IRL	Ireland	1.77
ISR	Israel	11.82
ITA	Italy	54.18
JAM	Jamaica	0.42000000000000004
JPN	Japan	34.199999999999996
JOR	Jordan	46.79
KAZ	Kazakhstan	2.5799999999999996
KEN	Kenya	39.849999999999994
194	Kiribati	0.0
PRK	Korea, North	1.6900000000000002
KOR	Korea, South	46.550000000000004
KWT	Kuwait	7.769999999999999
KGZ	Kyrgyzstan	1.07
LAO	Laos	0.27
LVA	Latvia	29.5
LBN	Lebanon	5.72
LSO	Lesotho	0.0
LBR	Liberia	0.8200000000000001
LBY	Libya	4.8999999999999995
LTU	Lithuania	1.8099999999999998
LUX	Luxembourg	0.53
168	Macau	0.02
MKD	Macedonia	0.05
MDG	Madagascar	5.6899999999999995
MWI	Malawi	3.14
MYS	Malaysia	35.68
174	Maldives	7.82
MLI	Mali	1.6
173	Malta	0.12
203	Marshall Islands	0.19
MRT	Mauritania	0.81
153	Mauritius	11.189999999999998
181	Mayotte	0.0
MEX	Mexico	56.580000000000005
MDA	Moldova	0.52
212	Monaco	0.0
MNG	Mongolia	0.19
MNE	Montenegro	0.0
228	Montserrat	0.0
MAR	Morocco	9.97
MOZ	Mozambique	3.38
NAM	Namibia	0.56
NPL	Nepal	132.49
NLD	Netherlands	162.82
183	Netherlands Antilles	0.26
NCL	New Caledonia	0.05
NZL	New Zealand	9.55
NIC	Nicaragua	0.8400000000000001
NER	Niger	0.7300000000000001
NGA	Nigeria	54.56
209	Northern Mariana Islands	1.09
NOR	Norway	13.4
PAK	Pakistan	83.93
PNG	Papua New Guinea	1.01
PRY	Paraguay	1.0999999999999999
PER	Peru	10.86
PHL	Philippines	32.75
POL	Poland	30.05
PRT	Portugal	3.8099999999999996
PRI	Puerto Rico	1.01
QAT	Qatar	8.19
ROU	Romania	4.42
RUS	Russia	53.739999999999995
RWA	Rwanda	0.78
185	Samoa	0.06
211	San Marino	0.0
SAU	Saudi Arabia	58.16999999999999
SEN	Senegal	4.57
SRB	Serbia	0.09000000000000001
196	Seychelles	0.4600000000000001
SLE	Sierra Leone	0.18000000000000002
SGP	Singapore	18.09
SVK	Slovakia	0.11999999999999998
SVN	Slovenia	1.6400000000000003
SOM	Somalia	3.6800000000000006
ZAF	South Africa	37.22
SDS	South Sudan	0.18
ESP	Spain	79.00000000000001
LKA	Sri Lanka	87.41
207	Saint Kitts and Nevis	0.0
187	Saint Lucia	0.01
193	Saint Vincent and the Grenadines	0.14
SDN	Sudan	19.71
SUR	Suriname	0.07
SWZ	Swaziland	0.12
SWE	Sweden	4.390000000000001
CHE	Switzerland	4.970000000000001
SYR	Syria	30.449999999999996
TWN	Taiwan	6.6000000000000005
TJK	Tajikistan	0.05
TZA	Tanzania	31.63
THA	Thailand	135.47
TLS	Timor-Leste	0.0
TGO	Togo	4.8999999999999995
TTO	Trinidad and Tobago	1.51
TUN	Tunisia	8.83
TUR	Turkey	62.849999999999994
TKM	Turkmenistan	0.11000000000000001
ARE	United Arab Emirates	276.61
GBR	United Kingdom	134.89
USA	United States	776.65
UGA	Uganda	10.13
UKR	Ukraine	15.74
URY	Uruguay	1.0000000000000002
UZB	Uzbekistan	1.4000000000000004
VUT	Vanuatu	0.060000000000000005
VEN	Venezuela	5.5600000000000005
VNM	Vietnam	43.72
189	Virgin Islands	0.0
YEM	Yemen	48.93
ZMB	Zambia	4.760000000000001
ZWE	Zimbabwe	3.4400000000000004
BHS	Bahamas, The	0.01
201	Bermuda	0.0
186	Sao Tome and Principe	0.0
SLB	Solomon Islands	0.03
216	Turks and Caicos Islands	0.05
202	American Samoa	0.02
225	Saint Helena, Ascension, and Tristan da Cunha	0.0
233	Tokelau	0.0
PAN	Panama	0.03
221	Anguilla	0.0
198	Andorra	0.0
208	Faroe Islands	0.0
