id	name	population
AFG	Afghanistan	141.98
ALB	Albania	0.0
DZA	Algeria	4.82
198	Andorra	0.05
AGO	Angola	0.39
197	Antigua and Barbuda	0.04
ARG	Argentina	15.34
ARM	Armenia	70.00999999999999
192	Aruba	2.03
AUS	Australia	2500.84
AUT	Austria	40.089999999999996
AZE	Azerbaijan	0.6100000000000001
BHS	Bahamas, The	9.11
163	Bahrain	347.6199999999999
BGD	Bangladesh	35.42999999999999
180	Barbados	0.12
BLR	Belarus	1.5999999999999996
BEL	Belgium	23722.71
BLZ	Belize	0.01
BEN	Benin	13.900000000000002
201	Bermuda	0.06
BTN	Bhutan	4.1899999999999995
BOL	Bolivia	0.07
BIH	Bosnia and Herzegovina	0.0
BWA	Botswana	231.07999999999998
215	British Virgin Islands	0.02
BRA	Brazil	29.279999999999998
BRN	Brunei	6.65
BGR	Bulgaria	3.18
BFA	Burkina Faso	0.66
CAF	Central African Republic	0.0
KHM	Cambodia	0.38
CMR	Cameroon	0.3
CAN	Canada	1135.7800000000002
206	Cayman Islands	0.16
TCD	Chad	2.18
CHL	Chile	26.54
CHN	China	1367.1500000000003
COL	Colombia	6.1000000000000005
160	Comoros	0.05
COD	Congo, Democratic Republic of the	1.44
COG	Congo, Republic of the	0.53
CRI	Costa Rica	0.33
CIV	Cote d'Ivoire	1.5600000000000003
HRV	Croatia	3.62
CUB	Cuba	0.16999999999999998
CYP	Cyprus	3.7299999999999995
CZE	Czech Republic	20.439999999999998
DNK	Denmark	71.04
DJI	Djibouti	1.62
DOM	Dominican Republic	0.32000000000000006
ECU	Ecuador	0.26
EGY	Egypt	22.54
SLV	El Salvador	0.7100000000000001
EST	Estonia	4.05
ETH	Ethiopia	2.07
FJI	Fiji	37.440000000000005
FIN	Finland	47.540000000000006
179	French Polynesia	0.03
FRA	France	970.6
GAB	Gabon	0.01
GMB	Gambia, The	0.05
GEO	Georgia	0.74
DEU	Germany	977.8199999999999
GHA	Ghana	3.1300000000000003
214	Gibraltar	4.619999999999999
GRC	Greece	11.809999999999999
GRL	Greenland	0.04
190	Grenada	0.01
GTM	Guatemala	0.52
204	Guernsey	0.03
GIN	Guinea	4.8999999999999995
GUY	Guyana	0.61
HTI	Haiti	0.01
HND	Honduras	4.97
HKG	Hong Kong	102038.64
HUN	Hungary	5.94
ISL	Iceland	0.4
IDN	Indonesia	14.159999999999998
IRN	Iran	139.17
IRQ	Iraq	21.37
IRL	Ireland	33.22
ISR	Israel	10114.76
ITA	Italy	980.69
JAM	Jamaica	0.8900000000000001
JPN	Japan	2902.9199999999996
JOR	Jordan	1.9799999999999998
KAZ	Kazakhstan	6.369999999999999
KEN	Kenya	3.0399999999999996
PRK	Korea, North	4.359999999999999
KOR	Korea, South	754.0699999999999
