id	name	population
AFG	Afghanistan	78.36999999999999
ALB	Albania	6.620000000000001
DZA	Algeria	592.2199999999999
202	American Samoa	0.28
198	Andorra	0.24
AGO	Angola	116.35
221	Anguilla	0.01
197	Antigua and Barbuda	0.26
ARG	Argentina	284.42999999999995
ARM	Armenia	8.69
192	Aruba	0.56
AUS	Australia	1052.69
AUT	Austria	260.77
AZE	Azerbaijan	55.56999999999999
BHS	Bahamas, The	1.38
163	Bahrain	408.05
BGD	Bangladesh	3358.2999999999997
180	Barbados	2.3000000000000003
BLR	Belarus	32.25000000000001
BEL	Belgium	1614.72
BLZ	Belize	5.469999999999999
BEN	Benin	53.88
201	Bermuda	0.08
BTN	Bhutan	406.68
BOL	Bolivia	49.98
BIH	Bosnia and Herzegovina	35.199999999999996
BWA	Botswana	35.989999999999995
215	British Virgin Islands	0.32999999999999996
BRA	Brazil	2114.5099999999998
BRN	Brunei	41.370000000000005
BGR	Bulgaria	35.60000000000001
BFA	Burkina Faso	88.00000000000001
BDI	Burundi	12.07
CAF	Central African Republic	5.3500000000000005
KHM	Cambodia	59.37
CMR	Cameroon	96.46000000000001
CAN	Canada	1152.2
169	Cape Verde	2.5900000000000003
206	Cayman Islands	0.3
TCD	Chad	28.040000000000003
CHL	Chile	178.35000000000002
CHN	China	4658.02
COL	Colombia	295.93
160	Comoros	15.06
COD	Congo, Democratic Republic of the	123.50000000000001
COG	Congo, Republic of the	128.69
223	Cook Islands	0.1
CRI	Costa Rica	24.319999999999997
CIV	Cote d'Ivoire	161.47000000000003
HRV	Croatia	49.94
CUB	Cuba	18.45
CYP	Cyprus	12.600000000000001
CZE	Czech Republic	289.25
DNK	Denmark	344.5
DJI	Djibouti	163.65
DOM	Dominican Republic	92.72999999999999
DOM	Dominica	1.2600000000000002
ECU	Ecuador	66.05
EGY	Egypt	1220.6899999999998
SLV	El Salvador	30.010000000000005
GNQ	Equatorial Guinea	3.75
ERI	Eritrea	8.94
EST	Estonia	18.110000000000003
ETH	Ethiopia	723.88
208	Faroe Islands	0.02
FJI	Fiji	42.370000000000005
FIN	Finland	146.04
179	French Polynesia	2.36
FRA	France	2689.83
GAB	Gabon	36.74
GMB	Gambia, The	12.449999999999998
GEO	Georgia	56.040000000000006
DEU	Germany	7091.2
GHA	Ghana	582.71
214	Gibraltar	0.2
GRC	Greece	73.56
GRL	Greenland	0.0
190	Grenada	0.52
GTM	Guatemala	176.85000000000002
GIN	Guinea	94.96
GNB	Guinea-Bissau	2.9899999999999998
GUY	Guyana	17.520000000000003
HTI	Haiti	12.470000000000002
HND	Honduras	95.90999999999998
HKG	Hong Kong	556.5500000000001
HUN	Hungary	667.18
ISL	Iceland	5.62
IDN	Indonesia	2709.49
IRN	Iran	1291.91
IRQ	Iraq	431.05
IRL	Ireland	161.15
ISR	Israel	513.3999999999999
ITA	Italy	3108.35
JAM	Jamaica	8.76
JPN	Japan	2140.66
JOR	Jordan	200.0
KAZ	Kazakhstan	107.2
KEN	Kenya	1571.8099999999997
194	Kiribati	0.24000000000000002
PRK	Korea, North	47.36
KOR	Korea, South	1196.8200000000002
KWT	Kuwait	1674.1299999999999
KGZ	Kyrgyzstan	2.88
LAO	Laos	36.800000000000004
LVA	Latvia	24.779999999999998
LBN	Lebanon	116.42
LSO	Lesotho	5.04
LBR	Liberia	48.54
LBY	Libya	98.63000000000001
210	Liechtenstein	0.47000000000000003
LTU	Lithuania	128.03
LUX	Luxembourg	22.35
168	Macau	0.13
MKD	Macedonia	4.819999999999999
MDG	Madagascar	43.38000000000001
MWI	Malawi	194.94000000000003
MYS	Malaysia	2377.13
174	Maldives	76.32
MLI	Mali	120.57000000000001
173	Malta	14.119999999999997
203	Marshall Islands	0.11
MRT	Mauritania	28.789999999999996
153	Mauritius	102.41000000000001
181	Mayotte	0.01
MEX	Mexico	1050.52
191	Micronesia, Federated States of	0.02
MDA	Moldova	1.2500000000000002
212	Monaco	0.15
MNG	Mongolia	11.93
MNE	Montenegro	2.2399999999999998
228	Montserrat	0.7100000000000001
MAR	Morocco	344.13
MOZ	Mozambique	238.27
NAM	Namibia	36.15
222	Nauru	0.67
NPL	Nepal	2674.61
NLD	Netherlands	1536.34
183	Netherlands Antilles	1.09
NCL	New Caledonia	56.849999999999994
NZL	New Zealand	147.44
NIC	Nicaragua	34.04999999999999
NER	Niger	27.380000000000003
NGA	Nigeria	2612.4300000000003
209	Northern Mariana Islands	115.83999999999999
NOR	Norway	1269.56
PAK	Pakistan	507.3299999999999
217	Palau	0.0
PNG	Papua New Guinea	37.629999999999995
PRY	Paraguay	34.53
PER	Peru	185.54000000000002
PHL	Philippines	957.7700000000001
POL	Poland	574.5200000000001
PRT	Portugal	182.64
PRI	Puerto Rico	5.490000000000001
QAT	Qatar	590.99
ROU	Romania	286.59999999999997
RUS	Russia	1346.52
RWA	Rwanda	79.88000000000001
ESH	Western Sahara	0.0
185	Samoa	0.9
211	San Marino	0.0
186	Sao Tome and Principe	0.24999999999999997
SAU	Saudi Arabia	3011.4799999999996
SEN	Senegal	231.46000000000004
SRB	Serbia	29.67
196	Seychelles	19.47
SLE	Sierra Leone	67.99999999999999
SGP	Singapore	4144.94
SVK	Slovakia	127.83
SVN	Slovenia	116.85
SLB	Solomon Islands	1.34
SOM	Somalia	37.21999999999999
ZAF	South Africa	1528.07
SDS	South Sudan	2.1100000000000003
ESP	Spain	1442.62
LKA	Sri Lanka	1509.33
225	Saint Helena, Ascension, and Tristan da Cunha	0.0
207	Saint Kitts and Nevis	0.11
187	Saint Lucia	0.67
227	Saint Pierre and Miquelon	0.01
193	Saint Vincent and the Grenadines	0.24
SDN	Sudan	562.3399999999999
SUR	Suriname	30.06
SWZ	Swaziland	13.950000000000001
SWE	Sweden	553.46
CHE	Switzerland	673.1999999999999
SYR	Syria	173.79000000000002
TWN	Taiwan	606.6
TJK	Tajikistan	8.83
TZA	Tanzania	746.0500000000001
THA	Thailand	2861.56
TLS	Timor-Leste	40.15
TGO	Togo	73.00999999999999
188	Tonga	0.09
TTO	Trinidad and Tobago	13.700000000000001
TUN	Tunisia	129.49
TUR	Turkey	2946.8399999999997
TKM	Turkmenistan	117.16
216	Turks and Caicos Islands	0.03
ARE	United Arab Emirates	6149.740000000001
GBR	United Kingdom	6336.070000000001
USA	United States	18885.940000000002
UGA	Uganda	471.1
UKR	Ukraine	168.51000000000002
URY	Uruguay	57.1
UZB	Uzbekistan	210.82999999999998
VUT	Vanuatu	0.26
VEN	Venezuela	98.72
VNM	Vietnam	1625.56
YEM	Yemen	170.35
ZMB	Zambia	342.26
ZWE	Zimbabwe	126.41999999999999
237	Pitcairn Islands	0.01
230	Norfolk Island	0.03
189	Virgin Islands	0.09
PAN	Panama	0.12
233	Tokelau	0.0
224	Tuvalu	0.0
ATA	Antarctica	0.04
236	Cocos (Keeling) Islands	0.0
220	Wallis and Futuna	0.01
