id	name	population
AFG	Afghanistan	57.35999999999999
ALB	Albania	1.2200000000000002
DZA	Algeria	31.37
202	American Samoa	0.08
198	Andorra	0.3
AGO	Angola	37.92
221	Anguilla	0.11
ATA	Antarctica	0.11
197	Antigua and Barbuda	0.03
ARG	Argentina	37.78
ARM	Armenia	0.13
192	Aruba	0.26
AUS	Australia	1020.96
AUT	Austria	85.53
AZE	Azerbaijan	0.79
BHS	Bahamas, The	1.99
163	Bahrain	16.33
BGD	Bangladesh	61.56999999999999
180	Barbados	1.3099999999999998
BLR	Belarus	3.0000000000000004
BEL	Belgium	494.74999999999994
BLZ	Belize	0.43
BEN	Benin	10.49
201	Bermuda	0.39
BTN	Bhutan	5.029999999999999
BOL	Bolivia	0.2
BIH	Bosnia and Herzegovina	2.68
BWA	Botswana	3.0
215	British Virgin Islands	0.01
BRA	Brazil	110.22
BRN	Brunei	2.67
BGR	Bulgaria	7.5
BFA	Burkina Faso	7.570000000000001
BDI	Burundi	8.44
CAF	Central African Republic	0.18
KHM	Cambodia	6.090000000000001
CMR	Cameroon	22.750000000000004
CAN	Canada	924.06
206	Cayman Islands	0.18000000000000002
TCD	Chad	3.3699999999999997
CHL	Chile	262.04
CHN	China	181.41
COL	Colombia	36.99999999999999
160	Comoros	2.9000000000000004
COD	Congo, Democratic Republic of the	33.12
COG	Congo, Republic of the	23.599999999999998
223	Cook Islands	0.35000000000000003
CRI	Costa Rica	12.45
CIV	Cote d'Ivoire	97.24000000000001
HRV	Croatia	44.059999999999995
CUB	Cuba	2.37
CYP	Cyprus	3.52
CZE	Czech Republic	32.29
DNK	Denmark	344.24
DJI	Djibouti	18.020000000000003
DOM	Dominican Republic	12.190000000000001
DOM	Dominica	0.21
ECU	Ecuador	16.99
EGY	Egypt	55.010000000000005
SLV	El Salvador	2.1799999999999997
GNQ	Equatorial Guinea	0.26
ERI	Eritrea	0.14
EST	Estonia	15.04
ETH	Ethiopia	34.30000000000001
208	Faroe Islands	0.1
FJI	Fiji	13.41
FIN	Finland	126.16
179	French Polynesia	1.03
FRA	France	1031.95
GAB	Gabon	1.1099999999999999
GMB	Gambia, The	13.760000000000002
GEO	Georgia	4.36
DEU	Germany	2336.81
GHA	Ghana	280.58
214	Gibraltar	0.06
GRC	Greece	92.33000000000001
GRL	Greenland	0.0
190	Grenada	0.28
GTM	Guatemala	13.59
204	Guernsey	0.0
GIN	Guinea	8.49
GNB	Guinea-Bissau	9.749999999999998
GUY	Guyana	1.8399999999999999
HTI	Haiti	1.4800000000000002
HND	Honduras	8.51
HKG	Hong Kong	70.59
HUN	Hungary	7.6000000000000005
ISL	Iceland	3.94
IDN	Indonesia	19.0
IRN	Iran	93.59
IRQ	Iraq	30.309999999999995
IRL	Ireland	86.80999999999999
ISR	Israel	225.42999999999998
ITA	Italy	929.63
JAM	Jamaica	1.91
JPN	Japan	449.21999999999997
JOR	Jordan	40.790000000000006
KAZ	Kazakhstan	10.530000000000001
KEN	Kenya	185.11999999999998
194	Kiribati	0.15
PRK	Korea, North	1.9200000000000002
KOR	Korea, South	67.76
KWT	Kuwait	40.68
KGZ	Kyrgyzstan	2.78
LAO	Laos	0.12000000000000001
LVA	Latvia	58.19
LBN	Lebanon	15.829999999999998
LSO	Lesotho	2.49
LBR	Liberia	5.58
LBY	Libya	25.549999999999997
LTU	Lithuania	23.419999999999998
LUX	Luxembourg	0.16999999999999998
168	Macau	0.7400000000000001
MKD	Macedonia	0.25
MDG	Madagascar	19.51
MWI	Malawi	44.9
MYS	Malaysia	144.47
174	Maldives	17.76
MLI	Mali	6.06
173	Malta	5.670000000000001
203	Marshall Islands	0.0
MRT	Mauritania	5.870000000000001
153	Mauritius	42.83
181	Mayotte	0.02
MEX	Mexico	175.79999999999998
MDA	Moldova	0.33000000000000007
212	Monaco	0.12000000000000001
MNG	Mongolia	0.7100000000000001
MNE	Montenegro	0.31
228	Montserrat	0.0
MAR	Morocco	14.349999999999998
MOZ	Mozambique	72.67
NAM	Namibia	11.74
NPL	Nepal	48.36
NLD	Netherlands	903.2799999999999
183	Netherlands Antilles	11.410000000000002
NCL	New Caledonia	1.17
NZL	New Zealand	165.89999999999995
NIC	Nicaragua	9.989999999999998
NER	Niger	1.1600000000000001
NGA	Nigeria	227.23
230	Norfolk Island	0.02
209	Northern Mariana Islands	257.99
NOR	Norway	55.64
PAK	Pakistan	53.81999999999999
217	Palau	0.0
PNG	Papua New Guinea	10.85
PRY	Paraguay	3.3800000000000003
PER	Peru	50.480000000000004
PHL	Philippines	57.150000000000006
237	Pitcairn Islands	0.0
POL	Poland	262.25
PRT	Portugal	80.92
PRI	Puerto Rico	2.6100000000000003
QAT	Qatar	23.47
ROU	Romania	11.709999999999999
RUS	Russia	133.29999999999998
RWA	Rwanda	18.509999999999998
185	Samoa	0.33999999999999997
211	San Marino	0.05
SAU	Saudi Arabia	234.78
SEN	Senegal	59.889999999999986
SRB	Serbia	3.65
196	Seychelles	2.6399999999999997
SLE	Sierra Leone	14.329999999999998
SGP	Singapore	71.34
SVK	Slovakia	23.47
SVN	Slovenia	49.19
SLB	Solomon Islands	1.4100000000000001
SOM	Somalia	3.789999999999999
ZAF	South Africa	380.38
SDS	South Sudan	0.05
ESP	Spain	786.0599999999998
LKA	Sri Lanka	125.38000000000001
207	Saint Kitts and Nevis	0.14
187	Saint Lucia	0.09
193	Saint Vincent and the Grenadines	0.08
SDN	Sudan	78.72
SUR	Suriname	3.66
SWZ	Swaziland	0.8800000000000002
SWE	Sweden	527.18
CHE	Switzerland	82.35999999999999
SYR	Syria	68.41999999999999
TWN	Taiwan	36.54
TJK	Tajikistan	0.24000000000000002
TZA	Tanzania	231.66999999999996
THA	Thailand	174.55999999999997
TLS	Timor-Leste	0.21000000000000002
TGO	Togo	56.35
188	Tonga	0.09999999999999999
TTO	Trinidad and Tobago	12.000000000000004
TUN	Tunisia	6.930000000000001
TUR	Turkey	67.81
TKM	Turkmenistan	0.02
ARE	United Arab Emirates	1280.94
GBR	United Kingdom	2415.48
USA	United States	18991.170000000002
UGA	Uganda	74.21000000000001
UKR	Ukraine	13.149999999999999
URY	Uruguay	28.560000000000002
UZB	Uzbekistan	1.35
VUT	Vanuatu	0.6200000000000001
VEN	Venezuela	12.79
VNM	Vietnam	19.490000000000002
189	Virgin Islands	0.15000000000000002
YEM	Yemen	44.1
ZMB	Zambia	43.879999999999995
ZWE	Zimbabwe	28.32
216	Turks and Caicos Islands	0.0
186	Sao Tome and Principe	0.19
169	Cape Verde	0.02
ESH	Western Sahara	0.01
191	Micronesia, Federated States of	0.0
220	Wallis and Futuna	0.02
ATF	French Southern and Antarctic Lands	0.0
