id	name	population
AFG	Afghanistan	7.679999999999999
ALB	Albania	2.54
DZA	Algeria	21.47
198	Andorra	0.0
AGO	Angola	29.070000000000004
221	Anguilla	0.01
197	Antigua and Barbuda	0.06
ARG	Argentina	3.2700000000000005
ARM	Armenia	1.7100000000000002
192	Aruba	0.03
AUS	Australia	116.04
AUT	Austria	1.4500000000000002
AZE	Azerbaijan	0.24
BHS	Bahamas, The	0.48000000000000004
163	Bahrain	31.47
BGD	Bangladesh	297.40000000000003
180	Barbados	0.27999999999999997
BLR	Belarus	0.62
BEL	Belgium	23.57
BLZ	Belize	1.35
BEN	Benin	12.43
201	Bermuda	0.02
BTN	Bhutan	26.32
BOL	Bolivia	3.73
BIH	Bosnia and Herzegovina	0.03
BWA	Botswana	2.47
BRA	Brazil	20.47
BRN	Brunei	3.79
BGR	Bulgaria	10.27
BFA	Burkina Faso	7.75
BDI	Burundi	2.42
CAF	Central African Republic	0.25
KHM	Cambodia	10.879999999999997
CMR	Cameroon	24.07
CAN	Canada	60.64000000000001
169	Cape Verde	0.02
206	Cayman Islands	0.07
TCD	Chad	0.7999999999999999
CHL	Chile	11.700000000000001
CHN	China	165.43000000000004
COL	Colombia	20.419999999999998
160	Comoros	1.63
COD	Congo, Democratic Republic of the	28.110000000000003
COG	Congo, Republic of the	19.419999999999998
CRI	Costa Rica	19.97
CIV	Cote d'Ivoire	21.27
HRV	Croatia	1.47
CUB	Cuba	1.1400000000000001
CYP	Cyprus	2.2600000000000002
CZE	Czech Republic	3.41
DNK	Denmark	19.279999999999998
DJI	Djibouti	34.26
DOM	Dominican Republic	6.92
DOM	Dominica	0.33
ECU	Ecuador	8.57
EGY	Egypt	137.63
SLV	El Salvador	2.54
GNQ	Equatorial Guinea	0.8900000000000001
ERI	Eritrea	1.34
EST	Estonia	3.7
ETH	Ethiopia	147.57
FJI	Fiji	4.57
FIN	Finland	9.819999999999999
179	French Polynesia	0.32
FRA	France	37.86
GAB	Gabon	3.1799999999999993
GMB	Gambia, The	4.02
GEO	Georgia	18.02
DEU	Germany	150.81
GHA	Ghana	128.04
214	Gibraltar	0.0
GRC	Greece	50.61999999999999
190	Grenada	0.07
GTM	Guatemala	5.4
GIN	Guinea	5.44
GNB	Guinea-Bissau	0.37999999999999995
GUY	Guyana	2.82
HTI	Haiti	8.639999999999999
HND	Honduras	7.490000000000001
HKG	Hong Kong	68.61000000000001
HUN	Hungary	0.7800000000000001
ISL	Iceland	0.03
IDN	Indonesia	167.20000000000002
IRN	Iran	434.29
IRQ	Iraq	15.59
IRL	Ireland	16.8
ISR	Israel	115.99999999999999
ITA	Italy	88.67000000000002
JAM	Jamaica	2.37
JPN	Japan	7.36
JOR	Jordan	42.03
KAZ	Kazakhstan	1.12
KEN	Kenya	443.7199999999999
PRK	Korea, North	0.13
KOR	Korea, South	17.380000000000003
KWT	Kuwait	73.03
KGZ	Kyrgyzstan	0.06999999999999999
LAO	Laos	1.1500000000000001
LVA	Latvia	7.9
LBN	Lebanon	18.1
LSO	Lesotho	0.02
LBR	Liberia	12.879999999999999
LBY	Libya	6.58
LTU	Lithuania	6.43
LUX	Luxembourg	0.21999999999999997
168	Macau	0.02
MKD	Macedonia	0.07
MDG	Madagascar	27.03
MWI	Malawi	12.76
MYS	Malaysia	136.63
174	Maldives	14.709999999999999
MLI	Mali	5.34
173	Malta	0.9500000000000001
203	Marshall Islands	0.16
MRT	Mauritania	0.6799999999999999
153	Mauritius	26.059999999999995
181	Mayotte	0.1
MEX	Mexico	77.30999999999999
MDA	Moldova	0.13999999999999999
