id	name	population
AFG	Afghanistan	501.07000000000005
ALB	Albania	3.9400000000000004
DZA	Algeria	460.02000000000004
202	American Samoa	0.14
198	Andorra	0.02
AGO	Angola	417.67
221	Anguilla	0.08
197	Antigua and Barbuda	1.71
ARG	Argentina	81.66
ARM	Armenia	7.110000000000001
192	Aruba	0.04
AUS	Australia	1606.29
AUT	Austria	109.71000000000001
AZE	Azerbaijan	45.23
BHS	Bahamas, The	11.020000000000001
163	Bahrain	22.75
BGD	Bangladesh	305.89
180	Barbados	12.969999999999999
BLR	Belarus	106.17
BEL	Belgium	951.62
BLZ	Belize	4.9799999999999995
BEN	Benin	325.8
201	Bermuda	0.1
BTN	Bhutan	15.83
BOL	Bolivia	102.94999999999999
BIH	Bosnia and Herzegovina	6.380000000000001
BWA	Botswana	238.35999999999999
215	British Virgin Islands	1.1700000000000002
BRA	Brazil	1668.8400000000004
BRN	Brunei	0.5000000000000001
BGR	Bulgaria	91.80999999999999
BFA	Burkina Faso	261.25000000000006
BDI	Burundi	118.50999999999999
CAF	Central African Republic	48.779999999999994
KHM	Cambodia	294.76000000000005
CMR	Cameroon	371.1
CAN	Canada	1308.38
169	Cape Verde	2.77
206	Cayman Islands	6.1899999999999995
TCD	Chad	146.14
CHL	Chile	431.12000000000006
CHN	China	357.98
COL	Colombia	389.21999999999997
160	Comoros	2.66
COD	Congo, Democratic Republic of the	497.31
COG	Congo, Republic of the	322.23
CRI	Costa Rica	109.08000000000001
CIV	Cote d'Ivoire	219.72
HRV	Croatia	72.48
CUB	Cuba	90.07999999999998
CYP	Cyprus	16.62
CZE	Czech Republic	217.85
DNK	Denmark	294.16
DJI	Djibouti	40.480000000000004
DOM	Dominican Republic	234.0
DOM	Dominica	4.829999999999999
ECU	Ecuador	157.37999999999997
EGY	Egypt	236.10999999999999
SLV	El Salvador	79.67
GNQ	Equatorial Guinea	10.92
ERI	Eritrea	29.659999999999997
EST	Estonia	9.739999999999998
ETH	Ethiopia	950.93
FJI	Fiji	28.650000000000002
FIN	Finland	242.65000000000003
179	French Polynesia	0.01
FRA	France	1264.44
GAB	Gabon	27.240000000000002
GMB	Gambia, The	31.550000000000004
GEO	Georgia	74.02999999999999
DEU	Germany	1745.3999999999999
GHA	Ghana	1214.9000000000003
214	Gibraltar	0.03
GRC	Greece	20.249999999999996
190	Grenada	1.31
GTM	Guatemala	203.21999999999997
GIN	Guinea	321.72999999999996
GNB	Guinea-Bissau	10.660000000000002
GUY	Guyana	59.599999999999994
HTI	Haiti	164.02
HND	Honduras	109.89999999999998
HKG	Hong Kong	170.70999999999998
HUN	Hungary	490.21
ISL	Iceland	0.63
IDN	Indonesia	239.65000000000003
IRN	Iran	525.3399999999999
IRQ	Iraq	581.39
IRL	Ireland	296.96999999999997
ISR	Israel	42.31
ITA	Italy	264.53
JAM	Jamaica	146.65
JPN	Japan	390.37
JOR	Jordan	182.06
KAZ	Kazakhstan	435.18
KEN	Kenya	2098.36
194	Kiribati	0.81
PRK	Korea, North	27.98
KOR	Korea, South	105.01
KWT	Kuwait	20.529999999999998
KGZ	Kyrgyzstan	62.10999999999999
LAO	Laos	22.519999999999996
LVA	Latvia	108.99000000000001
LBN	Lebanon	102.03999999999999
LSO	Lesotho	132.43999999999997
LBR	Liberia	81.03999999999998
LBY	Libya	100.97999999999999
210	Liechtenstein	0.12
LTU	Lithuania	84.58
LUX	Luxembourg	0.63
168	Macau	1.7399999999999998
MKD	Macedonia	13.77
MDG	Madagascar	137.30999999999997
MWI	Malawi	670.8199999999999
MYS	Malaysia	407.62
174	Maldives	88.00999999999999
MLI	Mali	191.55999999999997
173	Malta	464.77
203	Marshall Islands	0.45000000000000007
MRT	Mauritania	43.63999999999999
153	Mauritius	274.95
MEX	Mexico	291.28
191	Micronesia, Federated States of	1.68
MDA	Moldova	40.99
212	Monaco	0.33
MNG	Mongolia	36.88999999999999
MNE	Montenegro	1.27
228	Montserrat	0.0
MAR	Morocco	194.18
MOZ	Mozambique	727.58
NAM	Namibia	193.6
222	Nauru	0.05
NPL	Nepal	1291.8000000000002
NLD	Netherlands	1401.8400000000001
183	Netherlands Antilles	12.080000000000002
NCL	New Caledonia	0.0
NZL	New Zealand	321.1
NIC	Nicaragua	94.83000000000001
NER	Niger	166.42
NGA	Nigeria	3026.58
209	Northern Mariana Islands	7.93
NOR	Norway	77.97
PAK	Pakistan	293.36999999999995
217	Palau	0.22999999999999998
PNG	Papua New Guinea	96.87
PRY	Paraguay	53.92
PER	Peru	331.90999999999997
PHL	Philippines	1300.0699999999997
POL	Poland	214.3
PRT	Portugal	77.91
PRI	Puerto Rico	44.9
QAT	Qatar	14.549999999999999
ROU	Romania	185.76000000000002
RUS	Russia	3866.56
RWA	Rwanda	207.41000000000003
185	Samoa	1.94
186	Sao Tome and Principe	0.78
SAU	Saudi Arabia	120.03
SEN	Senegal	108.73999999999998
SRB	Serbia	21.849999999999998
196	Seychelles	18.14
SLE	Sierra Leone	116.82000000000001
SGP	Singapore	520.55
SVK	Slovakia	35.440000000000005
SVN	Slovenia	366.28
SLB	Solomon Islands	3.6500000000000004
SOM	Somalia	80.1
ZAF	South Africa	3812.8
SDS	South Sudan	1.83
ESP	Spain	479.88999999999993
LKA	Sri Lanka	1477.79
207	Saint Kitts and Nevis	1.3000000000000003
187	Saint Lucia	4.14
227	Saint Pierre and Miquelon	0.0
193	Saint Vincent and the Grenadines	1.3700000000000003
SDN	Sudan	457.28
SUR	Suriname	6.83
SWZ	Swaziland	143.39
SWE	Sweden	99.99
CHE	Switzerland	102.85
SYR	Syria	88.4
TWN	Taiwan	66.97
TJK	Tajikistan	121.75
TZA	Tanzania	1337.56
THA	Thailand	715.59
TLS	Timor-Leste	13.249999999999998
TGO	Togo	119.63
188	Tonga	1.6500000000000001
TTO	Trinidad and Tobago	83.39999999999999
TUN	Tunisia	38.51999999999999
TUR	Turkey	285.55
TKM	Turkmenistan	144.39
216	Turks and Caicos Islands	0.24
224	Tuvalu	0.04
ARE	United Arab Emirates	596.19
GBR	United Kingdom	3769.9700000000007
USA	United States	34856.28
UGA	Uganda	1195.74
UKR	Ukraine	946.46
URY	Uruguay	29.720000000000002
UZB	Uzbekistan	416.84000000000003
VUT	Vanuatu	14.29
VEN	Venezuela	609.61
VNM	Vietnam	1225.2199999999998
YEM	Yemen	426.63
ZMB	Zambia	786.95
ZWE	Zimbabwe	698.02
211	San Marino	0.0
220	Wallis and Futuna	0.0
230	Norfolk Island	0.25
223	Cook Islands	0.0
189	Virgin Islands	0.0
PAN	Panama	0.05
233	Tokelau	0.02
GRL	Greenland	0.02
208	Faroe Islands	0.32
237	Pitcairn Islands	0.12
236	Cocos (Keeling) Islands	0.0
