id	name	population
AFG	Afghanistan	38.29
ALB	Albania	7.059999999999999
DZA	Algeria	259.53999999999996
198	Andorra	0.03
AGO	Angola	174.96
221	Anguilla	0.0
197	Antigua and Barbuda	0.5700000000000001
ARG	Argentina	129.66
ARM	Armenia	10.16
192	Aruba	0.8
AUS	Australia	464.94999999999993
AUT	Austria	33.99
AZE	Azerbaijan	3.6400000000000006
BHS	Bahamas, The	86.96000000000001
163	Bahrain	248.88000000000002
BGD	Bangladesh	1448.6799999999998
180	Barbados	3.56
BLR	Belarus	6.7700000000000005
BEL	Belgium	657.18
BLZ	Belize	1.22
BEN	Benin	56.239999999999995
201	Bermuda	0.11000000000000001
BTN	Bhutan	63.620000000000005
BOL	Bolivia	6.74
BIH	Bosnia and Herzegovina	2.16
BWA	Botswana	7.27
BRA	Brazil	717.08
BRN	Brunei	3.6799999999999997
BGR	Bulgaria	111.09
BFA	Burkina Faso	25.529999999999998
BDI	Burundi	10.329999999999998
CAF	Central African Republic	1.6000000000000003
KHM	Cambodia	17.01
CMR	Cameroon	81.33999999999999
CAN	Canada	569.11
169	Cape Verde	0.9000000000000001
206	Cayman Islands	0.04
TCD	Chad	8.18
CHL	Chile	201.43
CHN	China	4817.66
COL	Colombia	276.94
160	Comoros	1.1
COD	Congo, Democratic Republic of the	70.86000000000001
COG	Congo, Republic of the	74.36
CRI	Costa Rica	29.1
CIV	Cote d'Ivoire	145.34
HRV	Croatia	53.99000000000001
CUB	Cuba	24.06
CYP	Cyprus	9.989999999999998
CZE	Czech Republic	30.4
DNK	Denmark	66.63
DJI	Djibouti	136.54000000000002
DOM	Dominican Republic	99.32000000000001
DOM	Dominica	0.13
ECU	Ecuador	191.74999999999997
EGY	Egypt	915.4900000000001
SLV	El Salvador	24.83
GNQ	Equatorial Guinea	3.6300000000000003
ERI	Eritrea	4.550000000000001
EST	Estonia	16.25
ETH	Ethiopia	312.77000000000004
FJI	Fiji	23.979999999999997
FIN	Finland	48.19
179	French Polynesia	0.13
FRA	France	435.15999999999997
GAB	Gabon	11.450000000000001
GMB	Gambia, The	21.07
GEO	Georgia	35.43
DEU	Germany	1548.9499999999998
GHA	Ghana	374.89000000000004
214	Gibraltar	0.060000000000000005
GRC	Greece	147.09
190	Grenada	0.49000000000000005
GTM	Guatemala	72.57000000000001
GIN	Guinea	50.8
GNB	Guinea-Bissau	5.449999999999999
GUY	Guyana	6.32
HTI	Haiti	53.68999999999999
HND	Honduras	18.17
HKG	Hong Kong	172.53
HUN	Hungary	31.23
ISL	Iceland	1.1800000000000002
IDN	Indonesia	914.5900000000001
IRN	Iran	371.42999999999995
IRQ	Iraq	70.69
IRL	Ireland	102.44000000000001
ISR	Israel	682.72
ITA	Italy	2209.83
JAM	Jamaica	9.84
JPN	Japan	415.4700000000001
JOR	Jordan	112.82000000000001
KAZ	Kazakhstan	12.299999999999999
KEN	Kenya	619.21
194	Kiribati	0.7
PRK	Korea, North	14.29
KOR	Korea, South	340.52
KWT	Kuwait	192.13
KGZ	Kyrgyzstan	0.29000000000000004
LAO	Laos	1.74
LVA	Latvia	41.39
LBN	Lebanon	111.57
LSO	Lesotho	0.16
LBR	Liberia	26.180000000000003
LBY	Libya	29.85
LTU	Lithuania	26.529999999999998
LUX	Luxembourg	1.59
168	Macau	0.17
MKD	Macedonia	0.37
MDG	Madagascar	58.83
MWI	Malawi	55.400000000000006
MYS	Malaysia	282.81
174	Maldives	82.00999999999999
MLI	Mali	40.730000000000004
173	Malta	3.46
203	Marshall Islands	0.02
MRT	Mauritania	15.99
153	Mauritius	100.63999999999999
