id	name	population
AUS	Australia	4.370000000000001
AZE	Azerbaijan	0.0
163	Bahrain	0.34
BGD	Bangladesh	2.36
BEL	Belgium	107.41
BTN	Bhutan	0.16
BWA	Botswana	0.0
BRN	Brunei	0.0
BFA	Burkina Faso	0.87
CMR	Cameroon	0.27
CAN	Canada	142.37000000000003
CHN	China	14.36
160	Comoros	0.01
COD	Congo, Democratic Republic of the	0.52
COG	Congo, Republic of the	1.1400000000000001
CIV	Cote d'Ivoire	0.43
CZE	Czech Republic	0.04
DNK	Denmark	8.030000000000001
DOM	Dominican Republic	5.72
EGY	Egypt	1.2
GNQ	Equatorial Guinea	0.73
EST	Estonia	0.0
FJI	Fiji	0.05
FRA	France	74.4
GEO	Georgia	0.0
DEU	Germany	14.15
GHA	Ghana	0.8
GRC	Greece	8.73
GIN	Guinea	0.5700000000000001
GNB	Guinea-Bissau	0.32000000000000006
HKG	Hong Kong	8.33
HUN	Hungary	0.02
ISL	Iceland	0.22
IDN	Indonesia	3.3000000000000003
IRQ	Iraq	0.7400000000000001
IRL	Ireland	0.13
ISR	Israel	9.809999999999999
ITA	Italy	52.629999999999995
JAM	Jamaica	0.09
JPN	Japan	83.0
JOR	Jordan	0.35
KEN	Kenya	0.53
PRK	Korea, North	0.5900000000000001
KOR	Korea, South	25.549999999999997
KWT	Kuwait	2.07
LVA	Latvia	0.0
LBN	Lebanon	4.22
LBY	Libya	2.15
LTU	Lithuania	9.65
MDG	Madagascar	0.5800000000000001
MYS	Malaysia	8.04
174	Maldives	0.27
MLI	Mali	1.13
173	Malta	0.55
153	Mauritius	5.16
MAR	Morocco	0.05
NAM	Namibia	0.21999999999999997
NPL	Nepal	0.12000000000000001
NLD	Netherlands	50.449999999999996
183	Netherlands Antilles	0.03
NZL	New Zealand	2.3899999999999997
NER	Niger	3.0300000000000002
NGA	Nigeria	0.48
209	Northern Mariana Islands	1.14
NOR	Norway	2.52
PAK	Pakistan	0.11
PRY	Paraguay	0.0
POL	Poland	2.08
PRT	Portugal	9.47
PRI	Puerto Rico	1.98
QAT	Qatar	3.0
ROU	Romania	0.36
RUS	Russia	36.42
SAU	Saudi Arabia	10.48
SEN	Senegal	0.62
196	Seychelles	0.88
SGP	Singapore	4.75
ZAF	South Africa	13.960000000000003
ESP	Spain	62.49999999999999
LKA	Sri Lanka	0.39
SWE	Sweden	3.53
CHE	Switzerland	0.21
TWN	Taiwan	42.52
THA	Thailand	8.57
TUN	Tunisia	0.29000000000000004
TUR	Turkey	0.35
ARE	United Arab Emirates	24.549999999999997
GBR	United Kingdom	63.22
USA	United States	1161.1199999999997
UKR	Ukraine	2.77
URY	Uruguay	0.05
VNM	Vietnam	13.18
ZWE	Zimbabwe	0.02
AUT	Austria	0.15000000000000002
CYP	Cyprus	0.66
HTI	Haiti	0.07
MEX	Mexico	0.27
PHL	Philippines	0.6799999999999999
TGO	Togo	0.48
AGO	Angola	0.27
CHL	Chile	1.51
GMB	Gambia, The	0.37
AFG	Afghanistan	0.08
BEN	Benin	0.16
BRA	Brazil	0.0
FIN	Finland	0.0
PNG	Papua New Guinea	0.0
DJI	Djibouti	0.0
IRN	Iran	0.1
RWA	Rwanda	0.0
MWI	Malawi	0.04
ALB	Albania	0.34
DZA	Algeria	2.74
CRI	Costa Rica	0.34
168	Macau	0.0
SVN	Slovenia	0.22
SYR	Syria	0.17
TZA	Tanzania	0.14
TTO	Trinidad and Tobago	0.0
YEM	Yemen	0.0
BGR	Bulgaria	0.04
HRV	Croatia	0.05
MOZ	Mozambique	0.03
UGA	Uganda	0.05
ARG	Argentina	0.0
KAZ	Kazakhstan	0.0
PER	Peru	0.0
VEN	Venezuela	0.0
