id	name	population
AFG	Afghanistan	13.79
ALB	Albania	0.42999999999999994
DZA	Algeria	0.18
198	Andorra	0.0
AGO	Angola	4.260000000000001
221	Anguilla	0.0
197	Antigua and Barbuda	0.0
ARG	Argentina	2.41
ARM	Armenia	0.53
192	Aruba	0.01
AUS	Australia	34.8
AUT	Austria	4.8
AZE	Azerbaijan	0.10999999999999999
BHS	Bahamas, The	0.02
163	Bahrain	14.61
BGD	Bangladesh	83.46
180	Barbados	0.08
BLR	Belarus	0.12
BEL	Belgium	12.119999999999997
BLZ	Belize	0.25
BEN	Benin	2.25
201	Bermuda	0.0
BTN	Bhutan	7.57
BOL	Bolivia	0.08
BIH	Bosnia and Herzegovina	0.02
BWA	Botswana	2.51
BRA	Brazil	30.230000000000004
BRN	Brunei	0.95
BGR	Bulgaria	0.9900000000000002
BFA	Burkina Faso	9.610000000000001
BDI	Burundi	2.94
CAF	Central African Republic	0.19
KHM	Cambodia	1.5799999999999998
CMR	Cameroon	19.62
CAN	Canada	22.349999999999998
169	Cape Verde	0.01
206	Cayman Islands	0.01
TCD	Chad	0.53
CHL	Chile	4.41
CHN	China	4.590000000000001
COL	Colombia	0.6200000000000001
160	Comoros	0.55
COD	Congo, Democratic Republic of the	5.14
COG	Congo, Republic of the	4.040000000000001
223	Cook Islands	0.0
CRI	Costa Rica	0.12999999999999998
CIV	Cote d'Ivoire	14.43
HRV	Croatia	0.31
CUB	Cuba	0.37
CYP	Cyprus	0.3
CZE	Czech Republic	1.37
DNK	Denmark	4.87
DJI	Djibouti	22.64
DOM	Dominican Republic	0.13
DOM	Dominica	0.01
ECU	Ecuador	0.21999999999999997
EGY	Egypt	8.540000000000001
SLV	El Salvador	0.02
GNQ	Equatorial Guinea	0.08
ERI	Eritrea	4.29
EST	Estonia	3.2500000000000004
ETH	Ethiopia	178.23
FJI	Fiji	3.2799999999999994
FIN	Finland	1.9400000000000002
179	French Polynesia	0.09999999999999999
FRA	France	57.940000000000005
GAB	Gabon	0.49
GMB	Gambia, The	1.34
GEO	Georgia	1.0300000000000002
DEU	Germany	61.47
GHA	Ghana	113.16
214	Gibraltar	0.1
GRC	Greece	8.040000000000001
190	Grenada	0.02
GTM	Guatemala	0.32
GIN	Guinea	3.21
GNB	Guinea-Bissau	0.05
GUY	Guyana	0.78
HTI	Haiti	0.12
HND	Honduras	0.45
HKG	Hong Kong	8.79
HUN	Hungary	0.8300000000000001
ISL	Iceland	0.37000000000000005
IDN	Indonesia	3.02
IRN	Iran	3.4
IRQ	Iraq	4.500000000000001
IRL	Ireland	6.0
ISR	Israel	5.82
ITA	Italy	10.97
JAM	Jamaica	0.97
JPN	Japan	4.06
JOR	Jordan	4.340000000000001
KAZ	Kazakhstan	0.5900000000000001
KEN	Kenya	93.28
PRK	Korea, North	0.05
KOR	Korea, South	1.6800000000000002
KWT	Kuwait	17.55
KGZ	Kyrgyzstan	0.74
LAO	Laos	0.8899999999999999
LVA	Latvia	1.2700000000000002
LBN	Lebanon	1.7500000000000002
LSO	Lesotho	0.01
LBR	Liberia	2.35
LBY	Libya	0.71
LTU	Lithuania	1.03
LUX	Luxembourg	0.0
168	Macau	0.03
MKD	Macedonia	0.73
MDG	Madagascar	5.460000000000001
MWI	Malawi	28.1
MYS	Malaysia	26.490000000000002
174	Maldives	23.320000000000004
MLI	Mali	0.4
173	Malta	1.3800000000000001
203	Marshall Islands	0.01
MRT	Mauritania	1.09
153	Mauritius	14.75
181	Mayotte	0.02
MEX	Mexico	10.54
