id	name	population
AFG	Afghanistan	83.86
ALB	Albania	5.44
DZA	Algeria	55.510000000000005
AGO	Angola	13.069999999999999
197	Antigua and Barbuda	0.03
ARG	Argentina	100.65
ARM	Armenia	0.9200000000000002
192	Aruba	0.0
AUS	Australia	484.67999999999995
AUT	Austria	68.92999999999999
AZE	Azerbaijan	1.9400000000000004
BHS	Bahamas, The	0.28
163	Bahrain	28.92
BGD	Bangladesh	653.11
180	Barbados	0.6700000000000002
BLR	Belarus	3.23
BEL	Belgium	284.04
BLZ	Belize	2.02
BEN	Benin	2.4299999999999997
201	Bermuda	0.0
BTN	Bhutan	59.25
BOL	Bolivia	22.070000000000007
BIH	Bosnia and Herzegovina	2.5299999999999994
BWA	Botswana	6.680000000000001
BRA	Brazil	628.26
BRN	Brunei	3.2199999999999993
BGR	Bulgaria	18.29
BFA	Burkina Faso	60.269999999999996
BDI	Burundi	9.319999999999999
CAF	Central African Republic	0.09999999999999999
KHM	Cambodia	20.75
CMR	Cameroon	12.44
CAN	Canada	296.24
169	Cape Verde	0.16
206	Cayman Islands	0.07
TCD	Chad	1.11
CHL	Chile	157.07
CHN	China	390.19
COL	Colombia	143.16
160	Comoros	0.29000000000000004
COD	Congo, Democratic Republic of the	10.85
COG	Congo, Republic of the	9.29
CRI	Costa Rica	26.879999999999995
CIV	Cote d'Ivoire	71.83
HRV	Croatia	15.19
CUB	Cuba	23.400000000000002
CYP	Cyprus	9.120000000000001
CZE	Czech Republic	23.59
DNK	Denmark	108.17999999999999
DJI	Djibouti	45.66
DOM	Dominican Republic	12.540000000000001
DOM	Dominica	0.01
ECU	Ecuador	59.4
EGY	Egypt	343.44999999999993
SLV	El Salvador	6.510000000000001
GNQ	Equatorial Guinea	0.8200000000000001
ERI	Eritrea	4.74
EST	Estonia	9.170000000000002
ETH	Ethiopia	193.14
FJI	Fiji	6.7
FIN	Finland	109.59999999999998
179	French Polynesia	0.22000000000000003
FRA	France	588.4699999999999
GAB	Gabon	5.680000000000001
GMB	Gambia, The	4.07
GEO	Georgia	2.09
DEU	Germany	1396.25
GHA	Ghana	125.58
214	Gibraltar	0.0
GRC	Greece	44.45
190	Grenada	0.06999999999999999
GTM	Guatemala	55.16
GIN	Guinea	32.88
GNB	Guinea-Bissau	0.2
GUY	Guyana	5.43
HTI	Haiti	29.86
HND	Honduras	70.0
HKG	Hong Kong	41.08
HUN	Hungary	33.29
ISL	Iceland	0.8999999999999999
IDN	Indonesia	594.9
IRN	Iran	434.90000000000003
IRQ	Iraq	85.25999999999999
IRL	Ireland	179.9
ISR	Israel	69.96000000000001
ITA	Italy	610.5400000000001
JAM	Jamaica	1.75
JPN	Japan	150.06
JOR	Jordan	32.22
KAZ	Kazakhstan	22.200000000000003
