id	name	population
AFG	Afghanistan	0.61
ALB	Albania	0.6800000000000002
DZA	Algeria	19.39
AGO	Angola	9.37
197	Antigua and Barbuda	0.0
ARG	Argentina	10.14
ARM	Armenia	0.03
AUS	Australia	104.81
AUT	Austria	19.3
AZE	Azerbaijan	0.48000000000000004
BHS	Bahamas, The	0.06999999999999999
163	Bahrain	28.98
BGD	Bangladesh	920.66
180	Barbados	0.04
BLR	Belarus	0.36000000000000004
BEL	Belgium	254.73
BLZ	Belize	0.03
BEN	Benin	4.64
BTN	Bhutan	99.11000000000001
BOL	Bolivia	0.01
BIH	Bosnia and Herzegovina	3.63
BWA	Botswana	0.12
BRA	Brazil	47.61
BRN	Brunei	6.629999999999999
BGR	Bulgaria	1.2599999999999998
BFA	Burkina Faso	0.5299999999999999
BDI	Burundi	0.15000000000000002
CAF	Central African Republic	0.38999999999999996
KHM	Cambodia	0.46
CMR	Cameroon	11.15
CAN	Canada	140.74
169	Cape Verde	0.06
206	Cayman Islands	0.05
TCD	Chad	0.24
CHL	Chile	2.1100000000000003
CHN	China	5213.51
COL	Colombia	18.009999999999998
160	Comoros	4.609999999999999
COD	Congo, Democratic Republic of the	6.739999999999998
COG	Congo, Republic of the	8.41
CRI	Costa Rica	0.57
CIV	Cote d'Ivoire	6.89
HRV	Croatia	28.96
CUB	Cuba	4.49
CYP	Cyprus	0.5000000000000001
CZE	Czech Republic	8.910000000000002
DNK	Denmark	16.27
DJI	Djibouti	3.14
DOM	Dominican Republic	1.8199999999999998
DOM	Dominica	0.02
ECU	Ecuador	3.71
EGY	Egypt	123.75999999999999
GNQ	Equatorial Guinea	0.76
ERI	Eritrea	0.01
EST	Estonia	1.8800000000000001
ETH	Ethiopia	7.599999999999999
FJI	Fiji	3.17
FIN	Finland	10.33
179	French Polynesia	0.15000000000000002
FRA	France	112.02000000000001
GAB	Gabon	0.7
GMB	Gambia, The	0.39
GEO	Georgia	1.6899999999999997
DEU	Germany	153.23
GHA	Ghana	7.6899999999999995
GRC	Greece	3.12
190	Grenada	0.0
GTM	Guatemala	0.34
GIN	Guinea	1.2300000000000002
GNB	Guinea-Bissau	0.02
GUY	Guyana	0.43000000000000005
HTI	Haiti	0.02
HND	Honduras	0.24
HKG	Hong Kong	234.07999999999998
HUN	Hungary	0.99
ISL	Iceland	0.07
IDN	Indonesia	287.19
IRN	Iran	84.59
IRQ	Iraq	43.370000000000005
IRL	Ireland	40.52
ISR	Israel	31.429999999999996
ITA	Italy	304.78
JAM	Jamaica	0.93
JPN	Japan	324.18
JOR	Jordan	24.35
KAZ	Kazakhstan	3.89
KEN	Kenya	39.190000000000005
194	Kiribati	0.15000000000000002
PRK	Korea, North	12.96
