id	name	population
AGO	Angola	0.05
AUS	Australia	1.4400000000000002
163	Bahrain	395.24
BGD	Bangladesh	74.32000000000002
BEL	Belgium	184.5
BEN	Benin	0.02
BTN	Bhutan	0.060000000000000005
BWA	Botswana	0.0
215	British Virgin Islands	10.29
BRA	Brazil	66.31
KHM	Cambodia	0.04
CMR	Cameroon	20.63
CAN	Canada	0.10999999999999999
169	Cape Verde	0.01
CHN	China	12.62
DNK	Denmark	0.5700000000000001
EGY	Egypt	459.37
FRA	France	192.88000000000002
GAB	Gabon	1.1400000000000001
DEU	Germany	35.769999999999996
GHA	Ghana	0.04
GRC	Greece	0.22999999999999998
GUY	Guyana	0.06
HKG	Hong Kong	37.35
IDN	Indonesia	2227.0600000000004
IRN	Iran	1.82
ISR	Israel	35.42
ITA	Italy	85.31
JPN	Japan	476.02999999999986
KEN	Kenya	1.13
KWT	Kuwait	10.23
LBR	Liberia	173.11
MYS	Malaysia	2818.1400000000003
174	Maldives	9.280000000000001
203	Marshall Islands	115.64
153	Mauritius	120.94
MEX	Mexico	0.02
MOZ	Mozambique	0.03
NAM	Namibia	24.01
NPL	Nepal	0.28
NLD	Netherlands	595.01
NZL	New Zealand	0.02
NGA	Nigeria	38.989999999999995
209	Northern Mariana Islands	554.16
NOR	Norway	1314.37
PNG	Papua New Guinea	7.41
PHL	Philippines	0.060000000000000005
POL	Poland	0.24000000000000002
PRT	Portugal	0.04
QAT	Qatar	375.64000000000004
RUS	Russia	235.41
SAU	Saudi Arabia	154.23999999999998
SEN	Senegal	0.44999999999999996
196	Seychelles	0.09000000000000001
SGP	Singapore	14318.699999999999
SOM	Somalia	0.01
ZAF	South Africa	1957.9799999999998
ESP	Spain	2.9899999999999993
LKA	Sri Lanka	2955.34
TWN	Taiwan	27.12
TZA	Tanzania	1.48
THA	Thailand	70.99
TGO	Togo	0.0
TTO	Trinidad and Tobago	64.13
TUR	Turkey	0.31000000000000005
ARE	United Arab Emirates	9069.279999999999
GBR	United Kingdom	145.42999999999998
USA	United States	1445.86
URY	Uruguay	0.02
ZMB	Zambia	0.0
COD	Congo, Democratic Republic of the	0.01
KOR	Korea, South	0.31
PAK	Pakistan	3.04
ETH	Ethiopia	0.12
KAZ	Kazakhstan	7.1
ROU	Romania	0.16
SUR	Suriname	0.0
BHS	Bahamas, The	47.43
BGR	Bulgaria	0.0
CHL	Chile	0.06
COG	Congo, Republic of the	108.75
EST	Estonia	0.06
GIN	Guinea	0.01
PRK	Korea, North	0.03
LVA	Latvia	0.0
173	Malta	0.03
MRT	Mauritania	0.0
PER	Peru	0.01
SDN	Sudan	0.14
CHE	Switzerland	0.0
UKR	Ukraine	4.7
VNM	Vietnam	420.63
YEM	Yemen	1.82
AZE	Azerbaijan	0.04
DOM	Dominican Republic	0.02
ECU	Ecuador	0.03
FIN	Finland	0.06999999999999999
MWI	Malawi	2.49
SLE	Sierra Leone	16.22
SWE	Sweden	0.04
AUT	Austria	0.04
DJI	Djibouti	0.0
SLV	El Salvador	0.01
GNQ	Equatorial Guinea	1.27
BRN	Brunei	844.26
IRL	Ireland	0.03
TKM	Turkmenistan	0.0
ARG	Argentina	0.0
ISL	Iceland	60.24
IRQ	Iraq	0.14
TLS	Timor-Leste	465.15
HRV	Croatia	0.0
SVN	Slovenia	0.0
SYR	Syria	0.0
UGA	Uganda	0.0
ZWE	Zimbabwe	0.0
