id	name	population
AFG	Afghanistan	16.7
ALB	Albania	0.8600000000000002
DZA	Algeria	14.99
AGO	Angola	2.4999999999999996
197	Antigua and Barbuda	0.0
ARG	Argentina	21.65
ARM	Armenia	0.14
192	Aruba	0.0
AUS	Australia	188.03
AUT	Austria	12.91
AZE	Azerbaijan	0.39
BHS	Bahamas, The	0.01
163	Bahrain	6.420000000000001
BGD	Bangladesh	77.55
180	Barbados	0.01
BLR	Belarus	4.5
BEL	Belgium	170.67
BLZ	Belize	0.12
BEN	Benin	18.650000000000002
BTN	Bhutan	24.509999999999998
BOL	Bolivia	0.5000000000000001
BIH	Bosnia and Herzegovina	0.24000000000000002
BWA	Botswana	1.01
BRA	Brazil	156.35
BRN	Brunei	0.26
BGR	Bulgaria	9.350000000000001
BFA	Burkina Faso	2.5399999999999996
BDI	Burundi	0.28
CAF	Central African Republic	0.27
KHM	Cambodia	0.22000000000000003
CMR	Cameroon	8.150000000000002
CAN	Canada	76.07999999999998
TCD	Chad	1.39
CHL	Chile	46.160000000000004
CHN	China	94.53999999999999
COL	Colombia	46.160000000000004
160	Comoros	0.01
COD	Congo, Democratic Republic of the	3.0
COG	Congo, Republic of the	4.73
CRI	Costa Rica	0.6100000000000001
CIV	Cote d'Ivoire	24.290000000000003
HRV	Croatia	3.1000000000000005
CUB	Cuba	6.03
CYP	Cyprus	0.91
CZE	Czech Republic	19.719999999999995
DNK	Denmark	11.559999999999999
DJI	Djibouti	4.4
DOM	Dominican Republic	3.88
DOM	Dominica	0.01
ECU	Ecuador	6.09
EGY	Egypt	65.14999999999999
SLV	El Salvador	9.12
GNQ	Equatorial Guinea	0.19
ERI	Eritrea	1.33
EST	Estonia	14.600000000000001
ETH	Ethiopia	10.17
FJI	Fiji	3.14
FIN	Finland	28.49
179	French Polynesia	0.0
FRA	France	145.96
GAB	Gabon	0.33000000000000007
GMB	Gambia, The	2.1999999999999997
GEO	Georgia	0.8300000000000002
DEU	Germany	531.3
GHA	Ghana	25.8
214	Gibraltar	0.0
GRC	Greece	15.68
190	Grenada	0.01
