id	name	population
AFG	Afghanistan	72.69000000000001
ALB	Albania	5.300000000000001
DZA	Algeria	3072.13
202	American Samoa	0.03
198	Andorra	0.33
AGO	Angola	632.06
221	Anguilla	0.0
197	Antigua and Barbuda	10.440000000000001
ARG	Argentina	791.4200000000001
ARM	Armenia	1.73
192	Aruba	23.720000000000002
AUS	Australia	1475.2700000000002
AUT	Austria	487.18
AZE	Azerbaijan	14.34
BHS	Bahamas, The	10.05
163	Bahrain	173.56999999999996
BGD	Bangladesh	5460.79
180	Barbados	32.43
BLR	Belarus	1.26
BEL	Belgium	1148.3400000000001
BLZ	Belize	0.81
BEN	Benin	77.08000000000001
201	Bermuda	16.63
BTN	Bhutan	413.16
BOL	Bolivia	286.44
BIH	Bosnia and Herzegovina	6.55
BWA	Botswana	7.3999999999999995
215	British Virgin Islands	0.0
BRA	Brazil	1807.12
BRN	Brunei	81.12
BGR	Bulgaria	8.080000000000002
BFA	Burkina Faso	163.86
BDI	Burundi	33.74
CAF	Central African Republic	2.27
KHM	Cambodia	110.92000000000002
CMR	Cameroon	42.83
CAN	Canada	606.96
169	Cape Verde	1.2
206	Cayman Islands	5.679999999999999
TCD	Chad	68.45
CHL	Chile	1909.4800000000002
CHN	China	811.57
COL	Colombia	3020.95
160	Comoros	0.5800000000000001
COD	Congo, Democratic Republic of the	242.83999999999997
COG	Congo, Republic of the	231.1
CRI	Costa Rica	362.73
CIV	Cote d'Ivoire	230.27
HRV	Croatia	24.849999999999998
CUB	Cuba	12.1
CYP	Cyprus	22.520000000000003
CZE	Czech Republic	179.2
DNK	Denmark	347.62
DJI	Djibouti	121.8
DOM	Dominican Republic	123.56
DOM	Dominica	0.49
ECU	Ecuador	347.04
EGY	Egypt	2224.04
SLV	El Salvador	93.28999999999999
GNQ	Equatorial Guinea	0.7300000000000001
ERI	Eritrea	0.25
EST	Estonia	11.170000000000002
ETH	Ethiopia	443.32000000000005
FJI	Fiji	16.849999999999998
FIN	Finland	36.76
179	French Polynesia	14.999999999999998
FRA	France	1636.6199999999997
GAB	Gabon	28.130000000000003
GMB	Gambia, The	6.949999999999999
GEO	Georgia	4.85
DEU	Germany	3192.7000000000003
GHA	Ghana	372.6
214	Gibraltar	0.4
GRC	Greece	203.39
190	Grenada	5.2299999999999995
GTM	Guatemala	611.23
GIN	Guinea	267.21999999999997
GNB	Guinea-Bissau	3.7900000000000005
GUY	Guyana	7.920000000000001
HTI	Haiti	21.090000000000003
HND	Honduras	176.49
HKG	Hong Kong	21.6
HUN	Hungary	209.31
ISL	Iceland	6.06
IDN	Indonesia	2920.1900000000005
IRN	Iran	403.23999999999995
IRQ	Iraq	159.08999999999997
IRL	Ireland	139.89999999999998
ISR	Israel	599.87
ITA	Italy	3677.9500000000003
JAM	Jamaica	33.61
JPN	Japan	1285.4200000000003
JOR	Jordan	170.19
KAZ	Kazakhstan	15.659999999999998
KEN	Kenya	965.2
194	Kiribati	0.16
PRK	Korea, North	5.010000000000001
KOR	Korea, South	332.84
KWT	Kuwait	391.46
KGZ	Kyrgyzstan	0.19999999999999998
LAO	Laos	46.1
LVA	Latvia	3.6599999999999993
LBN	Lebanon	416.44
LBR	Liberia	75.35
LBY	Libya	211.96000000000004
LTU	Lithuania	11.97
LUX	Luxembourg	1.07
168	Macau	0.5
MKD	Macedonia	9.900000000000002
MDG	Madagascar	40.760000000000005
MWI	Malawi	123.75999999999999
MYS	Malaysia	488.02
174	Maldives	16.77
MLI	Mali	113.54
173	Malta	25.59
203	Marshall Islands	0.54
MRT	Mauritania	3.5200000000000005
153	Mauritius	126.38
181	Mayotte	0.05
MEX	Mexico	9421.91
MDA	Moldova	1.47
MNG	Mongolia	83.19
MNE	Montenegro	34.160000000000004
228	Montserrat	0.01
MAR	Morocco	351.78999999999996
MOZ	Mozambique	395.09000000000003
NAM	Namibia	55.839999999999996
222	Nauru	0.38
NPL	Nepal	3759.3399999999997
NLD	Netherlands	1706.04
183	Netherlands Antilles	65.14
NCL	New Caledonia	16.34
NZL	New Zealand	150.81
NIC	Nicaragua	230.14000000000001
NER	Niger	19.890000000000004
NGA	Nigeria	3311.3500000000004
209	Northern Mariana Islands	31.39
NOR	Norway	396.37999999999994
PAK	Pakistan	1.66
PNG	Papua New Guinea	4.88
PRY	Paraguay	160.64999999999998
PER	Peru	1411.98
PHL	Philippines	1881.84
POL	Poland	578.01
PRT	Portugal	137.83
PRI	Puerto Rico	32.56
QAT	Qatar	431.89
ROU	Romania	347.52000000000004
RUS	Russia	732.9000000000001
RWA	Rwanda	71.57000000000001
ESH	Western Sahara	0.0
185	Samoa	1.6500000000000004
186	Sao Tome and Principe	0.04
SAU	Saudi Arabia	1842.0699999999997
SEN	Senegal	227.39000000000001
SRB	Serbia	30.270000000000003
196	Seychelles	64.46
SLE	Sierra Leone	92.71000000000001
SGP	Singapore	1087.35
SVK	Slovakia	63.22000000000001
SVN	Slovenia	84.75
SLB	Solomon Islands	1.28
SOM	Somalia	74.6
ZAF	South Africa	7117.36
SDS	South Sudan	4.91
ESP	Spain	1709.64
LKA	Sri Lanka	5729.6
207	Saint Kitts and Nevis	3.5900000000000003
187	Saint Lucia	6.76
193	Saint Vincent and the Grenadines	0.16
SDN	Sudan	492.08
SUR	Suriname	5.709999999999999
SWZ	Swaziland	64.21000000000001
SWE	Sweden	382.38000000000005
CHE	Switzerland	111.91000000000001
