id	name	population
ARG	Argentina	16183.12
AUS	Australia	7.05
AUT	Austria	0.01
BGD	Bangladesh	86.14
BEL	Belgium	38.81
BEN	Benin	0.58
BTN	Bhutan	2.47
BRA	Brazil	3613.56
BGR	Bulgaria	4.699999999999999
BFA	Burkina Faso	0.03
KHM	Cambodia	10.03
CAN	Canada	65.31
CHL	Chile	3.0100000000000007
CHN	China	87.92999999999999
COL	Colombia	6.78
CYP	Cyprus	0.14
DNK	Denmark	3.66
EGY	Egypt	5.46
FIN	Finland	0.01
FRA	France	47.76
DEU	Germany	61.879999999999995
GHA	Ghana	17.71
214	Gibraltar	0.03
GRC	Greece	17.590000000000003
GIN	Guinea	0.03
HKG	Hong Kong	0.5900000000000001
HUN	Hungary	0.0
ISL	Iceland	8.23
IDN	Indonesia	40097.92
ISR	Israel	3.83
ITA	Italy	103.76999999999998
JPN	Japan	5.709999999999999
KEN	Kenya	0.01
KOR	Korea, South	6.049999999999999
LBN	Lebanon	0.21000000000000002
LBR	Liberia	0.01
MYS	Malaysia	17006.63
MEX	Mexico	24.06
MAR	Morocco	0.26
NAM	Namibia	0.04
NPL	Nepal	73.92
NLD	Netherlands	35.99
183	Netherlands Antilles	0.0
NZL	New Zealand	1.76
NGA	Nigeria	0.0
209	Northern Mariana Islands	4.290000000000001
NOR	Norway	4.95
PNG	Papua New Guinea	43.33
PRY	Paraguay	513.8100000000001
PER	Peru	0.8000000000000002
PHL	Philippines	102.19
POL	Poland	0.28
PRT	Portugal	5.77
QAT	Qatar	0.07
ROU	Romania	8.87
RUS	Russia	145.71999999999997
SAU	Saudi Arabia	92.21000000000001
SGP	Singapore	281.73
ZAF	South Africa	5.48
ESP	Spain	324.86
LKA	Sri Lanka	13.700000000000001
SWE	Sweden	9.2
CHE	Switzerland	115.91999999999999
TWN	Taiwan	7.74
THA	Thailand	758.07
TGO	Togo	1.02
TUN	Tunisia	3.6200000000000006
TUR	Turkey	14.429999999999998
ARE	United Arab Emirates	1295.5000000000002
GBR	United Kingdom	10.549999999999999
USA	United States	262.46999999999997
UKR	Ukraine	11967.92
URY	Uruguay	0.24
GTM	Guatemala	4.59
HND	Honduras	10.57
IRL	Ireland	0.14
163	Bahrain	0.0
CMR	Cameroon	0.02
CZE	Czech Republic	0.02
UGA	Uganda	0.0
VNM	Vietnam	28.0
IRN	Iran	9.91
PRK	Korea, North	0.07
AFG	Afghanistan	1.03
HRV	Croatia	0.0
IRQ	Iraq	14.41
JOR	Jordan	0.13
KAZ	Kazakhstan	4.09
KWT	Kuwait	0.66
SWZ	Swaziland	0.0
YEM	Yemen	0.08
ECU	Ecuador	0.4
SYR	Syria	0.04
173	Malta	0.02
PAK	Pakistan	1.65
TZA	Tanzania	0.22
SEN	Senegal	0.0
SVK	Slovakia	0.0
187	Saint Lucia	0.0
