id	name	population
ARG	Argentina	0.01
AUS	Australia	1.0300000000000002
AUT	Austria	3.27
BEL	Belgium	2.86
BRA	Brazil	0.19
BGR	Bulgaria	9.36
CAN	Canada	0.8700000000000001
CHN	China	0.27999999999999997
CYP	Cyprus	2.76
CZE	Czech Republic	2.7600000000000002
DNK	Denmark	0.7799999999999999
FIN	Finland	1.3600000000000003
FRA	France	1.6100000000000003
GEO	Georgia	0.07
DEU	Germany	40.92
HKG	Hong Kong	0.01
ISR	Israel	5.14
ITA	Italy	37.59
KOR	Korea, South	1.17
MKD	Macedonia	0.0
173	Malta	0.02
NLD	Netherlands	0.07
183	Netherlands Antilles	0.0
209	Northern Mariana Islands	0.0
RUS	Russia	71.73
SRB	Serbia	0.06999999999999999
SVN	Slovenia	2.6699999999999995
ZAF	South Africa	102.14
ESP	Spain	0.55
SWE	Sweden	3.6
CHE	Switzerland	3.6900000000000004
TWN	Taiwan	0.05
TUR	Turkey	0.57
ARE	United Arab Emirates	0.03
GBR	United Kingdom	4.580000000000001
USA	United States	10.09
AZE	Azerbaijan	0.0
JPN	Japan	0.12
NZL	New Zealand	0.32
NOR	Norway	0.0
PRT	Portugal	0.02
SWZ	Swaziland	0.0
LTU	Lithuania	0.0
SGP	Singapore	0.46
THA	Thailand	0.0
EST	Estonia	0.0
HUN	Hungary	0.0
MYS	Malaysia	0.02
LKA	Sri Lanka	0.0
IRL	Ireland	0.01
