id	name	population
AFG	Afghanistan	0.19
ARG	Argentina	0.02
AUS	Australia	1.2600000000000002
AUT	Austria	0.03
163	Bahrain	0.01
BGD	Bangladesh	0.51
BEL	Belgium	45.08
BIH	Bosnia and Herzegovina	0.0
BRA	Brazil	0.08
BGR	Bulgaria	0.54
KHM	Cambodia	0.03
CAN	Canada	0.45
CHL	Chile	0.0
CHN	China	258.28
CZE	Czech Republic	0.13999999999999999
DNK	Denmark	4.819999999999999
EGY	Egypt	6.739999999999999
EST	Estonia	0.0
FIN	Finland	0.2
FRA	France	4.0600000000000005
GEO	Georgia	0.8500000000000001
DEU	Germany	10.4
GRC	Greece	0.13999999999999999
HKG	Hong Kong	9.68
IDN	Indonesia	34.019999999999996
IRN	Iran	1.99
IRL	Ireland	3.5100000000000002
ISR	Israel	0.16999999999999998
ITA	Italy	3.23
JPN	Japan	10.47
JOR	Jordan	0.1
PRK	Korea, North	0.06
KOR	Korea, South	1.3
KWT	Kuwait	0.14
LBN	Lebanon	0.01
LTU	Lithuania	0.0
MYS	Malaysia	6.14
MEX	Mexico	0.02
MAR	Morocco	0.09999999999999999
NPL	Nepal	4.69
NLD	Netherlands	26.19
183	Netherlands Antilles	0.28
NZL	New Zealand	1.6400000000000001
NOR	Norway	0.01
PAK	Pakistan	0.8300000000000001
PHL	Philippines	0.03
POL	Poland	0.21
PRT	Portugal	0.18
QAT	Qatar	0.0
ROU	Romania	0.1
SAU	Saudi Arabia	5.73
SRB	Serbia	0.03
SGP	Singapore	12.260000000000002
SVK	Slovakia	0.01
ZAF	South Africa	2.27
ESP	Spain	1.7300000000000002
LKA	Sri Lanka	0.3
SWE	Sweden	1.24
CHE	Switzerland	1.6800000000000002
TWN	Taiwan	0.84
THA	Thailand	129.38
TUR	Turkey	40.09
ARE	United Arab Emirates	37.53
GBR	United Kingdom	19.38
USA	United States	101.78999999999998
UGA	Uganda	0.0
VNM	Vietnam	6.739999999999999
ETH	Ethiopia	0.0
HUN	Hungary	0.03
174	Maldives	0.0
MNG	Mongolia	0.0
AZE	Azerbaijan	0.0
GAB	Gabon	0.02
153	Mauritius	0.0
TZA	Tanzania	0.07
ERI	Eritrea	0.01
LVA	Latvia	0.0
230	Norfolk Island	0.07
227	Saint Pierre and Miquelon	0.0
SWZ	Swaziland	0.18000000000000002
203	Marshall Islands	0.02
RUS	Russia	0.03
SDN	Sudan	0.05
SYR	Syria	0.02
CAF	Central African Republic	0.01
NGA	Nigeria	0.0
209	Northern Mariana Islands	0.01
PRI	Puerto Rico	0.0
