id	name	population
ARG	Argentina	167.26000000000005
AUS	Australia	992.6999999999999
AUT	Austria	0.02
163	Bahrain	0.03
BEL	Belgium	0.01
BRA	Brazil	13.989999999999998
CAN	Canada	0.76
CHL	Chile	0.51
CHN	China	0.33
ECU	Ecuador	0.02
FRA	France	55.199999999999996
GEO	Georgia	0.04
DEU	Germany	0.0
IDN	Indonesia	0.04
IRQ	Iraq	0.03
ITA	Italy	1.33
JPN	Japan	0.18
JOR	Jordan	0.01
KOR	Korea, South	0.02
LBN	Lebanon	0.02
LBY	Libya	0.02
LTU	Lithuania	12.459999999999999
MYS	Malaysia	0.1
174	Maldives	0.01
MEX	Mexico	0.1
MDA	Moldova	10.229999999999999
NPL	Nepal	2.89
NZL	New Zealand	0.28
PAK	Pakistan	0.61
PER	Peru	1.8499999999999999
PHL	Philippines	0.0
QAT	Qatar	0.12
RUS	Russia	125.11000000000001
SAU	Saudi Arabia	0.8300000000000001
SGP	Singapore	0.19
ZAF	South Africa	7.300000000000001
ESP	Spain	3.41
LKA	Sri Lanka	0.08
SDN	Sudan	1.57
TWN	Taiwan	0.09
THA	Thailand	3.4800000000000004
TUR	Turkey	0.39999999999999997
ARE	United Arab Emirates	0.24000000000000002
GBR	United Kingdom	0.33
USA	United States	11.47
UKR	Ukraine	817.12
URY	Uruguay	13.05
VNM	Vietnam	0.15
BGR	Bulgaria	63.44
ZWE	Zimbabwe	0.0
BGD	Bangladesh	0.78
NLD	Netherlands	0.03
POL	Poland	0.01
CHE	Switzerland	0.01
ISR	Israel	0.0
AFG	Afghanistan	0.0
DNK	Denmark	0.47
IRN	Iran	10.6
ROU	Romania	0.49
SWE	Sweden	0.14
EGY	Egypt	0.0
ZMB	Zambia	0.0
