id	name	population
ALB	Albania	0.11000000000000001
ARG	Argentina	0.33
AUS	Australia	3.4699999999999998
AZE	Azerbaijan	0.01
163	Bahrain	0.05
BGD	Bangladesh	2.9699999999999993
BEL	Belgium	45.989999999999995
BRA	Brazil	3.64
BGR	Bulgaria	1.3699999999999999
CMR	Cameroon	3.16
CAN	Canada	1.13
CHN	China	21.18
COL	Colombia	4.16
COD	Congo, Democratic Republic of the	15.56
COG	Congo, Republic of the	4.03
CIV	Cote d'Ivoire	82.33999999999999
DNK	Denmark	1.27
DOM	Dominican Republic	41.03
ECU	Ecuador	104.35
EGY	Egypt	14.699999999999998
FIN	Finland	0.13
FRA	France	2.2300000000000004
DEU	Germany	14.23
GHA	Ghana	209.78000000000003
GRC	Greece	0.08
GTM	Guatemala	0.01
GIN	Guinea	4.9
HTI	Haiti	0.55
HKG	Hong Kong	0.01
IDN	Indonesia	353.01
IRN	Iran	0.12
IRL	Ireland	4.43
ISR	Israel	0.03
ITA	Italy	100.02000000000001
JPN	Japan	1.8099999999999998
KEN	Kenya	1.76
KWT	Kuwait	0.02
LBR	Liberia	4.22
LUX	Luxembourg	0.53
MDG	Madagascar	7.96
MYS	Malaysia	159.13
153	Mauritius	0.03
MEX	Mexico	0.18
NLD	Netherlands	81.38
NZL	New Zealand	0.41
NGA	Nigeria	23.57
209	Northern Mariana Islands	0.13
NOR	Norway	2.7199999999999998
PER	Peru	10.43
PHL	Philippines	0.0
POL	Poland	15.77
PRT	Portugal	0.12
ROU	Romania	0.43
SAU	Saudi Arabia	6.6
SGP	Singapore	166.64000000000001
SVK	Slovakia	3.75
ZAF	South Africa	0.89
ESP	Spain	8.79
LKA	Sri Lanka	59.6
SWZ	Swaziland	0.5800000000000001
SWE	Sweden	0.09999999999999999
CHE	Switzerland	54.54
SYR	Syria	0.01
TWN	Taiwan	0.02
TZA	Tanzania	16.03
THA	Thailand	5.4799999999999995
TGO	Togo	15.52
TUR	Turkey	35.48
ARE	United Arab Emirates	69.15
GBR	United Kingdom	13.479999999999999
USA	United States	19.699999999999996
UGA	Uganda	45.28000000000001
UKR	Ukraine	0.46
LTU	Lithuania	0.02
PAK	Pakistan	0.0
VNM	Vietnam	0.47000000000000003
AUT	Austria	0.19
KOR	Korea, South	0.15000000000000002
LBN	Lebanon	0.97
TUN	Tunisia	0.0
BLR	Belarus	0.01
183	Netherlands Antilles	0.11
RUS	Russia	5.09
MAR	Morocco	0.0
PNG	Papua New Guinea	0.19
SLE	Sierra Leone	0.31
QAT	Qatar	0.0
SVN	Slovenia	0.01
JOR	Jordan	0.01
NPL	Nepal	0.02
196	Seychelles	0.06
AFG	Afghanistan	0.0
CHL	Chile	0.16
CZE	Czech Republic	0.19
HUN	Hungary	0.01
174	Maldives	0.0
BIH	Bosnia and Herzegovina	0.0
190	Grenada	0.0
MLI	Mali	0.0
