id	name	population
AFG	Afghanistan	168.89
ARG	Argentina	20.74
AUS	Australia	0.65
163	Bahrain	0.1
BEL	Belgium	0.6600000000000001
BEN	Benin	0.9899999999999999
BTN	Bhutan	8.37
BRA	Brazil	48.36
BGR	Bulgaria	6.8
KHM	Cambodia	2.4299999999999997
CAN	Canada	1.26
TCD	Chad	0.14
CHL	Chile	0.16999999999999998
CHN	China	104.33
COL	Colombia	1.37
160	Comoros	128.7
CIV	Cote d'Ivoire	4.22
HRV	Croatia	0.8
CZE	Czech Republic	0.31999999999999995
DJI	Djibouti	3.0400000000000005
ECU	Ecuador	7.3999999999999995
EGY	Egypt	5.3100000000000005
EST	Estonia	0.12
ETH	Ethiopia	22.78
FIN	Finland	9.719999999999999
FRA	France	6.68
GEO	Georgia	0.03
DEU	Germany	6.010000000000001
GRC	Greece	0.02
190	Grenada	0.05
GTM	Guatemala	45.93
HND	Honduras	6.02
HKG	Hong Kong	0.42000000000000004
HUN	Hungary	0.08
IDN	Indonesia	718.98
IRN	Iran	49.53
ITA	Italy	67.83000000000001
JAM	Jamaica	4.17
JPN	Japan	1.34
JOR	Jordan	0.14
KEN	Kenya	142.46
KOR	Korea, South	0.7300000000000001
KWT	Kuwait	0.08
LAO	Laos	2.25
LBN	Lebanon	0.01
LTU	Lithuania	0.02
MDG	Madagascar	484.35999999999996
MWI	Malawi	9.519999999999998
MYS	Malaysia	1.9800000000000004
174	Maldives	0.01
MLI	Mali	0.05
153	Mauritius	0.6
MEX	Mexico	9.58
MAR	Morocco	1.62
MOZ	Mozambique	0.79
NPL	Nepal	580.13
NLD	Netherlands	3.31
NZL	New Zealand	0.5399999999999999
NIC	Nicaragua	3.0300000000000002
NER	Niger	0.09
NGA	Nigeria	74.69
209	Northern Mariana Islands	0.07
NOR	Norway	0.93
PAK	Pakistan	32.3
PNG	Papua New Guinea	6.449999999999999
PER	Peru	5.7700000000000005
PHL	Philippines	0.0
237	Pitcairn Islands	0.12
POL	Poland	0.5900000000000001
QAT	Qatar	1.0
ROU	Romania	0.6400000000000001
RUS	Russia	45.98
RWA	Rwanda	1.04
SAU	Saudi Arabia	2.8899999999999997
SGP	Singapore	20.47
ZAF	South Africa	1.1500000000000001
ESP	Spain	5.25
LKA	Sri Lanka	794.1999999999999
SWE	Sweden	0.30000000000000004
SYR	Syria	27.37
TWN	Taiwan	0.6200000000000001
TZA	Tanzania	198.36
THA	Thailand	2.54
TUR	Turkey	4.67
ARE	United Arab Emirates	8.84
GBR	United Kingdom	7.03
USA	United States	14.969999999999999
UGA	Uganda	113.86000000000001
UKR	Ukraine	8.15
VNM	Vietnam	1530.3200000000002
ZWE	Zimbabwe	4.43
BGD	Bangladesh	5.949999999999999
CMR	Cameroon	0.9400000000000001
GIN	Guinea	1.12
TLS	Timor-Leste	0.05
TUN	Tunisia	0.03
180	Barbados	0.02
GHA	Ghana	2.24
183	Netherlands Antilles	0.0
SWZ	Swaziland	0.18000000000000002
DNK	Denmark	0.03
GAB	Gabon	0.07
ISR	Israel	0.02
PRK	Korea, North	0.0
CHE	Switzerland	0.96
AZE	Azerbaijan	0.0
CRI	Costa Rica	0.95
SLV	El Salvador	0.04
ALB	Albania	0.07
AUT	Austria	0.19
ISL	Iceland	0.04
189	Virgin Islands	0.31
197	Antigua and Barbuda	0.02
GNB	Guinea-Bissau	0.05
PRT	Portugal	0.34
SDN	Sudan	0.02
SEN	Senegal	0.0
SUR	Suriname	0.01
VEN	Venezuela	0.0
LBR	Liberia	0.0
