id	name	population
AFG	Afghanistan	0.36
AGO	Angola	19.759999999999998
ARG	Argentina	0.48
ARM	Armenia	3.35
AUS	Australia	323.41999999999996
AUT	Austria	61.83
BHS	Bahamas, The	0.01
163	Bahrain	106.52
BGD	Bangladesh	142.47
BLR	Belarus	0.17
BEL	Belgium	114.64000000000001
BEN	Benin	64.34
BTN	Bhutan	105.57999999999998
BOL	Bolivia	0.24
BWA	Botswana	1.6399999999999997
BRA	Brazil	69.89999999999999
BGR	Bulgaria	20.689999999999998
CAF	Central African Republic	0.21000000000000002
KHM	Cambodia	0.01
CAN	Canada	56.370000000000005
169	Cape Verde	6.49
CHL	Chile	326.65999999999997
CHN	China	1787.33
COL	Colombia	5.4799999999999995
160	Comoros	0.31000000000000005
COD	Congo, Democratic Republic of the	85.32
COG	Congo, Republic of the	397.26
CRI	Costa Rica	0.36
CIV	Cote d'Ivoire	6.63
HRV	Croatia	0.37
CYP	Cyprus	11.520000000000001
CZE	Czech Republic	22.97
DNK	Denmark	90.58999999999999
DJI	Djibouti	0.62
DOM	Dominican Republic	0.9099999999999999
EGY	Egypt	63.2
GNQ	Equatorial Guinea	0.08
EST	Estonia	5.340000000000001
ETH	Ethiopia	2.41
FJI	Fiji	0.16
FIN	Finland	228.15
FRA	France	257.96
GAB	Gabon	4.51
GMB	Gambia, The	0.8800000000000001
GEO	Georgia	24.81
DEU	Germany	1380.4899999999998
GHA	Ghana	26.779999999999998
GRC	Greece	27.080000000000002
190	Grenada	0.1
GIN	Guinea	8.16
HTI	Haiti	0.25
HND	Honduras	0.38
HKG	Hong Kong	62.55
HUN	Hungary	22.650000000000002
IDN	Indonesia	619.3199999999999
IRN	Iran	3.6600000000000006
IRL	Ireland	0.41000000000000003
ISR	Israel	19.65
ITA	Italy	267.01
JAM	Jamaica	0.28
JPN	Japan	1214.7200000000003
JOR	Jordan	57.02
KAZ	Kazakhstan	1.9500000000000002
KEN	Kenya	37.650000000000006
PRK	Korea, North	0.8099999999999999
KOR	Korea, South	525.91
KWT	Kuwait	216.32
LVA	Latvia	6.6499999999999995
LBN	Lebanon	67.8
LBR	Liberia	7.82
LBY	Libya	12.14
LTU	Lithuania	11.55
LUX	Luxembourg	40.970000000000006
168	Macau	0.64
MDG	Madagascar	6.71
MYS	Malaysia	2850.36
174	Maldives	7.6499999999999995
MLI	Mali	1.1099999999999999
173	Malta	0.12
MRT	Mauritania	14.75
153	Mauritius	10.370000000000001
MEX	Mexico	51.3
MAR	Morocco	67.7
MOZ	Mozambique	18.980000000000004
NAM	Namibia	2.05
NPL	Nepal	116.0
NLD	Netherlands	232.97999999999996
183	Netherlands Antilles	1.7699999999999998
NZL	New Zealand	7.290000000000001
NGA	Nigeria	48.089999999999996
209	Northern Mariana Islands	20.770000000000003
NOR	Norway	6.359999999999999
PNG	Papua New Guinea	0.0
PER	Peru	11.389999999999999
PHL	Philippines	120.65
POL	Poland	139.68
PRT	Portugal	37.15
PRI	Puerto Rico	1.98
QAT	Qatar	171.85999999999999
ROU	Romania	18.16
RUS	Russia	1679.57
RWA	Rwanda	0.87
SAU	Saudi Arabia	1065.4
SEN	Senegal	18.509999999999998
196	Seychelles	1.46
SLE	Sierra Leone	7.100000000000001
SGP	Singapore	247.29999999999998
SVK	Slovakia	4.83
SVN	Slovenia	13.31
SOM	Somalia	0.35
ZAF	South Africa	247.62
ESP	Spain	156.38000000000002
LKA	Sri Lanka	164.72
187	Saint Lucia	0.43000000000000005
SDN	Sudan	12.22
SUR	Suriname	0.03
SWZ	Swaziland	1.1500000000000001
SWE	Sweden	129.64
CHE	Switzerland	295.0
TWN	Taiwan	226.17
TZA	Tanzania	167.86
THA	Thailand	1137.21
TGO	Togo	34.65
TTO	Trinidad and Tobago	0.34
TUN	Tunisia	8.95
TUR	Turkey	57.150000000000006
ARE	United Arab Emirates	4766.27
GBR	United Kingdom	852.4
USA	United States	851.92
UGA	Uganda	0.0
UKR	Ukraine	32.05
URY	Uruguay	0.6
UZB	Uzbekistan	2.67
VNM	Vietnam	1370.44
ZMB	Zambia	3292.4
ALB	Albania	1.2100000000000002
LAO	Laos	0.5
PAK	Pakistan	178.76
PRY	Paraguay	0.11
202	American Samoa	1.51
CUB	Cuba	0.02
ISL	Iceland	0.03
210	Liechtenstein	0.0
NER	Niger	0.0
AZE	Azerbaijan	0.19
ECU	Ecuador	1.88
211	San Marino	0.0
SRB	Serbia	0.8400000000000001
225	Saint Helena, Ascension, and Tristan da Cunha	0.04
207	Saint Kitts and Nevis	0.0
VEN	Venezuela	0.29000000000000004
YEM	Yemen	1.4700000000000002
BLZ	Belize	0.11
MKD	Macedonia	0.04
192	Aruba	0.02
BIH	Bosnia and Herzegovina	0.66
TCD	Chad	24.87
214	Gibraltar	0.09
GUY	Guyana	0.24000000000000002
MDA	Moldova	0.01
NCL	New Caledonia	0.19
180	Barbados	0.05
BRN	Brunei	0.45
CMR	Cameroon	0.22000000000000003
ERI	Eritrea	0.1
MWI	Malawi	0.02
212	Monaco	0.01
222	Nauru	0.19
SYR	Syria	0.0
DZA	Algeria	0.26
232	Christmas Island	0.04
203	Marshall Islands	0.0
