id	name	population
DZA	Algeria	4.680000000000001
AUT	Austria	0.01
BEL	Belgium	0.0
BRA	Brazil	0.02
CHN	China	2.53
FIN	Finland	0.01
FRA	France	1.02
DEU	Germany	0.48
HKG	Hong Kong	0.07
ITA	Italy	2.769999999999999
JPN	Japan	0.25
KOR	Korea, South	0.11
MAR	Morocco	0.79
NLD	Netherlands	0.01
PHL	Philippines	7.17
POL	Poland	0.0
PRT	Portugal	25.719999999999995
RUS	Russia	0.0
SAU	Saudi Arabia	0.0
SGP	Singapore	0.03
ESP	Spain	2.11
SWE	Sweden	0.01
CHE	Switzerland	0.02
TWN	Taiwan	0.12
THA	Thailand	0.02
TUN	Tunisia	1.2999999999999998
TUR	Turkey	0.0
ARE	United Arab Emirates	0.0
GBR	United Kingdom	0.6500000000000001
USA	United States	1.02
UKR	Ukraine	0.03
AUS	Australia	0.02
BGD	Bangladesh	0.0
CAN	Canada	0.0
SVN	Slovenia	0.0
DNK	Denmark	0.0
NZL	New Zealand	0.0
VNM	Vietnam	0.0
CZE	Czech Republic	0.0
153	Mauritius	0.0
LKA	Sri Lanka	0.0
IDN	Indonesia	0.05
ZAF	South Africa	0.0
187	Saint Lucia	0.0
