id	name	population
ARG	Argentina	0.9999999999999999
AUS	Australia	91.36000000000001
AUT	Austria	0.7000000000000001
163	Bahrain	0.11
BGD	Bangladesh	1.6800000000000002
BEL	Belgium	4.709999999999999
BTN	Bhutan	0.96
CAN	Canada	3.36
CHN	China	8.16
CZE	Czech Republic	0.99
DNK	Denmark	30.320000000000004
EGY	Egypt	3.48
FRA	France	122.41
DEU	Germany	38.72
GRC	Greece	1.24
IRL	Ireland	18.65
ITA	Italy	23.44
JPN	Japan	0.16999999999999998
JOR	Jordan	0.01
KGZ	Kyrgyzstan	0.01
LVA	Latvia	0.0
LTU	Lithuania	0.2
MYS	Malaysia	0.12999999999999998
MEX	Mexico	0.03
MAR	Morocco	0.06
NPL	Nepal	13.38
NLD	Netherlands	22.450000000000003
NZL	New Zealand	241.13
209	Northern Mariana Islands	2.4499999999999997
POL	Poland	2.2
PRT	Portugal	0.060000000000000005
QAT	Qatar	0.03
RUS	Russia	0.26
SAU	Saudi Arabia	2.61
SVK	Slovakia	0.05
SVN	Slovenia	0.0
ESP	Spain	9.3
SWE	Sweden	1.2
CHE	Switzerland	1.83
THA	Thailand	0.09999999999999998
TUR	Turkey	11.18
ARE	United Arab Emirates	1.5700000000000003
GBR	United Kingdom	21.590000000000003
USA	United States	23.8
UGA	Uganda	9.64
UKR	Ukraine	7.04
URY	Uruguay	0.8700000000000001
UZB	Uzbekistan	0.0
VNM	Vietnam	0.16999999999999998
BLR	Belarus	0.5
HUN	Hungary	0.0
KEN	Kenya	0.32
KOR	Korea, South	0.24000000000000002
PHL	Philippines	0.01
SGP	Singapore	0.3
KWT	Kuwait	0.060000000000000005
ZAF	South Africa	0.0
PAK	Pakistan	0.0
RWA	Rwanda	0.02
TWN	Taiwan	0.0
183	Netherlands Antilles	0.1
LKA	Sri Lanka	0.0
BRA	Brazil	0.0
GHA	Ghana	0.33
IDN	Indonesia	0.0
SWZ	Swaziland	0.01
