id	name	population
AFG	Afghanistan	1650.68
DZA	Algeria	11.410000000000002
ARG	Argentina	3.4000000000000004
AUS	Australia	992.3399999999999
163	Bahrain	0.25
BGD	Bangladesh	372.46999999999997
BEL	Belgium	32.37
BEN	Benin	1568.1
BRA	Brazil	7.59
BGR	Bulgaria	0.10999999999999999
BFA	Burkina Faso	204.77
KHM	Cambodia	4.33
CMR	Cameroon	0.12
CAN	Canada	7.09
TCD	Chad	0.06
CHL	Chile	371.0399999999999
CHN	China	701.62
COL	Colombia	0.0
CIV	Cote d'Ivoire	2553.0199999999995
HRV	Croatia	0.35
EGY	Egypt	158.01999999999998
SLV	El Salvador	1.19
FRA	France	13.780000000000001
GMB	Gambia, The	293.99
DEU	Germany	2.16
GHA	Ghana	914.17
GRC	Greece	11.32
GIN	Guinea	197.70999999999998
GNB	Guinea-Bissau	1484.25
HKG	Hong Kong	41.85
IDN	Indonesia	392.99
IRN	Iran	824.46
IRQ	Iraq	524.8
ISR	Israel	7.790000000000001
ITA	Italy	129.22
JPN	Japan	1.02
JOR	Jordan	0.3
KEN	Kenya	1.05
KOR	Korea, South	1.93
KWT	Kuwait	0.58
KGZ	Kyrgyzstan	0.63
LBN	Lebanon	0.01
MDG	Madagascar	17.07
MWI	Malawi	0.33
MYS	Malaysia	2.6200000000000006
MLI	Mali	11.829999999999997
153	Mauritius	0.0
MEX	Mexico	2.4
MDA	Moldova	0.01
MNE	Montenegro	0.04
MAR	Morocco	0.31000000000000005
MOZ	Mozambique	247.29999999999998
NPL	Nepal	96.47
NLD	Netherlands	6.19
NZL	New Zealand	228.73000000000002
NGA	Nigeria	372.95000000000005
NOR	Norway	51.16
PAK	Pakistan	875.3299999999999
PER	Peru	15.370000000000003
POL	Poland	15.599999999999998
PRT	Portugal	0.02
QAT	Qatar	0.1
SAU	Saudi Arabia	68.62
SEN	Senegal	209.79000000000005
SRB	Serbia	0.09000000000000001
SLE	Sierra Leone	0.08
SGP	Singapore	115.00000000000001
ZAF	South Africa	121.69
ESP	Spain	13.82
LKA	Sri Lanka	352.34000000000003
SYR	Syria	60.36
TWN	Taiwan	1.12
TJK	Tajikistan	0.11
TZA	Tanzania	1575.13
THA	Thailand	45.66
TLS	Timor-Leste	0.19
TGO	Togo	119.91000000000001
TUN	Tunisia	13.860000000000001
TUR	Turkey	53.14
ARE	United Arab Emirates	300.59
GBR	United Kingdom	4.79
USA	United States	5323.52
UGA	Uganda	0.0
UKR	Ukraine	0.75
URY	Uruguay	0.02
UZB	Uzbekistan	0.33000000000000007
VEN	Venezuela	0.16
VNM	Vietnam	193.04
YEM	Yemen	0.2
BLZ	Belize	0.13
COG	Congo, Republic of the	0.51
DNK	Denmark	0.26
PRY	Paraguay	0.0
ROU	Romania	0.16000000000000003
AUT	Austria	0.46
BTN	Bhutan	0.04
GEO	Georgia	0.0
189	Virgin Islands	0.05
197	Antigua and Barbuda	0.26
GTM	Guatemala	0.04
PHL	Philippines	0.03
CHE	Switzerland	0.12
SWE	Sweden	0.6799999999999999
CZE	Czech Republic	0.25
ETH	Ethiopia	0.04
FIN	Finland	0.02
LVA	Latvia	0.04
174	Maldives	0.11
173	Malta	0.16
RUS	Russia	0.33999999999999997
196	Seychelles	0.02
SVK	Slovakia	0.05
SDN	Sudan	0.23
BLR	Belarus	0.0
HTI	Haiti	0.0
LBR	Liberia	0.0
209	Northern Mariana Islands	0.0
