id	name	population
AFG	Afghanistan	139.71999999999997
DZA	Algeria	0.12
ARG	Argentina	115.60000000000001
AUS	Australia	4276.46
AUT	Austria	2.91
BEL	Belgium	0.29000000000000004
BLZ	Belize	0.21000000000000002
BTN	Bhutan	0.03
BOL	Bolivia	1.8399999999999999
215	British Virgin Islands	0.56
BRA	Brazil	251.21
BGR	Bulgaria	25.029999999999998
CAN	Canada	6963.889999999999
CHL	Chile	0.2
CHN	China	608.94
DNK	Denmark	0.06999999999999999
DJI	Djibouti	9.66
EGY	Egypt	19.110000000000003
EST	Estonia	22.07
ETH	Ethiopia	184.03999999999996
FRA	France	266.40999999999997
DEU	Germany	24.15
GRC	Greece	0.24
HKG	Hong Kong	0.13
HUN	Hungary	0.05
IDN	Indonesia	32.45
IRN	Iran	2.21
IRQ	Iraq	2.1
ISR	Israel	0.75
ITA	Italy	2.04
JPN	Japan	2.1199999999999997
KAZ	Kazakhstan	3.2800000000000002
KEN	Kenya	205.33999999999997
KGZ	Kyrgyzstan	5.57
LVA	Latvia	1.16
LBY	Libya	0.09
LTU	Lithuania	168.58
MDG	Madagascar	79.15
MWI	Malawi	247.45999999999998
MYS	Malaysia	7.0
MEX	Mexico	40.16
MDA	Moldova	3.87
MOZ	Mozambique	683.1200000000001
NPL	Nepal	11.59
NLD	Netherlands	16.61
183	Netherlands Antilles	0.0
NZL	New Zealand	0.6599999999999999
NGA	Nigeria	9.21
NOR	Norway	0.22000000000000003
PAK	Pakistan	18.459999999999997
PRY	Paraguay	0.43
PER	Peru	4.619999999999999
PHL	Philippines	0.27
POL	Poland	1.03
PRT	Portugal	1.05
QAT	Qatar	0.27
ROU	Romania	76.98
RUS	Russia	1129.1200000000001
SAU	Saudi Arabia	0.49
SGP	Singapore	13.34
SVN	Slovenia	0.03
SOM	Somalia	0.48
ZAF	South Africa	3.5700000000000003
ESP	Spain	12.18
LKA	Sri Lanka	3.5500000000000003
SDN	Sudan	193.48999999999998
SWE	Sweden	0.54
CHE	Switzerland	0.8300000000000001
TWN	Taiwan	0.5
TJK	Tajikistan	0.07
TZA	Tanzania	1012.3499999999999
THA	Thailand	20.430000000000003
TUR	Turkey	34.39
ARE	United Arab Emirates	21.639999999999997
GBR	United Kingdom	2.71
USA	United States	961.5899999999999
UGA	Uganda	31.869999999999997
UKR	Ukraine	360.55
URY	Uruguay	0.1
UZB	Uzbekistan	91.53
VEN	Venezuela	0.6399999999999999
VNM	Vietnam	1.27
ZMB	Zambia	0.22
BGD	Bangladesh	55.75000000000001
BEN	Benin	1.35
CIV	Cote d'Ivoire	0.74
CZE	Czech Republic	0.6000000000000001
KOR	Korea, South	1.32
LBN	Lebanon	0.15
MAR	Morocco	0.6499999999999999
SEN	Senegal	0.1
CRI	Costa Rica	0.13
YEM	Yemen	0.08
IRL	Ireland	0.0
NIC	Nicaragua	0.04
235	Holy See (Vatican City)	0.08
GIN	Guinea	0.09
SUR	Suriname	0.08
163	Bahrain	0.09
COG	Congo, Republic of the	0.2
SLV	El Salvador	0.06
KWT	Kuwait	0.09
174	Maldives	0.04
NAM	Namibia	22.9
ECU	Ecuador	0.0
209	Northern Mariana Islands	0.0
