id	name	population
AFG	Afghanistan	2.3600000000000003
ALB	Albania	1.37
DZA	Algeria	4.959999999999999
198	Andorra	0.0
AGO	Angola	18.95
221	Anguilla	0.44999999999999996
ATA	Antarctica	0.56
197	Antigua and Barbuda	0.38999999999999996
ARG	Argentina	7.93
ARM	Armenia	0.08
192	Aruba	1.49
AUS	Australia	291.46
AUT	Austria	990.74
AZE	Azerbaijan	0.0
BHS	Bahamas, The	1.4700000000000002
163	Bahrain	16.35
BGD	Bangladesh	51.6
180	Barbados	1.06
BLR	Belarus	19.660000000000004
BEL	Belgium	546.65
BLZ	Belize	0.6799999999999999
BEN	Benin	20.39
201	Bermuda	0.12
BTN	Bhutan	0.30000000000000004
BOL	Bolivia	0.13
BIH	Bosnia and Herzegovina	6.74
BWA	Botswana	0.01
215	British Virgin Islands	6.76
BRA	Brazil	289.13
BRN	Brunei	0.55
BGR	Bulgaria	116.91
BDI	Burundi	0.25
CAF	Central African Republic	0.04
KHM	Cambodia	1.8500000000000003
CMR	Cameroon	0.42999999999999994
CAN	Canada	812.21
169	Cape Verde	1.3999999999999997
206	Cayman Islands	6.05
CHL	Chile	11.320000000000002
CHN	China	162033.1
232	Christmas Island	0.05
236	Cocos (Keeling) Islands	0.0
COL	Colombia	1.1300000000000003
160	Comoros	1.3800000000000001
COD	Congo, Democratic Republic of the	5.279999999999999
COG	Congo, Republic of the	6.38
CRI	Costa Rica	9.76
CIV	Cote d'Ivoire	20.929999999999996
HRV	Croatia	34.85
CUB	Cuba	0.15000000000000002
CYP	Cyprus	2.2199999999999998
CZE	Czech Republic	534.6400000000001
DNK	Denmark	460.41
DJI	Djibouti	4.55
DOM	Dominican Republic	3.5
DOM	Dominica	0.14
ECU	Ecuador	3.13
EGY	Egypt	47.87
SLV	El Salvador	5.4799999999999995
GNQ	Equatorial Guinea	0.93
EST	Estonia	208.91
ETH	Ethiopia	1.49
208	Faroe Islands	0.11000000000000001
FIN	Finland	5914.76
179	French Polynesia	0.0
FRA	France	4049.3300000000004
GAB	Gabon	1.83
GMB	Gambia, The	8.370000000000003
GEO	Georgia	3.85
DEU	Germany	13563.18
GHA	Ghana	26.25
GRC	Greece	35.64
190	Grenada	0.41999999999999993
204	Guernsey	0.23
GIN	Guinea	15.910000000000004
GNB	Guinea-Bissau	1.26
