id	name	population
CAN	Canada	8.31
CHN	China	2.0300000000000002
DNK	Denmark	0.0
FRA	France	0.9
DEU	Germany	15.180000000000001
HKG	Hong Kong	0.12
ISR	Israel	0.13
ITA	Italy	0.18
JPN	Japan	0.0
MYS	Malaysia	0.23
NLD	Netherlands	0.4
209	Northern Mariana Islands	0.08
POL	Poland	0.88
RUS	Russia	0.14
SGP	Singapore	0.38000000000000006
ZAF	South Africa	2.97
ESP	Spain	0.0
LKA	Sri Lanka	0.0
SWE	Sweden	3.7100000000000004
USA	United States	39.58
UKR	Ukraine	0.0
BRA	Brazil	0.04
CZE	Czech Republic	0.8
SRB	Serbia	4.48
ARE	United Arab Emirates	0.08
AUS	Australia	5.93
163	Bahrain	0.0
THA	Thailand	0.01
GBR	United Kingdom	4.65
KOR	Korea, South	0.02
AUT	Austria	0.03
BEL	Belgium	0.01
BGR	Bulgaria	0.0
CHE	Switzerland	0.0
CHL	Chile	0.1
SDN	Sudan	0.03
FIN	Finland	0.22
