id	name	population
DZA	Algeria	92.82
ARG	Argentina	1.29
AUS	Australia	276.62
AUT	Austria	1.23
163	Bahrain	165.95
BLR	Belarus	1516.95
BEL	Belgium	68.02
BRA	Brazil	0.0
BGR	Bulgaria	30.52
CAN	Canada	2644.4700000000003
CHL	Chile	61.519999999999996
CHN	China	19837.600000000002
COL	Colombia	0.02
CZE	Czech Republic	0.19
DNK	Denmark	0.08
EGY	Egypt	165.22
EST	Estonia	557.68
FIN	Finland	66.93
FRA	France	0.8700000000000001
GEO	Georgia	50.95
DEU	Germany	474.26
GRC	Greece	0.8200000000000001
HKG	Hong Kong	0.37
HUN	Hungary	0.0
IDN	Indonesia	385.82000000000005
IRN	Iran	4027.46
IRL	Ireland	2.65
ISR	Israel	2065.46
ITA	Italy	21.57
JPN	Japan	1.2300000000000002
JOR	Jordan	2565.1
KOR	Korea, South	72.61000000000001
KWT	Kuwait	96.99
LVA	Latvia	389.76
LTU	Lithuania	989.0400000000001
MYS	Malaysia	18.790000000000003
MEX	Mexico	52.919999999999995
MAR	Morocco	1304.8999999999999
NLD	Netherlands	18.47
NGA	Nigeria	9.18
209	Northern Mariana Islands	119.41000000000001
NOR	Norway	3376.8499999999995
PAK	Pakistan	35.269999999999996
PER	Peru	0.22
PHL	Philippines	46.06
POL	Poland	5.36
QAT	Qatar	395.54
RUS	Russia	4364.7300000000005
SAU	Saudi Arabia	4362.07
SRB	Serbia	0.01
SGP	Singapore	53.279999999999994
ZAF	South Africa	104.45
ESP	Spain	43.67
SWE	Sweden	1.44
CHE	Switzerland	8.69
TWN	Taiwan	46.73
THA	Thailand	3.3599999999999994
TUR	Turkey	26.71
TKM	Turkmenistan	16.209999999999997
ARE	United Arab Emirates	511.51
GBR	United Kingdom	52.830000000000005
USA	United States	4331.9800000000005
UKR	Ukraine	1045.95
UZB	Uzbekistan	109.56
VNM	Vietnam	26.55
221	Anguilla	0.0
TCD	Chad	19.73
LAO	Laos	0.28
SVK	Slovakia	0.08
BGD	Bangladesh	0.13999999999999999
IRQ	Iraq	10.77
PRK	Korea, North	13.06
NZL	New Zealand	0.02
ATA	Antarctica	3.9
ISL	Iceland	3.79
PRT	Portugal	0.33
SVN	Slovenia	0.11
NPL	Nepal	0.06
ROU	Romania	27.38
SYR	Syria	0.06
YEM	Yemen	0.01
BEN	Benin	11.96
LKA	Sri Lanka	0.21
TUN	Tunisia	81.11
