id	name	population
ARG	Argentina	1.9
AUT	Austria	0.06
BGD	Bangladesh	304.22
BEL	Belgium	1.3800000000000001
BRA	Brazil	0.01
CAN	Canada	0.5800000000000001
CHL	Chile	0.49
CHN	China	2.7700000000000005
COL	Colombia	0.0
HRV	Croatia	0.0
DNK	Denmark	4.2
DOM	Dominican Republic	0.13
ECU	Ecuador	2.66
EGY	Egypt	0.12
FJI	Fiji	0.0
FRA	France	0.23
GMB	Gambia, The	0.03
DEU	Germany	1.46
GRC	Greece	0.16
HKG	Hong Kong	0.32
ISL	Iceland	0.02
IDN	Indonesia	9.749999999999998
IRN	Iran	0.25
ISR	Israel	0.0
ITA	Italy	0.81
JPN	Japan	9.08
KEN	Kenya	0.02
KOR	Korea, South	0.8600000000000001
MYS	Malaysia	1.6500000000000001
MEX	Mexico	4.109999999999999
NLD	Netherlands	1.7600000000000002
NZL	New Zealand	1.01
NGA	Nigeria	0.0
209	Northern Mariana Islands	8.25
NOR	Norway	14.180000000000001
PHL	Philippines	0.01
POL	Poland	2.23
PRT	Portugal	0.23
PRI	Puerto Rico	0.44
QAT	Qatar	0.12000000000000001
RUS	Russia	0.3
SGP	Singapore	11.03
ZAF	South Africa	1.8000000000000003
ESP	Spain	4.220000000000001
LKA	Sri Lanka	1.93
TWN	Taiwan	0.34
TZA	Tanzania	0.0
THA	Thailand	7.970000000000001
TUR	Turkey	0.16
ARE	United Arab Emirates	4.75
GBR	United Kingdom	15.649999999999999
USA	United States	85.13000000000001
UGA	Uganda	0.02
VNM	Vietnam	129.66
189	Virgin Islands	0.05
YEM	Yemen	3.92
PAK	Pakistan	6.319999999999999
URY	Uruguay	0.07
163	Bahrain	3.7199999999999998
174	Maldives	0.0
PER	Peru	0.52
EST	Estonia	0.22
FLK	Falkland Islands (Islas Malvinas)	0.98
IRL	Ireland	0.06
SAU	Saudi Arabia	1.11
SWE	Sweden	0.0
UKR	Ukraine	0.02
KWT	Kuwait	0.07
MAR	Morocco	0.26
CHE	Switzerland	0.0
AUS	Australia	0.08
MRT	Mauritania	0.18
