id	name	population
AUT	Austria	0.6500000000000001
BEL	Belgium	0.14
BRA	Brazil	0.65
CHN	China	18.91
COL	Colombia	0.05
DNK	Denmark	0.16
FIN	Finland	0.03
FRA	France	0.33999999999999997
DEU	Germany	3.4000000000000004
GRC	Greece	0.55
HKG	Hong Kong	1.02
HUN	Hungary	1.1300000000000001
IDN	Indonesia	0.07
ITA	Italy	3.7199999999999998
JPN	Japan	0.02
KOR	Korea, South	0.7
NLD	Netherlands	0.6
NZL	New Zealand	1.29
PAK	Pakistan	0.15
PRT	Portugal	0.39
RUS	Russia	0.0
SGP	Singapore	0.25
SVK	Slovakia	0.04
ESP	Spain	2.7499999999999996
CHE	Switzerland	0.21
THA	Thailand	0.03
TUR	Turkey	4.71
GBR	United Kingdom	0.21000000000000002
USA	United States	0.15
URY	Uruguay	1.2100000000000002
ETH	Ethiopia	0.01
POL	Poland	0.11
ARG	Argentina	0.19
BLR	Belarus	0.1
GRL	Greenland	0.01
VNM	Vietnam	0.03
AUS	Australia	0.01
CAN	Canada	0.0
DJI	Djibouti	0.03
GEO	Georgia	0.01
GIN	Guinea	0.01
TWN	Taiwan	0.02
233	Tokelau	0.0
ARE	United Arab Emirates	0.0
MYS	Malaysia	0.01
NOR	Norway	0.0
PHL	Philippines	0.0
EGY	Egypt	0.0
PER	Peru	0.01
ISL	Iceland	0.0
SAU	Saudi Arabia	0.0
ZAF	South Africa	0.02
SWE	Sweden	0.0
MAR	Morocco	0.0
PRK	Korea, North	0.0
