id	name	population
DZA	Algeria	12.030000000000001
AGO	Angola	2.4299999999999997
197	Antigua and Barbuda	0.03
ARG	Argentina	4.68
AUS	Australia	1012.4800000000001
AUT	Austria	3.55
AZE	Azerbaijan	3.4600000000000004
163	Bahrain	7.360000000000001
BGD	Bangladesh	129.70000000000002
BEL	Belgium	105.86
BEN	Benin	2.15
BDI	Burundi	16.19
CMR	Cameroon	12.52
CAN	Canada	27.57
CHL	Chile	4.949999999999999
CHN	China	39.0
COL	Colombia	4.09
COD	Congo, Democratic Republic of the	0.07
COG	Congo, Republic of the	7.319999999999999
CIV	Cote d'Ivoire	17.48
CUB	Cuba	0.71
CYP	Cyprus	1.69
DNK	Denmark	2.19
EGY	Egypt	16.12
GNQ	Equatorial Guinea	0.47000000000000003
FIN	Finland	4.08
FRA	France	30.630000000000003
GAB	Gabon	1.2000000000000002
GMB	Gambia, The	0.36
GEO	Georgia	17.630000000000003
DEU	Germany	108.25999999999999
GHA	Ghana	61.87
GRC	Greece	9.469999999999999
190	Grenada	0.07
GIN	Guinea	2.49
GUY	Guyana	0.26
HTI	Haiti	2.8799999999999994
HND	Honduras	1.8699999999999999
HKG	Hong Kong	7.64
HUN	Hungary	0.22000000000000003
IDN	Indonesia	12.7
IRN	Iran	19.52
ISR	Israel	34.059999999999995
ITA	Italy	18.13
JAM	Jamaica	1.08
JPN	Japan	12.06
JOR	Jordan	37.01
KEN	Kenya	12.129999999999999
KOR	Korea, South	972.76
KWT	Kuwait	32.349999999999994
LVA	Latvia	0.71
LBN	Lebanon	19.409999999999997
LBR	Liberia	0.72
LBY	Libya	16.04
LUX	Luxembourg	0.78
MDG	Madagascar	0.2
MYS	Malaysia	218.32999999999998
MLI	Mali	1.17
MRT	Mauritania	0.9400000000000001
153	Mauritius	0.21
MEX	Mexico	8.13
MAR	Morocco	11.92
MOZ	Mozambique	12.26
NAM	Namibia	0.09
NPL	Nepal	8.139999999999999
NLD	Netherlands	32.25
183	Netherlands Antilles	0.08
NZL	New Zealand	7.61
NGA	Nigeria	102.13999999999999
209	Northern Mariana Islands	5.0
NOR	Norway	4.0600000000000005
PRY	Paraguay	1.7400000000000002
PER	Peru	1.26
PHL	Philippines	3.44
POL	Poland	2.43
PRT	Portugal	1.0699999999999998
PRI	Puerto Rico	0.17
QAT	Qatar	5.31
ROU	Romania	10.44
RUS	Russia	49.230000000000004
RWA	Rwanda	10.65
SAU	Saudi Arabia	139.42999999999998
SEN	Senegal	14.13
SLE	Sierra Leone	0.75
SGP	Singapore	35.23
SVK	Slovakia	0.06
SOM	Somalia	0.94
ZAF	South Africa	26.53
ESP	Spain	22.44
LKA	Sri Lanka	81.99000000000001
187	Saint Lucia	0.02
SDN	Sudan	9.68
SUR	Suriname	0.05
SWE	Sweden	15.68
CHE	Switzerland	20.300000000000004
TWN	Taiwan	8.65
TZA	Tanzania	39.080000000000005
THA	Thailand	30.669999999999998
TGO	Togo	3.7
TTO	Trinidad and Tobago	1.13
TUR	Turkey	20.46
ARE	United Arab Emirates	623.87
GBR	United Kingdom	493.47999999999996
USA	United States	268.85
UGA	Uganda	0.29000000000000004
UKR	Ukraine	4.460000000000001
URY	Uruguay	1.68
UZB	Uzbekistan	5.15
VEN	Venezuela	13.469999999999999
VNM	Vietnam	197.86999999999998
YEM	Yemen	57.67
ZMB	Zambia	18.15
BOL	Bolivia	0.52
BRA	Brazil	0.81
CAF	Central African Republic	0.39999999999999997
CRI	Costa Rica	0.39
CZE	Czech Republic	0.0
ECU	Ecuador	0.73
EST	Estonia	2.61
PRK	Korea, North	1.35
LAO	Laos	19.66
SWZ	Swaziland	0.44
TUN	Tunisia	0.38999999999999996
ARM	Armenia	1.87
BGR	Bulgaria	0.4600000000000001
IRL	Ireland	0.16999999999999998
LTU	Lithuania	0.17
NER	Niger	0.35
KHM	Cambodia	2.5100000000000002
DOM	Dominican Republic	0.13
HRV	Croatia	0.05
PAK	Pakistan	38.21
SRB	Serbia	0.0
SVN	Slovenia	0.98
TJK	Tajikistan	0.1
AFG	Afghanistan	0.04
ETH	Ethiopia	2.92
GTM	Guatemala	0.08
ISL	Iceland	0.09
IRQ	Iraq	0.28
173	Malta	0.17
185	Samoa	0.0
SYR	Syria	2.1
BLR	Belarus	0.11
TCD	Chad	0.05
214	Gibraltar	0.06
KAZ	Kazakhstan	18.0
MWI	Malawi	0.0
188	Tonga	0.11
BIH	Bosnia and Herzegovina	0.0
