id	name	population
AUS	Australia	3.02
AUT	Austria	0.01
BEL	Belgium	6.800000000000001
CAN	Canada	0.01
FRA	France	0.01
ISL	Iceland	0.0
ITA	Italy	2.74
MYS	Malaysia	0.11
NLD	Netherlands	1.95
NZL	New Zealand	4.44
NOR	Norway	0.07
QAT	Qatar	0.03
SGP	Singapore	0.12
ESP	Spain	1.9600000000000002
LKA	Sri Lanka	0.26
THA	Thailand	1.1400000000000001
GBR	United Kingdom	0.48000000000000004
USA	United States	0.13
DNK	Denmark	0.03
DEU	Germany	0.6100000000000001
TUR	Turkey	0.01
KOR	Korea, South	0.01
CHL	Chile	0.21
KEN	Kenya	0.02
ARE	United Arab Emirates	0.17
BRA	Brazil	0.05
CHN	China	0.01
CHE	Switzerland	0.0
VNM	Vietnam	0.0
163	Bahrain	0.0
CZE	Czech Republic	0.0
209	Northern Mariana Islands	0.0
SVK	Slovakia	0.0
ETH	Ethiopia	0.0
