id	name	population
AUS	Australia	0.02
AUT	Austria	0.04
BEL	Belgium	0.22
BLZ	Belize	0.02
CAN	Canada	1.25
CHN	China	223.47000000000003
CZE	Czech Republic	0.01
DNK	Denmark	0.06999999999999999
FRA	France	0.2
DEU	Germany	4.9399999999999995
GRC	Greece	0.08
HKG	Hong Kong	2.2899999999999996
IDN	Indonesia	46.06
IRN	Iran	0.03
IRL	Ireland	0.01
ITA	Italy	2.3200000000000003
JPN	Japan	10.96
KEN	Kenya	0.01
KOR	Korea, South	3.37
KWT	Kuwait	0.01
MYS	Malaysia	10.309999999999999
MEX	Mexico	0.05
NPL	Nepal	0.13
NLD	Netherlands	2.6300000000000003
NZL	New Zealand	0.0
NOR	Norway	0.0
PAK	Pakistan	0.01
PHL	Philippines	0.52
POL	Poland	0.27
SGP	Singapore	0.78
SVN	Slovenia	0.0
ZAF	South Africa	0.14
ESP	Spain	0.23999999999999996
LKA	Sri Lanka	0.04
SWE	Sweden	0.16999999999999998
CHE	Switzerland	0.14
TWN	Taiwan	4.5600000000000005
THA	Thailand	1.1700000000000002
TUR	Turkey	0.15000000000000002
ARE	United Arab Emirates	0.6200000000000001
GBR	United Kingdom	2.1500000000000004
USA	United States	22.24
VNM	Vietnam	1.1400000000000001
202	American Samoa	0.01
BRA	Brazil	0.03
ETH	Ethiopia	0.0
GHA	Ghana	0.02
ISR	Israel	0.05
PRK	Korea, North	0.060000000000000005
RUS	Russia	0.0
UKR	Ukraine	0.01
FIN	Finland	0.0
153	Mauritius	0.0
ROU	Romania	0.0
TLS	Timor-Leste	0.0
209	Northern Mariana Islands	0.0
TZA	Tanzania	0.0
SVK	Slovakia	0.0
NAM	Namibia	0.0
SWZ	Swaziland	0.0
