id	name	population
AFG	Afghanistan	0.84
202	American Samoa	0.08
AGO	Angola	1337.4199999999998
ARG	Argentina	5.87
ARM	Armenia	6.65
AUS	Australia	16355.86
AUT	Austria	132.17000000000002
BHS	Bahamas, The	0.0
163	Bahrain	44.120000000000005
BGD	Bangladesh	3.0300000000000002
BLR	Belarus	2.08
BEL	Belgium	70767.08
BEN	Benin	0.0
BOL	Bolivia	2154.44
BWA	Botswana	6399.879999999999
BRA	Brazil	1788.0300000000004
BFA	Burkina Faso	2091.37
BDI	Burundi	0.22
CAF	Central African Republic	8.89
KHM	Cambodia	0.02
CAN	Canada	4708.129999999999
206	Cayman Islands	0.01
CHL	Chile	44.92999999999999
CHN	China	5996.120000000001
COL	Colombia	1753.13
COD	Congo, Democratic Republic of the	121.97
COG	Congo, Republic of the	115.95
CRI	Costa Rica	28.36
CIV	Cote d'Ivoire	107.42
CZE	Czech Republic	25.77
DNK	Denmark	12.9
DJI	Djibouti	0.19999999999999998
DOM	Dominican Republic	2454.3800000000006
DOM	Dominica	0.13
ECU	Ecuador	58.14
EGY	Egypt	19.830000000000002
ERI	Eritrea	26.490000000000002
EST	Estonia	1.09
ETH	Ethiopia	15.639999999999999
FJI	Fiji	7.28
FIN	Finland	169.89
FRA	France	104.91999999999999
GMB	Gambia, The	0.4
GEO	Georgia	2.82
DEU	Germany	1861.9700000000003
GHA	Ghana	11163.36
GRC	Greece	0.18
GRL	Greenland	0.08
GIN	Guinea	1351.9200000000003
GNB	Guinea-Bissau	0.09
GUY	Guyana	3.8099999999999996
HKG	Hong Kong	55449.50000000001
HUN	Hungary	13.750000000000002
ISL	Iceland	2.33
IDN	Indonesia	1148.55
IRN	Iran	18.3
IRL	Ireland	23.189999999999998
ISR	Israel	10011.56
ITA	Italy	616.4100000000001
JAM	Jamaica	0.01
JPN	Japan	1011.29
JOR	Jordan	1.53
KAZ	Kazakhstan	200.57
KEN	Kenya	10.91
PRK	Korea, North	232.74999999999997
KOR	Korea, South	3354.87
KWT	Kuwait	5.25
LAO	Laos	295.32
LVA	Latvia	0.01
LBN	Lebanon	5.57
LSO	Lesotho	118.42000000000002
LBR	Liberia	0.2
210	Liechtenstein	0.1
LTU	Lithuania	0.02
MDG	Madagascar	262.23
MWI	Malawi	0.48
MYS	Malaysia	255.71
MLI	Mali	231.44
153	Mauritius	20.479999999999997
MEX	Mexico	265.55999999999995
212	Monaco	0.19
MAR	Morocco	0.83
MOZ	Mozambique	52.339999999999996
NAM	Namibia	137.24
NLD	Netherlands	452.39
183	Netherlands Antilles	1.08
NZL	New Zealand	4.01
NGA	Nigeria	11.309999999999999
209	Northern Mariana Islands	30.130000000000003
NOR	Norway	1.62
PAK	Pakistan	37.91
PNG	Papua New Guinea	12.379999999999999
PER	Peru	5992.349999999999
PHL	Philippines	241.93999999999997
POL	Poland	304.21999999999997
PRT	Portugal	0.24000000000000005
QAT	Qatar	18.15
ROU	Romania	12.67
RUS	Russia	13756.58
RWA	Rwanda	0.56
SAU	Saudi Arabia	2000.1000000000001
SEN	Senegal	0.01
SRB	Serbia	5.51
SLE	Sierra Leone	22.779999999999998
SGP	Singapore	2904.73
SVK	Slovakia	0.0
SVN	Slovenia	0.51
SOM	Somalia	0.04
ZAF	South Africa	29532.4
ESP	Spain	219.23999999999998
LKA	Sri Lanka	50.35
SWE	Sweden	240.3
CHE	Switzerland	188481.71
TWN	Taiwan	2069.75
TZA	Tanzania	3266.32
THA	Thailand	1887.77
TTO	Trinidad and Tobago	0.0
TUN	Tunisia	4.890000000000001
TUR	Turkey	1983.44
ARE	United Arab Emirates	114016.96000000002
GBR	United Kingdom	15074.330000000002
USA	United States	31353.4
UKR	Ukraine	0.02
URY	Uruguay	0.26000000000000006
UZB	Uzbekistan	202.81999999999996
VNM	Vietnam	42.97
189	Virgin Islands	0.29000000000000004
ZMB	Zambia	476.1899999999999
ZWE	Zimbabwe	114.81
201	Bermuda	0.0
BGR	Bulgaria	4.94
HND	Honduras	0.52
NPL	Nepal	1.23
NIC	Nicaragua	0.01
NER	Niger	0.0
PRI	Puerto Rico	4.38
SWZ	Swaziland	297.03999999999996
192	Aruba	0.0
CMR	Cameroon	0.07
CYP	Cyprus	0.0
MNG	Mongolia	20.93
PRY	Paraguay	0.05
SDN	Sudan	12.49
UGA	Uganda	0.07
VUT	Vanuatu	0.02
YEM	Yemen	0.07
215	British Virgin Islands	0.0
GTM	Guatemala	0.0
196	Seychelles	0.03
BLZ	Belize	1.21
BTN	Bhutan	0.0
191	Micronesia, Federated States of	0.1
216	Turks and Caicos Islands	0.14
AZE	Azerbaijan	0.05
180	Barbados	0.0
TCD	Chad	0.01
GAB	Gabon	6.52
174	Maldives	0.53
LUX	Luxembourg	4.3
NCL	New Caledonia	0.0
197	Antigua and Barbuda	3.9
HTI	Haiti	0.0
173	Malta	3.85
208	Faroe Islands	0.0
MRT	Mauritania	0.0
SYR	Syria	0.0
224	Tuvalu	0.0
