id	name	population
AUS	Australia	1102.68
AUT	Austria	17.44
163	Bahrain	2.1599999999999997
BGD	Bangladesh	6.959999999999999
BEL	Belgium	21.599999999999998
BRA	Brazil	86.00000000000001
BGR	Bulgaria	1.4400000000000002
CAN	Canada	426.04
CHL	Chile	0.44
CHN	China	368.03000000000003
CZE	Czech Republic	0.95
DNK	Denmark	0.05
EGY	Egypt	0.93
EST	Estonia	0.1
FIN	Finland	167.95
FRA	France	70.75
GEO	Georgia	0.18
DEU	Germany	158.98999999999998
HKG	Hong Kong	15.01
HUN	Hungary	0.0
IDN	Indonesia	12.41
IRL	Ireland	2.4499999999999997
ISR	Israel	0.24999999999999997
ITA	Italy	60.760000000000005
JPN	Japan	328.25000000000006
JOR	Jordan	0.33
KOR	Korea, South	97.74999999999999
KWT	Kuwait	8.9
LTU	Lithuania	4.07
LUX	Luxembourg	2.31
MDG	Madagascar	31.220000000000002
MYS	Malaysia	500.89000000000004
MEX	Mexico	2.3099999999999996
NLD	Netherlands	137.88
183	Netherlands Antilles	0.01
NGA	Nigeria	0.08
209	Northern Mariana Islands	678.5799999999999
NOR	Norway	5.25
PNG	Papua New Guinea	44.59
PHL	Philippines	0.01
POL	Poland	0.0
PRT	Portugal	0.54
QAT	Qatar	2.34
ROU	Romania	0.36000000000000004
RUS	Russia	1439.95
SAU	Saudi Arabia	25.689999999999998
SGP	Singapore	634.7
SVN	Slovenia	1.6400000000000003
ZAF	South Africa	303.08
ESP	Spain	1.26
LKA	Sri Lanka	0.01
SWZ	Swaziland	0.15000000000000002
SWE	Sweden	47.72
CHE	Switzerland	46.14999999999999
TWN	Taiwan	74.47000000000001
THA	Thailand	9.3
TTO	Trinidad and Tobago	0.0
TUR	Turkey	3.6000000000000005
ARE	United Arab Emirates	158.73999999999998
GBR	United Kingdom	355.13
USA	United States	253.21
UKR	Ukraine	0.8300000000000001
ZWE	Zimbabwe	9.96
GRC	Greece	1.31
PRK	Korea, North	0.02
MKD	Macedonia	0.62
LBN	Lebanon	0.18
SVK	Slovakia	0.03
CRI	Costa Rica	0.02
KEN	Kenya	0.07
TZA	Tanzania	0.58
VEN	Venezuela	0.01
PAK	Pakistan	0.97
YEM	Yemen	0.81
ARG	Argentina	0.01
IRN	Iran	1.62
JAM	Jamaica	0.26
NZL	New Zealand	0.0
PER	Peru	0.01
COL	Colombia	5.85
KAZ	Kazakhstan	0.01
SDN	Sudan	0.22
VNM	Vietnam	0.02
UZB	Uzbekistan	0.01
ECU	Ecuador	0.0
LVA	Latvia	0.0
NPL	Nepal	0.0
