id	name	population
AFG	Afghanistan	0.12000000000000001
ALB	Albania	0.38
DZA	Algeria	17.360000000000003
202	American Samoa	0.24
198	Andorra	0.03
AGO	Angola	1.34
221	Anguilla	0.02
ATA	Antarctica	0.30000000000000004
197	Antigua and Barbuda	0.24000000000000002
ARG	Argentina	92.98999999999998
ARM	Armenia	0.35
AUS	Australia	682.5799999999999
AUT	Austria	1717.1899999999998
AZE	Azerbaijan	0.9800000000000001
BHS	Bahamas, The	4.129999999999999
163	Bahrain	15.439999999999998
BGD	Bangladesh	35.27
BLR	Belarus	11.409999999999998
BEL	Belgium	3222.4699999999993
BLZ	Belize	0.25
BEN	Benin	0.24000000000000002
BTN	Bhutan	2.09
BOL	Bolivia	0.16999999999999998
BIH	Bosnia and Herzegovina	4.3
BWA	Botswana	0.06
215	British Virgin Islands	4.09
BRA	Brazil	903.0800000000002
BRN	Brunei	1.5800000000000003
BGR	Bulgaria	113.25999999999999
BDI	Burundi	0.08
KHM	Cambodia	0.45000000000000007
CMR	Cameroon	0.74
CAN	Canada	1502.59
169	Cape Verde	0.17
206	Cayman Islands	0.09
TCD	Chad	0.15000000000000002
CHL	Chile	19.81
CHN	China	96049.07
232	Christmas Island	0.09
236	Cocos (Keeling) Islands	0.02
COL	Colombia	5.46
COD	Congo, Democratic Republic of the	0.36
COG	Congo, Republic of the	1.3900000000000003
CRI	Costa Rica	577.17
CIV	Cote d'Ivoire	2.12
HRV	Croatia	62.410000000000004
CUB	Cuba	0.01
CYP	Cyprus	36.440000000000005
CZE	Czech Republic	1664.4699999999998
DNK	Denmark	1036.43
DJI	Djibouti	0.3
DOM	Dominican Republic	0.79
ECU	Ecuador	2.84
EGY	Egypt	18.259999999999998
SLV	El Salvador	0.26
GNQ	Equatorial Guinea	0.09
ERI	Eritrea	0.06
EST	Estonia	18.24
ETH	Ethiopia	1.2999999999999998
208	Faroe Islands	0.0
FJI	Fiji	1.16
FIN	Finland	1352.5
179	French Polynesia	0.0
FRA	France	5109.68
GAB	Gabon	4.32
GMB	Gambia, The	0.05
GEO	Georgia	3.65
DEU	Germany	35981.38
GHA	Ghana	6.949999999999999
GRC	Greece	74.97
190	Grenada	0.03
GTM	Guatemala	2.2
GIN	Guinea	0.65
GUY	Guyana	0.32
HTI	Haiti	0.28
HND	Honduras	1.39
HKG	Hong Kong	2417.7799999999997
HUN	Hungary	622.01
ISL	Iceland	1.8800000000000001
IDN	Indonesia	1138.23
IRN	Iran	26.08
IRQ	Iraq	0.9600000000000002
IRL	Ireland	1035.9399999999998
ISR	Israel	962.7200000000001
ITA	Italy	15321.320000000002
JAM	Jamaica	0.6400000000000001
JPN	Japan	26512.0
JOR	Jordan	6.21
KAZ	Kazakhstan	3.0
KEN	Kenya	6.3999999999999995
PRK	Korea, North	111.72999999999999
KOR	Korea, South	16535.58
