id	name	population
DZA	Algeria	16.209999999999997
ARG	Argentina	120.51
AUS	Australia	101.51999999999998
AUT	Austria	347.17
AZE	Azerbaijan	4.79
163	Bahrain	3.71
BGD	Bangladesh	7.860000000000001
180	Barbados	0.34
BLR	Belarus	62.06000000000001
BEL	Belgium	1541.1299999999999
BLZ	Belize	0.14
BOL	Bolivia	0.01
BWA	Botswana	0.0
215	British Virgin Islands	1.04
BRA	Brazil	1003.2399999999999
BRN	Brunei	25.36
BGR	Bulgaria	10.3
BFA	Burkina Faso	0.09
KHM	Cambodia	1.8299999999999998
CAN	Canada	172.07
CHL	Chile	23.96
CHN	China	52280.81
COL	Colombia	1.4100000000000001
COD	Congo, Democratic Republic of the	6.390000000000001
CRI	Costa Rica	0.44999999999999996
CIV	Cote d'Ivoire	2.69
HRV	Croatia	9.639999999999997
CYP	Cyprus	0.5700000000000001
CZE	Czech Republic	501.76000000000005
DNK	Denmark	398.89000000000004
DOM	Dominican Republic	0.16999999999999998
ECU	Ecuador	0.11
EGY	Egypt	18.35
SLV	El Salvador	0.01
EST	Estonia	5.0600000000000005
FIN	Finland	153.61
FRA	France	1642.66
GEO	Georgia	1.47
DEU	Germany	5685.870000000001
GHA	Ghana	2.05
GRC	Greece	5.2299999999999995
GTM	Guatemala	0.02
GIN	Guinea	0.1
HTI	Haiti	0.15
HKG	Hong Kong	303.05999999999995
HUN	Hungary	265.67999999999995
ISL	Iceland	0.7100000000000001
IDN	Indonesia	1703.8
IRN	Iran	4387.55
IRQ	Iraq	0.0
IRL	Ireland	37.31999999999999
ISR	Israel	644.66
ITA	Italy	2072.2999999999997
JPN	Japan	4220.71
JOR	Jordan	3.07
KEN	Kenya	3.5700000000000003
PRK	Korea, North	35.03
KOR	Korea, South	8230.29
KWT	Kuwait	5492.82
LAO	Laos	0.16
LVA	Latvia	51.87
LBN	Lebanon	0.13
LTU	Lithuania	8.47
LUX	Luxembourg	0.07
168	Macau	29.30999999999999
MKD	Macedonia	0.08
MDG	Madagascar	10.599999999999998
MYS	Malaysia	3850.21
173	Malta	70.9
203	Marshall Islands	0.11000000000000001
MEX	Mexico	393.7
212	Monaco	0.06999999999999999
MNE	Montenegro	0.01
MAR	Morocco	0.26
NPL	Nepal	0.17
NLD	Netherlands	2000.84
183	Netherlands Antilles	4.170000000000001
NZL	New Zealand	30.26
NIC	Nicaragua	0.02
NGA	Nigeria	0.04
209	Northern Mariana Islands	46.980000000000004
NOR	Norway	1622.86
PAK	Pakistan	132.89
PRY	Paraguay	0.21999999999999997
PER	Peru	0.72
PHL	Philippines	97.19
POL	Poland	213.37
PRT	Portugal	147.39000000000001
PRI	Puerto Rico	34.61
QAT	Qatar	2470.0400000000004
ROU	Romania	185.56
RUS	Russia	681.0000000000001
RWA	Rwanda	0.3
185	Samoa	0.97
186	Sao Tome and Principe	0.03
SAU	Saudi Arabia	11576.85
196	Seychelles	0.19999999999999998
SGP	Singapore	11708.41
SVK	Slovakia	36.92
SVN	Slovenia	263.99
ZAF	South Africa	656.38
ESP	Spain	1361.59
LKA	Sri Lanka	2.2600000000000002
187	Saint Lucia	0.19
SDN	Sudan	0.27
SWZ	Swaziland	21.21
SWE	Sweden	389.32000000000005
CHE	Switzerland	1290.63
SYR	Syria	1.6
TWN	Taiwan	4443.6900000000005
THA	Thailand	4398.26
TTO	Trinidad and Tobago	0.23
TUR	Turkey	153.95999999999998
ARE	United Arab Emirates	663.9199999999998
GBR	United Kingdom	779.72
USA	United States	8828.619999999999
UGA	Uganda	0.26
UKR	Ukraine	69.85
URY	Uruguay	0.07
VEN	Venezuela	0.33
VNM	Vietnam	58.97
189	Virgin Islands	0.9900000000000001
ZMB	Zambia	0.04
ARM	Armenia	0.02
COG	Congo, Republic of the	5.549999999999999
GAB	Gabon	0.62
NER	Niger	0.01
SRB	Serbia	3.03
TUN	Tunisia	0.27
AGO	Angola	0.18
TCD	Chad	1.06
MWI	Malawi	0.04
NCL	New Caledonia	0.05
CUB	Cuba	0.01
KAZ	Kazakhstan	0.0
YEM	Yemen	0.05
BDI	Burundi	0.16
GMB	Gambia, The	0.01
214	Gibraltar	0.0
210	Liechtenstein	0.04
211	San Marino	0.01
JAM	Jamaica	1.17
153	Mauritius	0.16
TLS	Timor-Leste	0.04
AFG	Afghanistan	0.0
ALB	Albania	0.0
197	Antigua and Barbuda	0.0
BIH	Bosnia and Herzegovina	0.06
LBY	Libya	3.47
174	Maldives	0.02
MOZ	Mozambique	0.38
SOM	Somalia	0.0
TZA	Tanzania	0.74
BHS	Bahamas, The	0.02
CMR	Cameroon	0.45
MDA	Moldova	0.02
NAM	Namibia	0.24
SEN	Senegal	0.01
ZWE	Zimbabwe	0.0
230	Norfolk Island	0.0
TJK	Tajikistan	0.0
