id	name	population
AUT	Austria	0.07
BEL	Belgium	2.32
CAN	Canada	0.5100000000000001
CHN	China	4.02
DNK	Denmark	0.44
FRA	France	0.05
DEU	Germany	0.6900000000000001
ISR	Israel	0.79
ITA	Italy	1.71
JPN	Japan	0.41000000000000003
KOR	Korea, South	0.32000000000000006
MYS	Malaysia	0.22999999999999998
NLD	Netherlands	2.21
NZL	New Zealand	0.53
209	Northern Mariana Islands	0.33999999999999997
PRT	Portugal	0.02
SGP	Singapore	0.060000000000000005
ZAF	South Africa	0.12
ESP	Spain	3.4500000000000006
LKA	Sri Lanka	12.409999999999998
THA	Thailand	2.1300000000000003
ARE	United Arab Emirates	0.1
USA	United States	1.81
AUS	Australia	0.11
VNM	Vietnam	0.52
BGD	Bangladesh	0.04
GBR	United Kingdom	0.08
KEN	Kenya	0.0
NGA	Nigeria	0.0
IRN	Iran	0.0
PAK	Pakistan	0.02
PHL	Philippines	0.01
URY	Uruguay	0.01
BRA	Brazil	0.01
CHE	Switzerland	0.0
AFG	Afghanistan	0.0
UGA	Uganda	0.03
GRC	Greece	0.0
