id	name	population
AFG	Afghanistan	0.0
AUS	Australia	1.8900000000000001
AUT	Austria	0.05
BGD	Bangladesh	1.8399999999999999
BEL	Belgium	8.27
BRA	Brazil	0.8899999999999999
CAN	Canada	3.2600000000000002
CHN	China	81.88999999999999
179	French Polynesia	0.15
FRA	France	1.37
DEU	Germany	0.37
HKG	Hong Kong	5.18
IDN	Indonesia	1.71
ITA	Italy	17.67
JPN	Japan	0.45999999999999996
KEN	Kenya	0.22999999999999998
MDG	Madagascar	0.13999999999999999
MYS	Malaysia	3.8
MEX	Mexico	1.25
MAR	Morocco	5.1
NPL	Nepal	2.3200000000000003
NZL	New Zealand	0.6900000000000001
NGA	Nigeria	0.4099999999999999
PAK	Pakistan	0.32
PHL	Philippines	0.5
RUS	Russia	0.12
SAU	Saudi Arabia	0.01
SGP	Singapore	12.059999999999999
ZAF	South Africa	0.2800000000000001
ESP	Spain	0.74
LKA	Sri Lanka	8.86
TZA	Tanzania	1.16
THA	Thailand	7.4399999999999995
TUN	Tunisia	12.610000000000001
TUR	Turkey	0.05
ARE	United Arab Emirates	0.76
GBR	United Kingdom	1.08
USA	United States	134.22
VNM	Vietnam	15.22
DNK	Denmark	0.14
MOZ	Mozambique	0.25999999999999995
NLD	Netherlands	0.21000000000000002
PRY	Paraguay	0.99
SEN	Senegal	0.01
SOM	Somalia	0.01
TWN	Taiwan	0.54
URY	Uruguay	1.3199999999999998
HTI	Haiti	0.09
IRL	Ireland	0.03
BGR	Bulgaria	0.0
ETH	Ethiopia	0.01
JAM	Jamaica	0.0
LBY	Libya	0.09
NAM	Namibia	0.01
CIV	Cote d'Ivoire	0.0
EGY	Egypt	0.0
174	Maldives	0.01
NOR	Norway	0.0
PRT	Portugal	0.01
CHE	Switzerland	0.1
YEM	Yemen	0.0
AGO	Angola	0.01
CZE	Czech Republic	0.12
FIN	Finland	0.0
IRN	Iran	0.0
KOR	Korea, South	0.03
QAT	Qatar	0.02
ROU	Romania	0.04
NIC	Nicaragua	0.0
