id	name	population
AFG	Afghanistan	0.0
ARG	Argentina	0.09999999999999999
AUS	Australia	151.66000000000003
AUT	Austria	0.24
BGD	Bangladesh	4.550000000000001
BLR	Belarus	0.01
BEL	Belgium	12.99
BRA	Brazil	0.01
BGR	Bulgaria	0.04
KHM	Cambodia	10.05
CAN	Canada	3.3000000000000003
CHL	Chile	3.4699999999999998
CHN	China	110.94000000000001
COL	Colombia	0.0
CZE	Czech Republic	0.07
DNK	Denmark	4.25
FIN	Finland	0.02
FRA	France	34.38
DEU	Germany	14.069999999999999
HKG	Hong Kong	0.27
IDN	Indonesia	0.13
IRN	Iran	0.61
IRL	Ireland	0.060000000000000005
ISR	Israel	0.01
ITA	Italy	5.6000000000000005
JPN	Japan	0.52
JOR	Jordan	0.06999999999999999
KOR	Korea, South	0.75
LVA	Latvia	0.05
LTU	Lithuania	2.36
MYS	Malaysia	0.16999999999999998
NPL	Nepal	0.0
NLD	Netherlands	15.72
NZL	New Zealand	0.35
NGA	Nigeria	0.0
NOR	Norway	0.03
PAK	Pakistan	0.53
PER	Peru	0.01
POL	Poland	3.1699999999999995
QAT	Qatar	0.0
SGP	Singapore	0.5700000000000001
SVK	Slovakia	0.01
ESP	Spain	0.30000000000000004
LKA	Sri Lanka	37.03000000000001
SWE	Sweden	0.0
CHE	Switzerland	0.0
TWN	Taiwan	0.04
THA	Thailand	13.55
TUR	Turkey	0.7600000000000001
ARE	United Arab Emirates	21.43
GBR	United Kingdom	15.290000000000001
USA	United States	10.510000000000002
UKR	Ukraine	0.18000000000000002
VNM	Vietnam	29.120000000000005
MEX	Mexico	0.0
RUS	Russia	0.37
SAU	Saudi Arabia	0.34
EGY	Egypt	0.0
ZAF	South Africa	0.0
LBN	Lebanon	0.67
CYP	Cyprus	0.03
209	Northern Mariana Islands	0.0
BTN	Bhutan	0.06999999999999999
PHL	Philippines	0.22
SVN	Slovenia	0.01
183	Netherlands Antilles	0.02
SYR	Syria	0.0
ETH	Ethiopia	0.0
