id	name	population
DZA	Algeria	31.990000000000002
AGO	Angola	0.55
ARG	Argentina	0.11000000000000001
AUS	Australia	121.99
AUT	Austria	50.019999999999996
BHS	Bahamas, The	0.5000000000000001
163	Bahrain	97.13
180	Barbados	0.16
BEL	Belgium	197.18
BEN	Benin	0.54
BOL	Bolivia	0.03
BRA	Brazil	150.17
BRN	Brunei	0.03
BGR	Bulgaria	1.8599999999999999
CMR	Cameroon	0.13
CAN	Canada	1491.6599999999999
CHL	Chile	484.0
CHN	China	147.13
COL	Colombia	0.03
CRI	Costa Rica	3.43
CIV	Cote d'Ivoire	3.84
CUB	Cuba	0.43
CYP	Cyprus	32.42
CZE	Czech Republic	1.06
DOM	Dominican Republic	7.8100000000000005
DOM	Dominica	0.09999999999999999
SLV	El Salvador	1.4000000000000001
EST	Estonia	156.85999999999999
FJI	Fiji	0.01
FIN	Finland	175.41000000000003
FRA	France	50.11000000000001
GEO	Georgia	0.52
DEU	Germany	205.22000000000003
GHA	Ghana	3.0700000000000003
GRC	Greece	23.709999999999997
GTM	Guatemala	11.850000000000001
HTI	Haiti	0.22000000000000003
HND	Honduras	5.43
HKG	Hong Kong	29.619999999999997
ISL	Iceland	2.7399999999999998
IDN	Indonesia	1286.2199999999998
IRN	Iran	6.619999999999999
IRQ	Iraq	1.26
IRL	Ireland	100.57
ISR	Israel	34.9
ITA	Italy	51.89000000000001
JAM	Jamaica	0.6399999999999999
JPN	Japan	12.790000000000003
JOR	Jordan	39.17000000000001
KEN	Kenya	12.140000000000002
PRK	Korea, North	0.18
KOR	Korea, South	19.1
KWT	Kuwait	140.36999999999998
LVA	Latvia	1.05
LBN	Lebanon	4.38
LBY	Libya	1.77
168	Macau	0.48000000000000004
MDG	Madagascar	3.809999999999999
MYS	Malaysia	165.75
174	Maldives	0.2
173	Malta	14.829999999999998
153	Mauritius	11.87
181	Mayotte	0.06
MEX	Mexico	1.24
MAR	Morocco	15.969999999999997
NPL	Nepal	21.07
NLD	Netherlands	207.94
183	Netherlands Antilles	0.4
NZL	New Zealand	230.17
NIC	Nicaragua	0.36
230	Norfolk Island	0.03
209	Northern Mariana Islands	45.68
NOR	Norway	5.2
PAK	Pakistan	2.59
PER	Peru	0.11
PHL	Philippines	0.42
POL	Poland	4.46
PRT	Portugal	13.009999999999998
PRI	Puerto Rico	2.0300000000000002
QAT	Qatar	22.680000000000003
RUS	Russia	223.14
SAU	Saudi Arabia	299.79
SEN	Senegal	0.27
SGP	Singapore	131.35
SVN	Slovenia	0.9900000000000002
ZAF	South Africa	1147.25
ESP	Spain	72.36
LKA	Sri Lanka	262.41
SDN	Sudan	3.5100000000000002
SUR	Suriname	0.28
SWZ	Swaziland	0.75
SWE	Sweden	943.41
CHE	Switzerland	131.81
TWN	Taiwan	9.89
TZA	Tanzania	3.0799999999999996
THA	Thailand	34.13
TGO	Togo	1.33
TTO	Trinidad and Tobago	4.39
TUN	Tunisia	3.01
TUR	Turkey	63.44
ARE	United Arab Emirates	571.8
GBR	United Kingdom	570.6
USA	United States	4415.59
UKR	Ukraine	0.48
VNM	Vietnam	1.2000000000000002
EGY	Egypt	0.39
211	San Marino	0.060000000000000005
187	Saint Lucia	0.08
YEM	Yemen	10.48
HRV	Croatia	0.09000000000000001
ECU	Ecuador	0.09
SLE	Sierra Leone	0.0
DNK	Denmark	0.27
NGA	Nigeria	0.21000000000000002
186	Sao Tome and Principe	0.11
CAF	Central African Republic	0.02
196	Seychelles	0.09
ZMB	Zambia	0.0
AFG	Afghanistan	0.02
160	Comoros	0.01
LBR	Liberia	0.0
ALB	Albania	0.02
BIH	Bosnia and Herzegovina	0.01
ERI	Eritrea	0.26
GAB	Gabon	0.01
GUY	Guyana	0.02
HUN	Hungary	0.03
KAZ	Kazakhstan	0.01
ROU	Romania	0.16999999999999998
URY	Uruguay	3.42
VEN	Venezuela	0.13
ATA	Antarctica	0.02
BLR	Belarus	0.03
ETH	Ethiopia	0.06
GIN	Guinea	0.0
GNB	Guinea-Bissau	0.03
LTU	Lithuania	0.03
LUX	Luxembourg	0.04
MWI	Malawi	0.03
MRT	Mauritania	0.07
212	Monaco	0.01
MOZ	Mozambique	0.02
NER	Niger	0.06
