id	name	population
ALB	Albania	0.01
DZA	Algeria	0.11
AGO	Angola	0.19
ARG	Argentina	12.620000000000001
AUS	Australia	38.019999999999996
AUT	Austria	52.559999999999995
BHS	Bahamas, The	0.01
163	Bahrain	0.51
BGD	Bangladesh	62.29
BLR	Belarus	2.35
BEL	Belgium	493.9799999999999
BLZ	Belize	0.19
BTN	Bhutan	0.07
BOL	Bolivia	0.0
BIH	Bosnia and Herzegovina	0.0
BWA	Botswana	0.0
215	British Virgin Islands	1.31
BRA	Brazil	194.10999999999999
BRN	Brunei	0.03
BGR	Bulgaria	0.9900000000000001
KHM	Cambodia	46.21
CMR	Cameroon	5.1899999999999995
CAN	Canada	48.16
206	Cayman Islands	0.01
CHL	Chile	0.6000000000000001
CHN	China	2802.0300000000007
232	Christmas Island	0.01
COL	Colombia	0.24000000000000002
COG	Congo, Republic of the	1.11
CRI	Costa Rica	1.44
CIV	Cote d'Ivoire	233.17999999999998
HRV	Croatia	0.14
CYP	Cyprus	0.09
CZE	Czech Republic	168.27999999999997
DNK	Denmark	35.099999999999994
DOM	Dominican Republic	0.03
ECU	Ecuador	1.59
EGY	Egypt	5.84
SLV	El Salvador	0.02
EST	Estonia	0.6
ETH	Ethiopia	0.0
FIN	Finland	29.669999999999998
FRA	France	778.51
GAB	Gabon	6.93
GEO	Georgia	0.21
DEU	Germany	1402.98
GHA	Ghana	5.88
GRC	Greece	6.68
GTM	Guatemala	0.11
GIN	Guinea	2.41
HND	Honduras	0.02
HKG	Hong Kong	96.11999999999999
HUN	Hungary	22.65
ISL	Iceland	0.01
IDN	Indonesia	3429.8799999999997
IRN	Iran	66.10000000000001
IRQ	Iraq	0.0
IRL	Ireland	7.190000000000001
ISR	Israel	12.700000000000003
ITA	Italy	706.82
JPN	Japan	2493.44
JOR	Jordan	0.09
KEN	Kenya	0.22
PRK	Korea, North	21.639999999999997
KOR	Korea, South	3573.08
KWT	Kuwait	1.5
LAO	Laos	0.8099999999999999
LVA	Latvia	2.1799999999999997
LBN	Lebanon	0.11
LBY	Libya	0.03
210	Liechtenstein	0.0
LTU	Lithuania	1.01
LUX	Luxembourg	2.92
168	Macau	0.0
MKD	Macedonia	0.05
MYS	Malaysia	905.76
174	Maldives	0.0
173	Malta	3.1999999999999997
203	Marshall Islands	0.08
153	Mauritius	0.09000000000000001
MEX	Mexico	43.35
MDA	Moldova	0.0
212	Monaco	0.15000000000000002
MAR	Morocco	0.9600000000000001
NPL	Nepal	1.85
NLD	Netherlands	240.36
183	Netherlands Antilles	0.9500000000000001
NCL	New Caledonia	0.01
NZL	New Zealand	4.710000000000001
NGA	Nigeria	40.63999999999999
209	Northern Mariana Islands	8.030000000000001
NOR	Norway	2.09
PAK	Pakistan	24.44
PER	Peru	0.53
PHL	Philippines	62.92999999999999
POL	Poland	492.9199999999999
PRT	Portugal	12.05
PRI	Puerto Rico	0.6100000000000001
QAT	Qatar	6.06
ROU	Romania	50.989999999999995
RUS	Russia	1489.96
SAU	Saudi Arabia	46.300000000000004
SRB	Serbia	0.23
196	Seychelles	1.1300000000000001
SGP	Singapore	664.94
SVK	Slovakia	11.959999999999999
SVN	Slovenia	10.459999999999999
ZAF	South Africa	42.94
ESP	Spain	368.84
LKA	Sri Lanka	290.90000000000003
SDN	Sudan	0.0
SWZ	Swaziland	0.45
SWE	Sweden	114.96000000000001
CHE	Switzerland	92.72999999999999
TWN	Taiwan	572.5899999999999
TZA	Tanzania	0.64
THA	Thailand	3198.3500000000004
233	Tokelau	0.0
TUN	Tunisia	0.09999999999999999
TUR	Turkey	66.69
TKM	Turkmenistan	0.57
ARE	United Arab Emirates	145.66
GBR	United Kingdom	801.97
USA	United States	1949.43
UGA	Uganda	0.01
UKR	Ukraine	17.52
VEN	Venezuela	0.13
VNM	Vietnam	1462.6
189	Virgin Islands	0.02
ZWE	Zimbabwe	0.04
208	Faroe Islands	0.0
FJI	Fiji	0.0
JAM	Jamaica	0.02
KAZ	Kazakhstan	0.01
185	Samoa	0.11
211	San Marino	0.0
SLE	Sierra Leone	0.0
ZMB	Zambia	0.1
221	Anguilla	0.0
197	Antigua and Barbuda	0.0
LBR	Liberia	5.21
MWI	Malawi	0.0
MNG	Mongolia	0.0
228	Montserrat	0.0
NER	Niger	0.26
SEN	Senegal	0.09
YEM	Yemen	0.0
ARM	Armenia	0.05
TCD	Chad	1.21
COD	Congo, Democratic Republic of the	0.06
HTI	Haiti	0.0
NAM	Namibia	0.08
234	Niue	0.0
TLS	Timor-Leste	0.02
URY	Uruguay	0.0
AFG	Afghanistan	0.0
ATA	Antarctica	0.01
CAF	Central African Republic	0.31
ERI	Eritrea	0.06
ATF	French Southern and Antarctic Lands	0.05
MDG	Madagascar	0.26
222	Nauru	0.0
202	American Samoa	0.0
198	Andorra	0.0
CUB	Cuba	0.05
230	Norfolk Island	0.0
SLB	Solomon Islands	0.0
SYR	Syria	0.0
TTO	Trinidad and Tobago	0.0
FLK	Falkland Islands (Islas Malvinas)	0.0
MLI	Mali	0.07
MOZ	Mozambique	0.7
NIC	Nicaragua	0.0
TJK	Tajikistan	0.0
DJI	Djibouti	0.0
225	Saint Helena, Ascension, and Tristan da Cunha	0.0
