id	name	population
AUS	Australia	42.94
BHS	Bahamas, The	456.84000000000003
163	Bahrain	13.469999999999999
BGD	Bangladesh	76.50000000000001
BEL	Belgium	659.49
BRA	Brazil	95.63
CAN	Canada	12.920000000000002
CHL	Chile	4.93
CHN	China	9347.39
160	Comoros	11.86
HRV	Croatia	68.37
CYP	Cyprus	455.58
DNK	Denmark	188.39000000000001
FIN	Finland	252.30999999999997
FRA	France	491.95000000000005
GEO	Georgia	9.69
DEU	Germany	926.9299999999998
GRC	Greece	42.660000000000004
HKG	Hong Kong	254.56
HUN	Hungary	0.01
IDN	Indonesia	2438.09
IRQ	Iraq	0.28
IRL	Ireland	17.35
ISR	Israel	1.7000000000000002
ITA	Italy	649.3300000000002
JPN	Japan	4265.610000000001
PRK	Korea, North	35.739999999999995
KOR	Korea, South	4000.29
KWT	Kuwait	27.049999999999997
LBR	Liberia	109.77999999999999
LTU	Lithuania	0.01
LUX	Luxembourg	127.82
MYS	Malaysia	1115.03
173	Malta	19.93
153	Mauritius	19.17
MEX	Mexico	8.799999999999999
NLD	Netherlands	3056.02
NZL	New Zealand	8.509999999999998
209	Northern Mariana Islands	3092.92
NOR	Norway	142.89999999999998
217	Palau	7.5600000000000005
PHL	Philippines	41.010000000000005
POL	Poland	492.68
PRT	Portugal	18.049999999999997
QAT	Qatar	97.94
ROU	Romania	213.07
RUS	Russia	111.50000000000001
SAU	Saudi Arabia	21.810000000000002
SGP	Singapore	5241.400000000001
SVK	Slovakia	0.13
ZAF	South Africa	245.97000000000003
ESP	Spain	1009.77
LKA	Sri Lanka	1090.9
SWE	Sweden	133.95000000000002
TWN	Taiwan	157.44
TZA	Tanzania	0.16
THA	Thailand	60.13
TUR	Turkey	94.67
ARE	United Arab Emirates	2686.16
GBR	United Kingdom	258.26000000000005
USA	United States	1571.41
UKR	Ukraine	45.81999999999999
VNM	Vietnam	209.42000000000002
ARG	Argentina	6.72
215	British Virgin Islands	6.18
BGR	Bulgaria	34.940000000000005
CZE	Czech Republic	0.04
174	Maldives	3.54
203	Marshall Islands	19.609999999999996
PAN	Panama	21.86
CHE	Switzerland	0.01
BLZ	Belize	1.14
222	Nauru	5.75
PNG	Papua New Guinea	1.1
YEM	Yemen	1.88
AUT	Austria	2.23
224	Tuvalu	1.39
EGY	Egypt	8.14
PAK	Pakistan	0.35
183	Netherlands Antilles	1.34
197	Antigua and Barbuda	11.57
CRI	Costa Rica	0.05
208	Faroe Islands	7.36
214	Gibraltar	11.57
193	Saint Vincent and the Grenadines	0.0
