id	name	population
AUS	Australia	0.13
AUT	Austria	0.06
BGD	Bangladesh	0.03
BEL	Belgium	0.11000000000000001
BRA	Brazil	1.76
BGR	Bulgaria	0.0
KHM	Cambodia	0.0
CAN	Canada	0.06999999999999999
CHN	China	2073.23
FRA	France	0.92
DEU	Germany	1.4100000000000001
HKG	Hong Kong	7.42
IDN	Indonesia	0.46
IRN	Iran	0.85
ITA	Italy	5.24
JPN	Japan	1.44
KOR	Korea, South	3.7800000000000002
MKD	Macedonia	0.0
MYS	Malaysia	31.06
MAR	Morocco	0.0
NPL	Nepal	0.1
NLD	Netherlands	0.42
PAK	Pakistan	1.4000000000000001
PRT	Portugal	0.0
QAT	Qatar	0.0
ROU	Romania	0.02
SGP	Singapore	0.86
ZAF	South Africa	0.27
ESP	Spain	0.12
LKA	Sri Lanka	0.49
CHE	Switzerland	0.03
TWN	Taiwan	1.21
THA	Thailand	5.49
TUR	Turkey	0.33999999999999997
ARE	United Arab Emirates	1.0899999999999999
GBR	United Kingdom	1.2800000000000002
USA	United States	2.63
UZB	Uzbekistan	12.389999999999999
VNM	Vietnam	180.02
COL	Colombia	0.01
PRK	Korea, North	0.43
TKM	Turkmenistan	0.5900000000000001
CZE	Czech Republic	0.0
GRC	Greece	0.0
HUN	Hungary	0.05
ISR	Israel	0.060000000000000005
LBN	Lebanon	0.0
RUS	Russia	0.0
TCD	Chad	0.03
CHL	Chile	0.0
DNK	Denmark	0.01
AFG	Afghanistan	0.03
EGY	Egypt	0.0
IRL	Ireland	0.01
LTU	Lithuania	0.01
PHL	Philippines	0.01
POL	Poland	0.05
SAU	Saudi Arabia	0.04
SVN	Slovenia	0.04
SWE	Sweden	0.0
CMR	Cameroon	0.06
FIN	Finland	0.0
NOR	Norway	0.05
CIV	Cote d'Ivoire	0.0
CYP	Cyprus	0.0
JOR	Jordan	0.0
NZL	New Zealand	0.0
