id	name	population
AUT	Austria	0.24000000000000002
BEL	Belgium	24.189999999999998
CAN	Canada	0.6900000000000001
CHN	China	34.67000000000001
CZE	Czech Republic	0.22000000000000003
DNK	Denmark	0.03
FRA	France	0.15
DEU	Germany	17.71
HKG	Hong Kong	1.2400000000000002
IDN	Indonesia	666.3599999999999
ITA	Italy	1.9499999999999997
JPN	Japan	4.13
KOR	Korea, South	11.32
MYS	Malaysia	869.93
NLD	Netherlands	0.060000000000000005
NZL	New Zealand	0.0
NOR	Norway	0.6
PRT	Portugal	0.05
RUS	Russia	0.19999999999999998
SGP	Singapore	104.09999999999998
ESP	Spain	0.2
LKA	Sri Lanka	0.0
SWE	Sweden	0.0
CHE	Switzerland	0.31
TWN	Taiwan	5.54
THA	Thailand	43.879999999999995
ARE	United Arab Emirates	4.96
GBR	United Kingdom	0.36
USA	United States	1.65
UKR	Ukraine	0.0
VNM	Vietnam	3.89
HUN	Hungary	0.02
PHL	Philippines	0.51
BRA	Brazil	0.0
AUS	Australia	1.6099999999999999
EGY	Egypt	0.45
IRL	Ireland	0.0
TUN	Tunisia	0.26
ARG	Argentina	0.11
BOL	Bolivia	4.08
FIN	Finland	0.02
LUX	Luxembourg	0.0
MEX	Mexico	0.0
PER	Peru	0.01
ISR	Israel	0.0
KEN	Kenya	0.14
LBN	Lebanon	0.0
209	Northern Mariana Islands	0.02
POL	Poland	0.37
SVK	Slovakia	0.0
IRN	Iran	0.01
TUR	Turkey	0.03
CRI	Costa Rica	0.0
GRC	Greece	0.0
ZAF	South Africa	0.0
