id	name	population
AUS	Australia	0.02
AUT	Austria	0.12000000000000001
BGD	Bangladesh	0.15
BEL	Belgium	0.1
BGR	Bulgaria	0.0
KHM	Cambodia	0.0
CAN	Canada	0.01
CHN	China	219.81
HRV	Croatia	0.01
CYP	Cyprus	0.0
CZE	Czech Republic	0.18
DNK	Denmark	0.08
FIN	Finland	0.0
FRA	France	0.11
DEU	Germany	0.49000000000000005
HKG	Hong Kong	3.26
IDN	Indonesia	0.25
IRL	Ireland	0.0
ISR	Israel	0.0
ITA	Italy	0.3
JPN	Japan	0.09
KOR	Korea, South	0.060000000000000005
LTU	Lithuania	0.0
MYS	Malaysia	0.01
MAR	Morocco	0.0
NLD	Netherlands	0.07999999999999999
PHL	Philippines	0.060000000000000005
POL	Poland	0.0
PRT	Portugal	0.0
SGP	Singapore	0.21000000000000002
SVK	Slovakia	0.01
SVN	Slovenia	0.0
ESP	Spain	0.060000000000000005
LKA	Sri Lanka	0.24
SWE	Sweden	0.0
CHE	Switzerland	0.060000000000000005
TWN	Taiwan	0.53
THA	Thailand	0.12000000000000001
TUR	Turkey	0.04
ARE	United Arab Emirates	10.79
GBR	United Kingdom	0.23
USA	United States	0.25000000000000006
VNM	Vietnam	0.04
ETH	Ethiopia	0.0
174	Maldives	0.0
RUS	Russia	0.03
ZAF	South Africa	0.01
NZL	New Zealand	0.0
209	Northern Mariana Islands	0.0
ROU	Romania	0.0
LVA	Latvia	0.02
MEX	Mexico	0.0
BRA	Brazil	0.0
KEN	Kenya	0.0
KWT	Kuwait	0.0
UKR	Ukraine	0.03
NPL	Nepal	0.02
GRC	Greece	0.01
QAT	Qatar	0.0
SAU	Saudi Arabia	0.01
ARG	Argentina	0.06
EGY	Egypt	0.0
HUN	Hungary	0.0
IRN	Iran	0.0
LBN	Lebanon	0.0
NOR	Norway	0.0
163	Bahrain	0.0
GHA	Ghana	0.0
