id	name	population
BEN	Benin	0.07
CHN	China	102.04
CIV	Cote d'Ivoire	0.13
FRA	France	0.02
DEU	Germany	0.16999999999999998
HKG	Hong Kong	0.17
IDN	Indonesia	11.2
IRN	Iran	0.03
ITA	Italy	0.03
KOR	Korea, South	0.03
MDG	Madagascar	0.24000000000000005
MYS	Malaysia	1.3099999999999998
NPL	Nepal	40.529999999999994
NGA	Nigeria	0.01
PAK	Pakistan	0.08
PHL	Philippines	0.03
SGP	Singapore	6.6499999999999995
LKA	Sri Lanka	0.07
CHE	Switzerland	0.0
TZA	Tanzania	0.0
THA	Thailand	0.19
GBR	United Kingdom	0.03
USA	United States	0.29000000000000004
VNM	Vietnam	55.269999999999996
BGD	Bangladesh	2.0100000000000002
BEL	Belgium	0.08
ETH	Ethiopia	0.02
TWN	Taiwan	0.060000000000000005
CHL	Chile	0.01
PRT	Portugal	0.0
189	Virgin Islands	0.02
BRA	Brazil	0.0
AFG	Afghanistan	0.01
GHA	Ghana	0.26
JPN	Japan	0.0
NLD	Netherlands	0.0
QAT	Qatar	0.0
TUR	Turkey	0.01
ARE	United Arab Emirates	0.0
VEN	Venezuela	0.0
