id	name	population
AFG	Afghanistan	2.06
DZA	Algeria	1.9000000000000001
ATA	Antarctica	0.02
ARG	Argentina	57.92999999999999
AUS	Australia	1762.37
AUT	Austria	0.03
BGD	Bangladesh	0.07
BEL	Belgium	3.39
BEN	Benin	0.0
BTN	Bhutan	0.0
BRA	Brazil	2.04
BGR	Bulgaria	0.95
CAN	Canada	0.6200000000000001
CHL	Chile	0.27
CHN	China	307.57
HRV	Croatia	0.4000000000000001
CYP	Cyprus	1.3900000000000001
CZE	Czech Republic	1.2200000000000004
DNK	Denmark	0.13
EGY	Egypt	22.45
EST	Estonia	0.060000000000000005
FRA	France	6.209999999999999
GEO	Georgia	0.68
DEU	Germany	7.069999999999999
GRC	Greece	17.43
HND	Honduras	0.0
HKG	Hong Kong	2.05
ISL	Iceland	0.0
IDN	Indonesia	0.19
IRN	Iran	10.610000000000001
IRQ	Iraq	13.19
IRL	Ireland	4.86
ISR	Israel	3.52
ITA	Italy	128.48000000000002
JPN	Japan	14.639999999999999
JOR	Jordan	8.430000000000001
KEN	Kenya	27.989999999999995
KOR	Korea, South	2.75
KWT	Kuwait	4.71
LBN	Lebanon	1.4300000000000002
LSO	Lesotho	12.86
LBY	Libya	11.19
LTU	Lithuania	0.07
MYS	Malaysia	30.03
MEX	Mexico	0.7500000000000001
MDA	Moldova	0.5900000000000001
MNG	Mongolia	14.470000000000002
MAR	Morocco	9.549999999999999
NPL	Nepal	0.02
NLD	Netherlands	0.78
NZL	New Zealand	251.31
PAK	Pakistan	71.00999999999999
PER	Peru	3.52
PHL	Philippines	0.26
PRT	Portugal	0.61
ROU	Romania	8.930000000000001
RUS	Russia	51.620000000000005
SAU	Saudi Arabia	37.040000000000006
SRB	Serbia	0.06
SGP	Singapore	1.47
SVN	Slovenia	0.01
ZAF	South Africa	178.62
ESP	Spain	9.610000000000001
LKA	Sri Lanka	0.07
CHE	Switzerland	1.07
SYR	Syria	67.2
TWN	Taiwan	25.580000000000005
THA	Thailand	3.3099999999999996
TUN	Tunisia	13.559999999999999
TUR	Turkey	50.77
TKM	Turkmenistan	3.4400000000000004
ARE	United Arab Emirates	5.85
GBR	United Kingdom	102.00999999999999
USA	United States	56.71
URY	Uruguay	99.32999999999998
UZB	Uzbekistan	0.18
VNM	Vietnam	0.37999999999999995
ALB	Albania	1.06
FIN	Finland	0.01
HUN	Hungary	0.98
LBR	Liberia	0.1
153	Mauritius	0.01
SWZ	Swaziland	0.06
FLK	Falkland Islands (Islas Malvinas)	10.71
PRK	Korea, North	0.06999999999999999
209	Northern Mariana Islands	1.44
POL	Poland	0.09
SVK	Slovakia	0.0
VEN	Venezuela	0.09
BLR	Belarus	1.16
QAT	Qatar	0.0
TZA	Tanzania	0.01
UKR	Ukraine	0.05
BOL	Bolivia	0.06
KGZ	Kyrgyzstan	0.04
SWE	Sweden	0.38
TJK	Tajikistan	0.05
LUX	Luxembourg	0.07
173	Malta	0.05
NGA	Nigeria	0.06
BRN	Brunei	0.0
CIV	Cote d'Ivoire	0.0
LVA	Latvia	0.0
234	Niue	0.0
